,0
vor0,2127170.804211
vor1,1003065.2078861129
vor2,54.83318683938819
vor3,96879.11883326746
vor4,2565113.2237612624
vor5,1160654.587811666
vor6,728026.4950897946
vor7,0.0
vor8,483918.64502024074
vor9,5878308.346766978
vor10,558655.1250050908
vor11,2944952.8699226948
vor12,217766.5790609373
vor13,38024.63214164903
vor14,0.0
vor15,538576.636321552
vor16,1243866.687550342
vor17,4332238.508800869
vor18,4529651.8630198585
vor19,10449961.470923442
vor20,1954559.662496196
vor21,92257.71079406881
vor22,4551.760575683345
vor23,7016996.013276032
vor24,2233608.801564631
vor25,6230510.468703225
vor26,2931980.5605913503
vor27,2462530.3830427267
vor28,4920187.012999461
vor29,2630358.9188544555
vor30,24223.128161835964
vor31,1831868.272628351
vor32,4684.3228029791235
vor33,618209.1293419792
vor34,2760323.998225668
vor35,9716381.61240457
vor36,8830027.005702602
vor37,456147.07846872765
vor38,183735.4287394229
vor39,4281797.1001793835
vor40,5243724.192658947
vor41,1772084.9695998402
vor42,6518.478352968835
vor43,179961.1474065241
vor44,9439504.546123374
vor45,4594934.2284122985
vor46,4838395.526000591
vor47,356808.48191918543
vor48,4166470.153647017
vor49,2422688.1862140764
vor50,336932.110309924
vor51,3822.096391805272
vor52,3803111.40211037
vor53,15239516.763708243
vor54,3415640.89493614
vor55,3751482.777486765
vor56,2201910.529257104
vor57,3951417.319407025
vor58,8842634.627835916
vor59,365999.79422542645
vor60,242609.29909315915
vor61,1343229.5709380067
vor62,934018.3531197055
vor63,4435398.975620753
vor64,8379791.728581201
vor65,14984071.157410696
vor66,1142339.9178056496
vor67,3878841.0254764003
vor68,0.0
vor69,5896717.553641569
vor70,662354.4458092253
vor71,3791842.5759937195
vor72,7235450.314333375
vor73,1035442.46047396
vor74,216802.6663198831
vor75,134307.82316220528
vor76,0.0
vor77,3.5981033848870747
vor78,5751954.318177634
vor79,5340796.482211621
vor80,628655.0018393408
vor81,4914414.397207499
vor82,1423063.199921385
vor83,3323763.2396760844
vor84,1802043.0366444301
vor85,3.589074614086316
vor86,0.0
vor87,131.15983212232396
vor88,18409982.38242997
vor89,2710031.1997107193
vor90,1206100.3277815343
vor91,883395.5445286464
vor92,6195643.584739575
vor93,143717.28876817977
vor94,14.39926055620332
vor95,0.0
vor96,6402.836343466855
vor97,3957712.74507921
vor98,12537522.398498522
vor99,1290907.2878868948
vor100,1393249.622941148
vor101,4029076.5109259808
vor102,1314005.4896319553
vor103,4847.633666697092
vor104,80.22834142041357
vor105,6828.125409889459
vor106,7473522.1711220145
vor107,446883.76510205853
vor108,234652.5608714639
vor109,1547845.925906227
vor110,1763821.2182781615
vor111,710645.9948168873
vor112,31.83182611399683
vor113,14647.153735773447
vor114,7442.072650766593
vor115,4231666.10519727
vor116,530445.5102935412
vor117,572041.8662408914
vor118,1700849.0764497868
vor119,2943302.6755989515
vor120,416896.31311119307
vor121,644.1822756206224
vor122,204.6035253132592
vor123,22285.906771732378
vor124,76297.96994688208
vor125,3266256.029036797
vor126,1285853.6555703168
vor127,7451193.883482156
vor128,7696733.616042702
vor129,1239095.8333844529
vor130,1338346.9309316024
vor131,115648.78168223864
vor132,23349.40259643281
vor133,775610.2449610373
vor134,2523760.670793122
vor135,215356.16492633644
vor136,1515.8121114318492
vor137,7324542.264400688
vor138,857066.017009256
vor139,8752.417721509475
vor140,3440518.733335184
vor141,15026640.007042872
vor142,8645415.117471797
vor143,2984850.092177959
vor144,1267987.6037790806
vor145,417385.4975819792
vor146,69303.08646866758
vor147,26945.212323110223
vor148,85054.8397877586
vor149,758746.5301112022
vor150,45693.34151609836
vor151,6288.734322995007
vor152,0.007860746643070175
vor153,2447174.8281794963
vor154,327543.87592494185
vor155,124811.1990259357
vor156,4639062.176552868
vor157,9558151.265839424
vor158,2036463.0089799666
vor159,13153591.05240053
vor160,19205311.730678305
vor161,6231953.769905258
vor162,10663955.680816036
vor163,11666635.007002188
vor164,305979.4448679544
vor165,183888.59096202278
vor166,735984.1579507669
vor167,619383.2221788295
vor168,192158.2532685367
vor169,52970.55077843439
vor170,1327.0007883280912
vor171,756.6650064153885
vor172,623150.8464818117
vor173,1084605.6904981362
vor174,10948417.757550221
vor175,35565823.03105775
vor176,1489717.1366792282
vor177,1744519.4042273269
vor178,8033425.628803848
vor179,3680807.4498499674
vor180,1079189.6835453575
vor181,2846806.2545599146
vor182,14679318.339567157
vor183,7434793.750414747
vor184,3147238.8306652145
vor185,10998777.067050371
vor186,2524396.2426393703
vor187,1407465.2874228929
vor188,718309.2029215253
vor189,1247728.2414215761
vor190,188422.56154434214
vor191,15635.923403322919
vor192,36953.83550711567
vor193,0.0
vor194,4237101.433241675
vor195,4251101.516396122
vor196,7101719.979447015
vor197,5117538.045285159
vor198,6277406.238045064
vor199,4252634.701856894
vor200,4197564.391355302
vor201,6485210.5917530265
vor202,586776.59331123
vor203,298022.4242118556
vor204,6747166.781307902
vor205,27460762.623016015
vor206,2246835.6593348198
vor207,4258067.779718297
vor208,192320.09305832323
vor209,172626.52223940156
vor210,10682669.530286506
vor211,33193523.54249745
vor212,1387839.4079479158
vor213,19836.71532539453
vor214,9894.033463933214
vor215,5899.770533701638
vor216,9874861.123788398
vor217,516809.4338420641
vor218,508493.3783167385
vor219,7292804.381805318
vor220,6893728.336961104
vor221,10577222.077402493
vor222,2412116.740894307
vor223,760533.4146862158
vor224,1239434.3852469963
vor225,8976540.001901967
vor226,15671880.497407004
vor227,2492929.011628961
vor228,825047.6463514218
vor229,796327.068120719
vor230,2378248.481912716
vor231,1589470.37780541
vor232,17283464.679903183
vor233,332308.99046099157
vor234,672.4970432078677
vor235,2724.0127247822875
vor236,757.5640521498754
vor237,2553997.2052588337
vor238,929352.3764157163
vor239,513606.6267406257
vor240,3628921.294169389
vor241,4878904.74023079
vor242,1635422.7581486793
vor243,553226.1109214872
vor244,1466820.5202347338
vor245,666637.1881832101
vor246,3305898.5058680996
vor247,11081775.679864425
vor248,2857889.1987657514
vor249,3257808.2162376633
vor250,4086192.37183477
vor251,1080603.8980950837
vor252,3042282.086659379
vor253,4437845.123257136
vor254,614426.4851848908
vor255,91202.85050424666
vor256,32294.50891917874
vor257,7188191.894584228
vor258,266158.82133139664
vor259,959768.9636467417
vor260,4624068.707425275
vor261,325280.4153229164
vor262,41414.22241229225
vor263,298186.95253759844
vor264,5101645.361413275
vor265,1303111.5571170277
vor266,11856972.772480734
vor267,3655215.7414619513
vor268,260835.50026894943
vor269,726658.9519325889
vor270,4825800.856160032
vor271,3227330.0687449905
vor272,447921.91378538636
vor273,72775.65517720432
vor274,62074.81801200047
vor275,312539.4438994941
vor276,7046318.001093583
vor277,4817864.989459459
vor278,547095.1588553002
vor279,4362229.660369709
vor280,2900751.4937064494
vor281,84824.9237544605
vor282,789871.7882765989
vor283,5289454.564558665
vor284,2037798.5453220012
vor285,379332.29942594125
vor286,372946.6192212274
vor287,2393407.5152033055
vor288,774326.0691485159
vor289,1417235.7863320892
vor290,508.42234014121937
vor291,812042.1746638493
vor292,920029.9460908845
vor293,102606.45461009094
vor294,3813728.9431644245
vor295,847446.5822691614
vor296,7241896.08783458
vor297,4682659.997835057
vor298,684992.9477308232
vor299,3314142.996798314
vor300,1043283.6071869719
vor301,678254.5223091086
vor302,725393.6879555952
vor303,1308126.1497866109
vor304,0.0
vor305,722752.4082848288
vor306,4174935.3352769823
vor307,429057.3601311474
vor308,1124758.329811507
vor309,210746.29219390402
vor310,207296.61058339674
vor311,441629.53123109444
vor312,0.04710466603011506
vor313,9909.937229674155
vor314,71098.35485005655
vor315,288908.4911610076
vor316,125571.44352006861
vor317,2381.511940287275
vor318,1.5316074589445514
vor319,0.048555453165937595
vor320,556794.9930946715
vor321,325231.2841711051
vor322,121405.97266063376
vor323,0.008660694961694406
vor324,32882.61309076973
vor325,99047.57496517689
vor326,0.0
vor327,34.516750339196825
