,0
vor0,131.5175321444672
vor1,149595.24540423776
vor2,17117.307169855285
vor3,204.31486215558607
vor4,48089.047216670755
vor5,4896.61225166363
vor6,1650.7754464980237
vor7,1603.5656320997682
vor8,0.0
vor9,0.024864148665192348
vor10,76.39431481847363
vor11,27747.087168548005
vor12,13473.285448732175
vor13,6693.5422302464995
vor14,415.21927284499907
vor15,296.9861963789067
vor16,58108.320149163286
vor17,530.9087129202492
vor18,107231.84059078488
vor19,4850.103364237533
vor20,2696.2372447756566
vor21,992458.8241707247
vor22,0.0
vor23,3008.366317966056
vor24,284074.3103456332
vor25,22061.900880667636
vor26,1923.8960485614832
vor27,18561265.24396658
vor28,405.22887037620063
vor29,3344.1315392468377
vor30,3324.984360874182
vor31,36249.23388968009
vor32,32.348716842968905
vor33,8181.228114315903
vor34,1200680.10608267
vor35,4057.4247651376863
vor36,58633.99318366259
vor37,1603.5656320997682
vor38,196910.93678010578
vor39,4855.220872173102
vor40,252683.86439416354
vor41,933583.0136333614
vor42,42630.890493303676
vor43,151376.61449558847
vor44,5424.638994889897
vor45,73.16461773081122
vor46,0.0
vor47,0.0
vor48,1594.1539973456677
vor49,8959.943931989064
vor50,2084185.2990506128
vor51,2140738.669460764
vor52,46084.1302576777
vor53,4876.2724830242805
vor54,0.0
vor55,110.3167553184315
vor56,1386.4831521187905
vor57,38116.186531359665
vor58,48519.497689756456
vor59,73.18402846494459
vor60,93598.31239259239
vor61,850.0176648501237
vor62,0.0
vor63,66515.40351888209
vor64,446.3387949895183
vor65,2978.4108910838036
vor66,114530.94480058632
vor67,545936.348203394
vor68,23284.03110329866
vor69,130.69856548546744
vor70,0.0
vor71,0.0
vor72,2374.0791697042673
vor73,65115.55016420663
vor74,0.0
vor75,15351.341097016351
vor76,1039124.3187953082
vor77,1207431.9836123057
vor78,23400.524691954135
vor79,14740.396566258636
vor80,0.0
vor81,0.0
vor82,523688.7970244386
vor83,2862238.234738584
vor84,773902.7223478296
vor85,650759.5074640914
vor86,1422817.4469987995
vor87,6929281.299850189
vor88,2968557.018138201
vor89,340.8169922732365
vor90,258339.06631476994
vor91,93562.00551780526
vor92,84205.34477439379
vor93,1548503.8537750475
vor94,3918989.0979523575
vor95,563178.141840257
vor96,548456.4421897776
vor97,2542485.2461892585
vor98,2363418.6095262533
vor99,589379.4259521717
vor100,265953.04055294674
vor101,725697.2828587183
vor102,153012.8786483572
vor103,2978042.4908003774
vor104,1211670.7735643706
vor105,136093.78316655653
vor106,52055.684477159164
vor107,6987.006832742544
vor108,1741586.818574423
vor109,4200660.222151178
vor110,253508.85485450053
vor111,726979.7608660749
vor112,6544470.783512663
vor113,5987402.670437806
vor114,12404234.539973695
vor115,1813397.709379163
vor116,556348.4273115704
vor117,138264.57414348578
vor118,9290.012795146726
vor119,581442.830107326
vor120,314343.25195876067
vor121,6876293.658061539
vor122,1422180.0705782701
vor123,2128990.593206942
vor124,7133283.960209298
vor125,14591317.959648773
vor126,23133329.25175107
vor127,15674762.17607197
vor128,1221353.8031823358
vor129,343599.5607206438
vor130,313335.2765272187
vor131,940.0240807286145
vor132,525467.6426817325
vor133,2697832.350244996
vor134,1.6426569109449145e-244
vor135,181.10271835759787
vor136,12649044.905503007
vor137,6795857.11439852
vor138,10029636.558616381
vor139,10296699.26252663
