,0
vor0,9647.815446833803
vor1,3062.4247701903505
vor2,577.7985316302246
vor3,537162.235517302
vor4,54501.79248519346
vor5,401278.45414524514
vor6,1099.1201266808318
vor7,4703545.580514476
vor8,476342.7160267359
vor9,422941.9514721554
vor10,257763.7995713988
vor11,1535451.2667091766
vor12,6219.675241966987
vor13,632821.1385994351
vor14,91401.69910606748
vor15,237320.67341547337
vor16,3309.198220470839
vor17,11293.060713230525
vor18,10749.529035657955
vor19,4.180193917362993
vor20,1293.5698525194337
vor21,23178.943059206686
vor22,40112.196557373216
vor23,373033.1495926208
vor24,174746.73930786017
vor25,467166.18168832146
vor26,13892.171399777322
vor27,294520.07502322627
vor28,3040.9887964289346
vor29,148947.7714910366
vor30,8603.581529291037
vor31,119500.8976809745
vor32,27091.080662323766
vor33,432.92748074003197
vor34,338436.68273180793
vor35,101897.97472477205
vor36,545114.5955820216
vor37,321511.05332597037
vor38,497977.8155133545
vor39,22901.09479362608
vor40,39350.146732559275
vor41,43824.261239929554
vor42,86884.9429829221
vor43,52324.064779584485
vor44,433.0163158996642
vor45,2131.7069085258013
vor46,1754108.5002961378
vor47,2343071.0005693864
vor48,505210.5674720127
vor49,1072430.1553992324
vor50,3856405.712306893
vor51,116.51211087897974
vor52,54087.58915264822
vor53,3537322.374590455
vor54,1278298.5733408974
vor55,45594.83351769655
vor56,2635704.6743178214
vor57,17961153.82978539
vor58,20809047.735711075
vor59,12610582.42083334
vor60,99569.1771235185
vor61,7362.372642415683
vor62,9112477.640853059
vor63,10702343.405649623
vor64,1016377.2290715503
vor65,60328.89299084266
vor66,589806.8884857051
vor67,7679179.011307574
vor68,22794434.651118804
vor69,16592117.099568244
vor70,17129687.53092192
vor71,21865979.21710797
vor72,4138012.7700466076
vor73,2173.604338306569
vor74,852868.4672338238
vor75,114749.41768524247
vor76,496888.5646436448
vor77,1893520.598263785
vor78,11613859.627854558
vor79,47042006.67269364
vor80,31343846.209070418
vor81,24314095.996896934
vor82,13874673.06547815
vor83,22841521.517751172
vor84,490797.2933532169
vor85,21436.909690259425
vor86,34.23198774868035
vor87,917.9029998638695
vor88,1144163.7084706717
vor89,2395723.109193217
vor90,888740.2321383451
vor91,3502350.8583443966
vor92,5356608.852639675
vor93,8516374.954402307
vor94,10040574.9473736
vor95,12770520.330856288
vor96,10508419.465702172
vor97,13905419.148667391
vor98,25978275.199834008
vor99,15317211.827215733
vor100,4676947.349727936
vor101,318.7868120138289
vor102,9915.87860555818
vor103,2152.7910885144734
vor104,8283140.6753159445
vor105,2119495.051967885
vor106,9151408.428644728
vor107,9855887.58484702
vor108,9175140.521568274
vor109,7485822.832252108
vor110,12112625.25039701
vor111,5181013.488039951
vor112,13838837.76371492
vor113,27973273.562807888
vor114,12336598.443126168
vor115,9348102.874759315
vor116,16835963.435391143
vor117,16701836.073297108
vor118,2574554.47620021
vor119,53879.561703788386
vor120,27484.01260291135
vor121,27144.021965068823
vor122,2.0030171729807298e-67
vor123,141566.3162983717
vor124,1561717.2521016984
vor125,2027118.0047871384
vor126,2658800.220946133
vor127,22769300.245580353
vor128,7454842.261165471
vor129,14619751.466830485
vor130,6886827.555424516
vor131,15867514.10029656
vor132,34966942.451784365
vor133,28851072.669341516
vor134,9730005.019066077
vor135,872810.2992157912
vor136,38322717.64924752
vor137,25224877.940993063
vor138,26190367.325855527
vor139,283101.21151671634
vor140,2.697087723837417e-66
vor141,2.9787720628849513e-66
vor142,16488.402047484193
vor143,3641770.1693851626
vor144,1796836.058343649
vor145,4717952.882369646
vor146,5087220.0543012
vor147,2158280.4742919374
vor148,3487789.7873509945
vor149,8143718.637795267
vor150,29179958.26630537
vor151,26207069.123913307
vor152,55897418.68896919
vor153,21913469.56645744
vor154,66234666.40237014
vor155,42196764.37863398
vor156,54248761.98974929
vor157,100545200.72739084
vor158,59951978.73734108
vor159,4.992585089030817e-64
vor160,4844550.212689646
vor161,386900.4394205085
vor162,4730602.047218642
vor163,15076902.082667192
vor164,59946851.54345632
vor165,433429.61908230005
vor166,2180323.4986067587
vor167,2875072.632030361
vor168,283040.58420580835
vor169,3521776.2984086038
vor170,5202548.189400413
vor171,19172125.96116358
vor172,30455744.872286156
vor173,84942559.59340754
vor174,66503099.77555661
vor175,78196845.3515224
vor176,1.0016152090156254
vor177,30358296.35063541
vor178,29536128.31810806
vor179,79139081.19877608
vor180,122927375.60736342
vor181,112489093.41890559
vor182,49899246.38999124
vor183,18533330.659867484
vor184,477485.84370844165
vor185,43171761.13735694
vor186,55074159.33129047
vor187,28784820.465115793
vor188,7615060.473949457
vor189,24311.035941284477
vor190,43895.92090917971
vor191,15945456.520563886
vor192,90383.53320424138
vor193,203397.6146001489
vor194,5084232.556764399
vor195,5687832.639642973
vor196,8140538.269282063
vor197,93022060.04788975
vor198,77855628.09197205
vor199,58647293.23600284
vor200,64926434.32339468
vor201,26685117.71482052
vor202,1806692.074491062
vor203,43917928.30262234
vor204,62839649.90076492
vor205,34876139.94108028
vor206,26403836.868476897
vor207,114949745.48312616
vor208,30264176.70164054
vor209,4536727.149066232
vor210,6334254.802625091
vor211,19381898.481255244
