,0
vor0,2836227.738948
vor1,1337420.277181484
vor2,73.11091578585093
vor3,129172.15844435661
vor4,3420150.965015017
vor5,1547539.450415555
vor6,970701.9934530595
vor7,0.0
vor8,645224.8600269875
vor9,7837744.4623559695
vor10,744873.5000067876
vor11,3926603.8265635935
vor12,290355.43874791637
vor13,50699.509522198714
vor14,0.0
vor15,718102.1817620692
vor16,1658488.9167337893
vor17,5776318.011734492
vor18,6039535.817359811
vor19,13933281.961231258
vor20,2606079.549994928
vor21,123010.28105875841
vor22,6069.014100911128
vor23,9355994.684368044
vor24,2978145.068752841
vor25,8307347.291604302
vor26,3909307.4141218006
vor27,3283373.8440569686
vor28,6560249.350665947
vor29,3507145.2251392733
vor30,32297.504215781286
vor31,2442491.030171135
vor32,6245.763737305499
vor33,824278.8391226385
vor34,3680431.9976342227
vor35,12955175.483206093
vor36,11773369.340936804
vor37,608196.1046249702
vor38,244980.57165256393
vor39,5709062.800239179
vor40,6991632.256878598
vor41,2362779.9594664536
vor42,8691.30447062511
vor43,239948.19654203212
vor44,12586006.061497834
vor45,6126578.971216399
vor46,6451194.034667456
vor47,475744.6425589138
vor48,5555293.538196023
vor49,3230250.9149521017
vor50,449242.8137465652
vor51,5096.128522407029
vor52,5070815.2028138265
vor53,20319355.684944324
vor54,4554187.859914854
vor55,5001977.03664902
vor56,2935880.705676139
vor57,5268556.425876033
vor58,11790179.50378122
vor59,487999.725633902
vor60,323479.06545754545
vor61,1790972.7612506752
vor62,1245357.8041596073
vor63,5913865.300827671
vor64,11173055.638108267
vor65,19978761.54321426
vor66,1523119.890407533
vor67,5171788.033968534
vor68,0.0
vor69,7862290.071522094
vor70,883139.2610789672
vor71,5055790.101324958
vor72,9647267.085777832
vor73,1380589.947298613
vor74,289070.2217598441
vor75,179077.09754960708
vor76,0.0
vor77,4.797471179849432
vor78,7669272.424236845
vor79,7121061.976282161
vor80,838206.6691191209
vor81,6552552.529609999
vor82,1897417.5998951802
vor83,4431684.319568112
vor84,2402724.04885924
vor85,4.785432818781753
vor86,0.0
vor87,174.8797761630987
vor88,24546643.176573295
vor89,3613374.932947626
vor90,1608133.7703753794
vor91,1177860.726038195
vor92,8260858.1129861
vor93,191623.05169090637
vor94,19.199014074937768
vor95,0.0
vor96,8537.115124622474
vor97,5276950.326772279
vor98,16716696.531331364
vor99,1721209.7171825264
vor100,1857666.1639215308
vor101,5372102.014567973
vor102,1752007.3195092734
vor103,6463.511555596124
vor104,106.97112189388477
vor105,9104.167213185945
vor106,9964696.228162685
vor107,595845.0201360781
vor108,312870.0811619518
vor109,2063794.5678749692
vor110,2351761.6243708823
vor111,947527.9930891832
vor112,42.44243481866245
vor113,19529.538314364596
vor114,9922.763534355456
vor115,5642221.47359636
vor116,707260.6803913882
vor117,762722.4883211886
vor118,2267798.7685997155
vor119,3924403.56746527
vor120,555861.7508149241
vor121,858.9097008274967
vor122,272.804700417679
vor123,29714.542362309836
vor124,101730.62659584277
vor125,4355008.03871573
vor126,1714471.5407604228
vor127,9934925.17797621
vor128,10262311.48805694
vor129,1652127.7778459368
vor130,1784462.5745754698
vor131,154198.37557631818
vor132,31132.536795243745
vor133,1034146.9932813832
vor134,3365014.227724163
vor135,287141.5532351152
vor136,2021.0828152424654
vor137,9766056.35253425
vor138,1142754.6893456744
vor139,11669.890295345964
vor140,4587358.311113579
vor141,20035520.0093905
vor142,11527220.156629065
vor143,3979800.122903945
vor144,1690650.1383721072
vor145,556513.9967759723
vor146,92404.11529155677
vor147,35926.94976414696
vor148,113406.45305034479
vor149,1011662.0401482693
vor150,60924.455354797814
vor151,8384.979097326677
