,0
vor0,8683.033902150428
vor1,2756.1822931713145
vor2,520.0186784672023
vor3,483446.0119655718
vor4,49051.61323667411
vor5,361150.60873072036
vor6,989.2081140127488
vor7,4233191.022463029
vor8,428708.44442406215
vor9,380647.75632494
vor10,231987.41961425898
vor11,1381906.1400382577
vor12,5597.70771777029
vor13,569539.024739491
vor14,82261.52919546072
vor15,213588.60607392623
vor16,2978.278398423759
vor17,10163.75464190747
vor18,9674.57613209216
vor19,3.7621745256266945
vor20,1164.2128672674899
vor21,20861.048753286002
vor22,36100.97690163589
vor23,335729.8346333586
vor24,157272.06537707406
vor25,420449.5635194892
vor26,12502.954259799597
vor27,265068.06752090366
vor28,2736.88991678604
vor29,134052.99434193296
vor30,7743.223376361929
vor31,107550.80791287708
vor32,24381.972596091367
vor33,389.6347326660292
vor34,304593.0144586271
vor35,91708.17725229484
vor36,490603.13602381933
vor37,289359.947993373
vor38,448180.03396201914
vor39,20610.985314263453
vor40,35415.13205930336
vor41,39441.835115936585
vor42,78196.44868462988
vor43,47091.65830162601
vor44,389.71468430969827
vor45,1918.5362176732203
vor46,1578697.650266523
vor47,2108763.900512448
vor48,454689.51072481135
vor49,965187.1398593093
vor50,3470765.141076204
vor51,104.86089979108176
vor52,48678.83023738339
vor53,3183590.1371314093
vor54,1150468.7160068084
vor55,41035.35016592691
vor56,2372134.2068860396
vor57,16165038.44680683
vor58,18728142.96213996
vor59,11349524.178750003
vor60,89612.25941116676
vor61,6626.135378174115
vor62,8201229.8767677555
vor63,9632109.06508466
vor64,914739.5061643956
vor65,54296.0036917584
vor66,530826.1996371349
vor67,6911261.1101768175
vor68,20514991.186006922
vor69,14932905.38961143
vor70,15416718.777829742
vor71,19679381.295397162
vor72,3724211.4930419493
vor73,1956.2439044759121
vor74,767581.620510441
vor75,103274.47591671818
vor76,447199.7081792805
vor77,1704168.5384374065
vor78,10452473.665069103
vor79,42337806.00542428
vor80,28209461.588163387
vor81,21882686.397207215
vor82,12487205.758930346
vor83,20557369.36597605
vor84,441717.5640178953
vor85,19293.218721233483
vor86,30.80878897381232
vor87,826.1126998774822
vor88,1029747.3376236038
vor89,2156150.798273894
vor90,799866.2089245107
vor91,3152115.7725099567
vor92,4820947.967375709
vor93,7664737.458962075
vor94,9036517.45263624
vor95,11493468.297770655
vor96,9457577.519131953
vor97,12514877.23380065
vor98,23380447.679850608
vor99,13785490.64449416
vor100,4209252.614755144
vor101,286.9081308124459
vor102,8924.290745002358
vor103,1937.5119796630245
vor104,7454826.60778435
vor105,1907545.5467710982
vor106,8236267.585780253
vor107,8870298.826362312
vor108,8257626.469411453
vor109,6737240.549026894
vor110,10901362.72535731
vor111,4662912.139235956
vor112,12454953.987343414
vor113,25175946.206527077
vor114,11102938.598813552
vor115,8413292.587283386
vor116,15152367.091852026
vor117,15031652.46596741
vor118,2317099.0285801897
vor119,48491.60553340953
vor120,24735.611342620232
vor121,24429.619768561923
vor122,1.802715455682658e-67
vor123,127409.68466853454
vor124,1405545.5268915293
vor125,1824406.2043084262
vor126,2392920.198851522
vor127,20492370.221022297
vor128,6709358.0350489225
vor129,13157776.320147436
vor130,6198144.79988206
vor131,14280762.690266915
vor132,31470248.206605937
vor133,25965965.40240737
vor134,8757004.517159468
vor135,785529.269294212
vor136,34490445.88432275
vor137,22702390.146893747
vor138,23571330.59327
vor139,254791.09036504457
vor140,2.4273789514536756e-66
vor141,2.6808948565964566e-66
vor142,14839.561842735775
vor143,3277593.152446646
vor144,1617152.4525092829
vor145,4246157.594132681
vor146,4578498.048871077
vor147,1942452.4268627446
vor148,3139010.808615892
vor149,7329346.7740157405
