,0
vor0,170173664.33688003
vor1,80245216.63088901
vor2,4386.654947151057
vor3,7750329.5066613965
vor4,205209057.900901
vor5,92852367.0249333
vor6,58242119.60718357
vor7,0.0
vor8,38713491.60161925
vor9,470264667.7413582
vor10,44692410.000407256
vor11,235596229.59381557
vor12,17421326.324874982
vor13,3041970.571331923
vor14,0.0
vor15,43086130.90572417
vor16,99509335.00402735
vor17,346579080.70406955
vor18,362372149.04158866
vor19,835996917.6738755
vor20,156364772.99969566
vor21,7380616.863525506
vor22,364140.8460546677
vor23,561359681.0620826
vor24,178688704.12517044
vor25,498440837.496258
vor26,234558444.847308
vor27,197002430.64341813
vor28,393614961.0399569
vor29,210428713.5083564
vor30,1937850.2529468772
vor31,146549461.8102681
vor32,374745.8242383299
vor33,49456730.34735833
vor34,220825919.8580534
vor35,777310528.9923655
vor36,706402160.4562081
vor37,36491766.27749821
vor38,14698834.29915383
vor39,342543768.0143507
vor40,419497935.4127158
vor41,141766797.5679872
vor42,521478.2682375066
vor43,14396891.792521931
vor44,755160363.68987
vor45,367594738.27298397
vor46,387071642.08004737
vor47,28544678.55353482
vor48,333317612.2917614
vor49,193815054.8971261
vor50,26954568.824793912
vor51,305767.7113444217
vor52,304248912.1688295
vor53,1219161341.0966597
vor54,273251271.5948912
vor55,300118622.19894123
vor56,176152842.34056836
vor57,316113385.55256194
vor58,707410770.2268733
vor59,29279983.538034122
vor60,19408743.92745273
vor61,107458365.67504053
vor62,74721468.24957643
vor63,354831918.0496602
vor64,670383338.286496
vor65,1198725692.5928555
vor66,91387193.42445199
vor67,310307282.03811204
vor68,0.0
vor69,471737404.29132557
vor70,52988355.66473803
vor71,303347406.0794975
vor72,578836025.14667
vor73,82835396.83791678
vor74,17344213.30559065
vor75,10744625.852976426
vor76,0.0
vor77,287.84827079096596
vor78,460156345.45421076
vor79,427263718.5769296
vor80,50292400.14714725
vor81,393153151.7765998
vor82,113845055.9937108
vor83,265901059.17408672
vor84,144163442.93155438
vor85,287.12596912690515
vor86,0.0
vor87,10492.786569785914
vor88,1472798590.5943973
vor89,216802495.97685754
vor90,96488026.22252277
vor91,70671643.5622917
vor92,495651486.77916604
vor93,11497383.101454383
vor94,1151.9408444962655
vor95,0.0
vor96,512226.90747734846
vor97,316617019.6063367
vor98,1003001791.879882
vor99,103272583.0309516
vor100,111459969.83529183
vor101,322326120.8740784
vor102,105120439.17055641
vor103,387810.6933357674
vor104,6418.267313633085
vor105,546250.0327911566
vor106,597881773.689761
vor107,35750701.208164684
vor108,18772204.86971711
vor109,123827674.07249817
vor110,141105697.46225294
vor111,56851679.58535099
vor112,2546.5460891197467
vor113,1171772.2988618757
vor114,595365.8120613275
vor115,338533288.4157815
vor116,42435640.82348329
vor117,45763349.29927132
vor118,136067926.11598292
vor119,235464214.0479161
vor120,33351705.04889545
vor121,51534.582049649805
vor122,16368.282025060735
vor123,1782872.5417385902
vor124,6103837.5957505675
vor125,261300482.32294387
vor126,102868292.44562536
vor127,596095510.6785725
vor128,615738689.283416
vor129,99127666.67075622
vor130,107067754.47452818
vor131,9251902.534579093
vor132,1867952.2077146247
vor133,62048819.59688298
vor134,201900853.66344976
vor135,17228493.19410691
vor136,121264.9689145479
vor137,585963381.1520549
vor138,68565281.36074047
vor139,700193.417720758
vor140,275241498.6668147
vor141,1202131200.5634296
vor142,691633209.3977438
vor143,238788007.37423664
vor144,101439008.30232647
vor145,33390839.80655834
vor146,5544246.917493408
vor147,2155616.985848817
vor148,6804387.183020688
vor149,60699722.40889616
vor150,3655467.321287869
vor151,503098.74583960057
vor152,0.6288597314456139
vor153,195773986.25435975
vor154,26203510.073995356
vor155,9984895.922074856
vor156,371124974.12422943
vor157,764652101.2671539
vor158,162917040.71839735
vor159,1052287284.1920424
vor160,1536424938.4542644
vor161,498556301.5924206
vor162,853116454.465283
vor163,933330800.560175
vor164,24478355.589436352
vor165,14711087.27696182
vor166,58878732.636061355
vor167,49550657.77430637
vor168,15372660.26148294
vor169,4237644.062274751
vor170,106160.06306624727
vor171,60533.20051323106
vor172,49852067.71854493
vor173,86768455.23985088
vor174,875873420.6040176
vor175,2845265842.4846206
vor176,119177370.93433829
vor177,139561552.33818614
vor178,642674050.3043078
vor179,294464595.98799735
vor180,86335174.68362859
vor181,227744500.36479318
vor182,1174345467.1653726
vor183,594783500.0331799
vor184,251779106.4532172
vor185,879902165.3640295
vor186,201951699.41114965
vor187,112597222.99383144
vor188,57464736.23372202
vor189,99818259.3137261
vor190,15073804.923547374
vor191,1250873.8722658337
vor192,2956306.8405692526
vor193,0.0
vor194,338968114.659334
vor195,340088121.3116898
vor196,568137598.355761
vor197,409403043.6228128
vor198,502192499.04360515
vor199,340210776.1485516
vor200,335805151.30842423
vor201,518816847.3402422
vor202,46942127.4648984
vor203,23841793.93694845
vor204,539773342.5046321
vor205,2196861009.8412814
vor206,179746852.74678555
vor207,340645422.3774637
vor208,15385607.444665859
vor209,13810121.779152123
vor210,854613562.4229205
vor211,2655481883.3997955
vor212,111027152.63583326
vor213,1586937.2260315623
vor214,791522.677114657
vor215,471981.6426961311
vor216,789988889.9030719
vor217,41344754.70736513
vor218,40679470.26533908
vor219,583424350.5444254
vor220,551498266.9568882
vor221,846177766.1921995
vor222,192969339.27154452
vor223,60842673.174897246
vor224,99154750.81975971
vor225,718123200.1521575
vor226,1253750439.79256
vor227,199434320.93031693
vor228,66003811.70811375
vor229,63706165.44965754
vor230,190259878.55301723
vor231,127157630.22443281
vor232,1382677174.3922546
vor233,26584719.236879326
vor234,53799.763456629415
vor235,217921.01798258297
vor236,60605.12417199002
vor237,204319776.4207067
vor238,74348190.1132573
vor239,41088530.13925006
vor240,290313703.5335511
vor241,390312379.2184632
vor242,130833820.65189433
vor243,44258088.87371896
vor244,117345641.61877874
vor245,53330975.0546568
vor246,264471880.46944803
vor247,886542054.3891541
vor248,228631135.9012601
vor249,260624657.29901305
vor250,326895389.74678165
vor251,86448311.84760669
vor252,243382566.93275034
vor253,355027609.8605709
vor254,49154118.81479127
vor255,7296228.0403397335
vor256,2583560.713534299
vor257,575055351.5667384
vor258,21292705.70651173
vor259,76781517.09173934
vor260,369925496.594022
vor261,26022433.22583331
vor262,3313137.792983379
vor263,23854956.20300787
vor264,408131628.91306204
vor265,104248924.56936222
vor266,948557821.7984587
vor267,292417259.3169561
vor268,20866840.021515954
vor269,58132716.15460712
vor270,386064068.49280256
vor271,258186405.49959928
vor272,35833753.10283091
vor273,5822052.414176346
vor274,4965985.440960038
vor275,25003155.511959523
vor276,563705440.0874865
vor277,385429199.1567569
vor278,43767612.708424
vor279,348978372.82957673
vor280,232060119.49651602
vor281,6785993.900356839
vor282,63189743.06212791
vor283,423156365.16469336
vor284,163023883.62576017
vor285,30346583.954075303
vor286,29835729.537698187
vor287,191472601.21626437
vor288,61946085.53188127
vor289,113378862.90656713
vor290,40673.78721129755
vor291,64963373.973107964
vor292,73602395.68727076
vor293,8208516.368807275
vor294,305098315.453154
vor295,67795726.58153291
vor296,579351687.0267664
vor297,374612799.82680464
vor298,54799435.81846586
vor299,265131439.74386516
vor300,83462688.57495774
vor301,54260361.78472868
vor302,58031495.036447614
vor303,104650091.9829289
vor304,0.0
vor305,57820192.6627863
vor306,333994826.8221585
vor307,34324588.81049179
vor308,89980666.38492054
vor309,16859703.375512324
vor310,16583728.846671734
vor311,35330362.49848755
vor312,3.7683732824092044
vor313,792794.9783739322
vor314,5687868.388004523
vor315,23112679.292880617
vor316,10045715.481605489
vor317,190520.9552229821
vor318,122.52859671556412
vor319,3.8844362532750076
vor320,44543599.447573714
vor321,26018502.733688407
vor322,9712477.812850703
vor323,0.6928555969355523
vor324,2630609.0472615785
vor325,7923805.99721415
vor326,0.0
vor327,2761.3400271357464
