,0
vor0,11836.577893002042
vor1,13463572.086381396
vor2,1540557.6452869752
vor3,18388.337594002747
vor4,4328014.24950037
vor5,440695.1026497269
vor6,148569.7901848222
vor7,144320.9068889791
vor8,0.0
vor9,2.2377733798673116
vor10,6875.4883336626235
vor11,2497237.845169322
vor12,1212595.6903858958
vor13,602418.8007221852
vor14,37369.734556049916
vor15,26728.7576741016
vor16,5229748.813424695
vor17,47781.784162822434
vor18,9650865.65317064
vor19,436509.30278137827
vor20,242661.35202980923
vor21,89321294.17536525
vor22,0.0
vor23,270752.9686169451
vor24,25566687.931106977
vor25,1985571.0792600864
vor26,173150.64437053347
vor27,1670513871.9569938
vor28,36470.59833385807
vor29,300971.83853221533
vor30,299248.59247867606
vor31,3262431.050071206
vor32,2911.384515867201
vor33,736310.5302884318
vor34,108061209.54744028
vor35,365168.2288623919
vor36,5277059.38652963
vor37,144320.9068889791
vor38,17721984.31020953
vor39,436969.87849557924
vor40,22741547.795474716
vor41,84022471.22700244
vor42,3836780.1443973323
vor43,13623895.304602955
vor44,488217.50954009086
vor45,6584.815595773009
vor46,0.0
vor47,0.0
vor48,143473.85976111004
vor49,806394.9538790162
vor50,187576676.91455507
vor51,192666480.25146884
vor52,4147571.723190991
vor53,438864.52347218513
vor54,0.0
vor55,9928.507978658836
vor56,124783.4836906911
vor57,3430456.787822372
vor58,4366754.792078085
vor59,6586.562561845016
vor60,8423848.115333313
vor61,76501.58983651116
vor62,0.0
vor63,5986386.316699388
vor64,40170.491549056664
vor65,268056.98019754235
vor66,10307785.032052768
vor67,49134271.33830545
vor68,2095562.7992968801
vor69,11762.870893692074
vor70,0.0
vor71,0.0
vor72,213667.12527338383
vor73,5860399.5147785945
vor74,0.0
vor75,1381620.6987314697
vor76,93521188.6915778
vor77,108668878.52510747
vor78,2106047.2222758713
vor79,1326635.690963278
vor80,0.0
vor81,0.0
vor82,47131991.732199505
vor83,257601441.1264728
vor84,69651245.01130469
vor85,58568355.67176823
vor86,128053570.22989188
vor87,623635316.986517
vor88,267170131.6324381
vor89,30673.529304591288
vor90,23250515.968329284
vor91,8420580.496602476
vor92,7578481.029695452
vor93,139365346.83975428
vor94,352709018.8157116
vor95,50686032.76562316
vor96,49361079.79707997
vor97,228823672.15703318
vor98,212707674.8573631
vor99,53044148.33569541
vor100,23935773.649765212
vor101,65312755.45728463
vor102,13771159.078352146
vor103,268023824.1720339
vor104,109050369.62079343
vor105,12248440.484990092
vor106,4685011.602944326
vor107,628830.6149468292
vor108,156742813.67169803
vor109,378059419.99360573
vor110,22815796.93690504
vor111,65428178.47794681
vor112,589002370.5161396
vor113,538866240.3394022
vor114,1116381108.5976334
vor115,163205793.8441247
vor116,50071358.45804132
