,0
vor0,530629.8495758594
vor1,168433.36236046924
vor2,31778.919239662366
vor3,29543922.953451604
vor4,2997598.5866856407
vor5,22070314.977988474
vor6,60451.60696744579
vor7,258695006.9282961
vor8,26198849.381470464
vor9,23261807.330968566
vor10,14177008.976426946
vor11,84449819.66900472
vor12,342082.1383081844
vor13,34805162.6229689
vor14,5027093.450833713
vor15,13052637.03785103
vor16,182005.9021258961
vor17,621118.339227679
vor18,591224.0969611871
vor19,229.9106654549646
vor20,71146.34188856876
vor21,1274841.8682563668
vor22,2206170.8106555277
vor23,20516823.22759414
vor24,9611070.66193231
vor25,25694139.992857683
vor26,764069.4269877528
vor27,16198604.126277445
vor28,167254.38380359134
vor29,8192127.432007013
vor30,473196.984111007
vor31,6572549.372453601
vor32,1490009.4364278063
vor33,23811.01144070177
vor34,18614017.55024945
vor35,5604388.60986246
vor36,29981302.757011175
vor37,17683107.932928357
vor38,27388779.853234515
vor39,1259560.213649434
vor40,2164258.070290761
vor41,2410334.368196124
vor42,4778671.864060716
vor43,2877823.562877145
vor44,23815.89737448155
vor45,117243.8799689191
vor46,96475967.51628757
vor47,128868905.03131627
vor48,27786581.210960686
vor49,58983658.54695778
vor50,212102314.17687905
vor51,6408.166098343887
vor52,2974817.403395652
vor53,194552730.60247496
vor54,70306421.5337494
vor55,2507715.84347331
vor56,144963757.08748013
vor57,987863460.6381966
vor58,1144497625.46411
vor59,693582033.1458335
vor60,5476304.741793526
vor61,404930.4953328626
vor62,501186270.24691844
vor63,588628887.3107295
vor64,55900747.598935254
vor65,3318089.1144963475
vor66,32439378.8667138
vor67,422354845.6219172
vor68,1253693905.8115344
vor69,912566440.4762543
vor70,942132814.2007065
vor71,1202628856.940938
vor72,227590702.3525635
vor73,119548.23860686122
vor74,46907765.6978603
vor75,6311217.97268834
vor76,27328871.055400476
vor77,104143632.90450817
vor78,638762279.5320008
vor79,2587310366.9981484
vor80,1723911541.4988742
vor81,1337275279.8293304
vor82,763107018.6012987
vor83,1256283683.4763148
vor84,26993851.134426925
vor85,1179030.032964268
vor86,1882.7593261774196
vor87,50484.664992512786
vor88,62929003.96588693
vor89,131764771.00562687
vor90,48880712.76760901
vor91,192629297.20894188
vor92,294613486.89518213
vor93,468400622.4921268
vor94,552231622.1055481
vor95,702378618.1970962
vor96,577963070.6136194
vor97,764798053.1767064
vor98,1428805135.9908702
vor99,842446650.496866
vor100,257232104.2350365
vor101,17533.2746607606
vor102,545373.3233057
vor103,118403.509868296
vor104,455572737.14237684
vor105,116572227.85823378
vor106,503327463.5754599
vor107,542073817.1665859
vor108,504632728.68625516
vor109,411720255.7738655
vor110,666194388.771836
vor111,284955741.84219724
vor112,761136077.0043204
vor113,1538530045.9544327
vor114,678512914.3719395
vor115,514145658.11176264
vor116,925977988.946513
vor117,918600984.0313401
vor118,141600496.19101167
vor119,2963375.8937083622
vor120,1511620.6931601255
vor121,1492921.2080787837
vor122,1.1016594451394017e-65
vor123,7786147.396410447
vor124,85894448.86559334
vor125,111491490.26329273
vor126,146234012.15203735
vor127,1252311513.5069199
vor128,410016324.3641008
vor129,804086330.6756773
vor130,378775515.54834837
vor131,872713275.5163105
vor132,1923181834.8481417
vor133,1586808996.8137836
vor134,535150276.0486345
vor135,48004566.45686852
vor136,2107749470.7086134
vor137,1387368286.7546186
vor138,1440470202.9220564
vor139,15570566.633419398
vor140,1.4833982481105788e-64
vor141,1.6383246345867232e-64
vor142,906862.1126116303
vor143,200297359.31618387
vor144,98825983.20890068
vor145,259487408.5303304
vor146,279797102.9865657
vor147,118705426.08605656
vor148,191828438.30430457
vor149,447904525.07873946
vor150,1604897704.6467946
vor151,1441388801.8152318
vor152,3074358027.8933077
vor153,1205240826.1551592
vor154,3642906652.130362
vor155,2320822040.8248725
vor156,2983681909.4362125
vor157,5529986040.006497
vor158,3297358830.5537605
vor159,2.7459217989669487e-62
vor160,266450261.6979305
vor161,21279524.168127973
vor162,260183112.5970254
vor163,829229614.546695
vor164,3297076834.8901
vor165,23838629.049526516
vor166,119917792.42337169
vor167,158128994.76166984
vor168,15567232.131319458
vor169,193697696.41247323
vor170,286140150.41702247
vor171,1054466927.8639975
vor172,1675065967.975738
vor173,4671840777.637414
vor174,3657670487.655614
vor175,4300826494.333734
vor176,55.088836495859354
vor177,1669706299.2849457
vor178,1624487057.4959428
vor179,4352649465.932683
vor180,6761005658.404991
vor181,6186900138.039807
vor182,2744458551.4495163
vor183,1019333186.2927116
vor184,26261721.40396429
vor185,2374446862.554631
vor186,3029078763.2209773
vor187,1583165125.581368
vor188,418828326.0672201
vor189,1337106.9767706457
vor190,2414275.6500048847
vor191,877000108.6310139
vor192,4971094.326233273
vor193,11186868.803008186
vor194,279632790.62204176
vor195,312830795.1803638
vor196,447729604.8105134
vor197,5116213302.633934
vor198,4282059545.058465
vor199,3225601127.980156
vor200,3570953887.786708
vor201,1467681474.315129
vor202,99368064.09700832
vor203,2415486056.644228
vor204,3456180744.542073
vor205,1918187696.759415
vor206,1452211027.76623
vor207,6322236001.571936
vor208,1664529718.59023
vor209,249519993.1986428
vor210,348384014.1443799
vor211,1066004416.4690386
vor212,1384088220.2594588
vor213,128999806.61084013
vor214,13252111.03913429
vor215,8243671.262599966
vor216,5797972.054939402
vor217,111331624.24382427
vor218,180109565.89216703
vor219,41401229.21137602
