,0
vor0,3403473.2867376003
vor1,1604904.3326177807
vor2,87.73309894302112
vor3,155006.59013322793
vor4,4104181.1580180204
vor5,1857047.3404986656
vor6,1164842.3921436714
vor7,0.0
vor8,774269.8320323852
vor9,9405293.354827166
vor10,893848.2000081452
vor11,4711924.591876312
vor12,348426.52649749967
vor13,60839.41142663846
vor14,0.0
vor15,861722.6181144835
vor16,1990186.700080547
vor17,6931581.614081392
vor18,7247442.980831773
vor19,16719938.353477508
vor20,3127295.4599939133
vor21,147612.3372705101
vor22,7282.816921093354
vor23,11227193.62124165
vor24,3573774.0825034096
vor25,9968816.74992516
vor26,4691168.89694616
vor27,3940048.612868362
vor28,7872299.220799139
vor29,4208574.270167128
vor30,38757.005058937546
vor31,2930989.236205362
vor32,7494.916484766598
vor33,989134.6069471666
vor34,4416518.397161068
vor35,15546210.57984731
vor36,14128043.209124165
vor37,729835.3255499642
vor38,293976.68598307663
vor39,6850875.3602870125
vor40,8389958.708254317
vor41,2835335.951359744
vor42,10429.565364750133
vor43,287937.83585043857
vor44,15103207.273797398
vor45,7351894.765459679
vor46,7741432.841600946
vor47,570893.5710706965
vor48,6666352.245835227
vor49,3876301.0979425223
vor50,539091.3764958783
vor51,6115.354226888435
vor52,6084978.243376591
vor53,24383226.82193319
vor54,5465025.431897825
vor55,6002372.443978825
vor56,3523056.8468113663
vor57,6322267.71105124
vor58,14148215.404537464
vor59,585599.6707606826
vor60,388174.87854905456
vor61,2149167.3135008104
vor62,1494429.364991529
vor63,7096638.3609932065
vor64,13407666.765729923
vor65,23974513.851857107
vor66,1827743.8684890396
vor67,6206145.640762241
vor68,0.0
vor69,9434748.08582651
vor70,1059767.1132947607
vor71,6066948.12158995
vor72,11576720.502933402
vor73,1656707.9367583357
vor74,346884.2661118129
vor75,214892.51705952847
vor76,0.0
vor77,5.756965415819317
vor78,9203126.909084214
vor79,8545274.371538593
vor80,1005848.0029429452
vor81,7863063.035531998
vor82,2276901.119874216
vor83,5318021.183481734
vor84,2883268.858631088
vor85,5.742519382538102
vor86,0.0
vor87,209.85573139571832
vor88,29455971.81188795
vor89,4336049.91953715
vor90,1929760.5244504553
vor91,1413432.8712458338
vor92,9913029.73558332
vor93,229947.66202908766
vor94,23.038816889925318
vor95,0.0
vor96,10244.538149546968
vor97,6332340.392126735
vor98,20060035.83759764
vor99,2065451.6606190319
vor100,2229199.3967058365
vor101,6446522.417481567
vor102,2102408.7834111284
vor103,7756.2138667153495
vor104,128.36534627266172
vor105,10925.000655823134
vor106,11957635.473795222
vor107,715014.0241632937
vor108,375444.09739434224
vor109,2476553.481449963
vor110,2822113.949245059
vor111,1137033.5917070196
vor112,50.93092178239493
vor113,23435.445977237516
vor114,11907.316241226548
vor115,6770665.768315634
vor116,848712.816469666
vor117,915266.9859854263
vor118,2721358.5223196587
vor119,4709284.280958324
vor120,667034.1009779089
vor121,1030.6916409929959
vor122,327.3656405012148
vor123,35657.45083477181
vor124,122076.75191501132
vor125,5226009.646458876
vor126,2057365.8489125075
vor127,11921910.21357145
vor128,12314773.785668325
vor129,1982553.333415124
vor130,2141355.0894905636
vor131,185038.0506915818
vor132,37359.0441542925
vor133,1240976.3919376596
vor134,4038017.0732689947
vor135,344569.8638821382
vor136,2425.299378290959
vor137,11719267.623041099
vor138,1371305.6272148092
vor139,14003.86835441516
vor140,5504829.973336294
