,0
vor0,7370.587666446638
vor1,8383710.162112543
vor2,959298.8178209346
vor3,11450.34109537206
vor4,2695036.414742178
vor5,274419.0016418416
vor6,92513.78844811415
vor7,89868.02654804447
vor8,0.0
vor9,1.3934521466465348
vor10,4281.337897742566
vor11,1555019.5865876705
vor12,755078.2769087879
vor13,375123.67364756763
vor14,23269.977784715004
vor15,16643.885879266458
vor16,3256542.765255757
vor17,29753.517631099137
vor18,6009553.774477978
vor19,271812.52152885986
vor20,151104.2114166798
vor21,55619997.194393985
vor22,0.0
vor23,168596.7438546324
vor24,15920269.89898123
vor25,1236406.8263598264
vor26,107820.18378717924
vor27,1040222017.932537
vor28,22710.089410756802
vor29,187413.90806415683
vor30,186340.8499367754
vor31,2031502.202549924
vor32,1812.9069904250916
vor33,458497.49499196425
vor34,67289264.30523105
vor35,227388.73246654894
vor36,3286002.861727213
vor37,89868.02654804447
vor38,11035405.685879568
vor39,272099.3201043642
vor40,14161066.92427812
vor41,52320442.25352062
vor42,2389146.9871441033
vor43,8483542.76115855
vor44,304011.0061276193
vor45,4100.33719667608
vor46,0.0
vor47,0.0
vor48,89340.57383578186
vor49,502138.77313808986
vor50,116803214.06044652
vor51,119972613.36139426
vor52,2582675.606496691
vor53,273279.10762598563
vor54,0.0
vor55,6182.440492110844
vor56,77702.1546413858
vor57,2136131.128368638
vor58,2719159.988962356
vor59,4101.425025159986
vor60,5245495.073335617
vor61,47637.220792160886
vor62,0.0
vor63,3727697.7815129925
vor64,25013.99747824267
vor65,166917.96311474624
vor66,6418614.730744819
vor67,30595705.752087712
vor68,1304898.2114918197
vor69,7324.690625515065
vor70,0.0
vor71,0.0
vor72,133049.6273924061
vor73,3649246.325630506
vor74,0.0
vor75,860329.444357234
vor76,58235253.985790946
vor77,67667657.24215621
vor78,1311426.8179351105
vor79,826090.5094421584
vor80,0.0
vor81,0.0
vor82,29348894.59577643
vor83,160407342.5604021
vor84,43371539.65222395
vor85,36470270.703292735
vor86,79738423.8850746
vor87,388335109.80052066
vor88,166365726.2135868
vor89,19100.278714211236
vor90,14477999.281870559
vor91,5243460.340785896
vor92,4719088.516360552
vor93,86782219.98221709
vor94,219630434.35590822
vor95,31561981.11823195
vor96,30736938.433019724
vor97,142487545.8969253
vor98,132452181.62160835
vor99,33030369.844597373
vor100,14904706.380897509
vor101,40669980.30906504
vor102,8575243.29862148
vor103,166897316.99600402
vor104,67905210.15568739
vor105,7627052.784001652
vor106,2917337.177178232
vor107,391570.2001632874
vor108,97603096.0718624
vor109,235416023.39610952
vor110,14207301.55484597
vor111,40741853.74243461
vor112,366769318.5376434
vor113,335549759.4670697
vor114,695165858.2797388
vor115,101627566.85877293
vor116,31179225.991598368
vor117,7748709.607545243
vor118,520636.69848841924
vor119,32585582.184018947
vor120,17616620.827198528
vor121,385365543.28970355
vor122,79702703.63768679
vor123,119314220.33554448
vor124,399767954.2878508
vor125,817735753.0739908
vor126,1296452484.21717
vor127,878454810.4395121
vor128,68447872.54839116
vor129,19256221.152797855
vor130,17560131.238604005
vor131,52681.41655798736
vor132,29448585.774955202
vor133,151193605.31350318
vor134,9.20588044087875e-243
vor135,10149.471637136601
vor136,708885673.6637936
vor137,380857668.27876586
vor138,562087155.3206842
vor139,577054050.1484138
vor140,867495147.3877984
vor141,972473531.9780731
vor142,1445063598.2974946
vor143,827969007.9273671
vor144,285412896.127639
vor145,129348578.18788092
vor146,1672160.5927388545
vor147,66827.87894667995
vor148,396800.4742933077
vor149,150021773.41652128
vor150,3.8037211963162766e-243
vor151,28884.089727026607
vor152,31872.15598104358
vor153,9558.302640083826
vor154,1.2490679635539391e-08
vor155,2.2205885546250052e-08
vor156,905777252.7007751
vor157,673420655.1945971
vor158,857467836.5875496
vor159,1282883494.666051
vor160,974752508.7013538
vor161,106931609.9368553
vor162,2107604.758435337
vor163,16488081.142901132
vor164,1119556.7734206845
vor165,9067420.457399147
vor166,532152766.59197915
vor167,24557081.365914486
vor168,50373.52331926559
vor169,89173.47592328509
vor170,159408875.38210112
vor171,24426.372899491584
vor172,235653.87975971875
vor173,1041804604.5041506
vor174,636975834.1173235
vor175,312398896.8209935
vor176,65554320.21168587
vor177,26222803.316967722
vor178,47716584.15984275
vor179,12087474.057936361
vor180,321769104.3223708
vor181,157083377.1837676
vor182,1014452.0568340654
vor183,139017983.07105592
vor184,1097521.8323022663
vor185,3837.9208436846775
vor186,95677.51859025513
vor187,3188.852065945217
vor188,2.0378211822830242e-41
vor189,76273.85354782897
vor190,56432.87204557392
vor191,58031.93408588112
vor192,249909702.3151994
vor193,180098841.47258797
vor194,2814907812.6909084
vor195,2031139786.2408924
vor196,296367956.8567643
vor197,232652914.5571193
vor198,291378456.122368
vor199,603783819.330033
vor200,526714326.1802282
vor201,102032777.32985435
vor202,11451704.14882916
vor203,9793377.776429148
vor204,552122.2367860987
vor205,957428.1379342726
vor206,5524488.91171635
vor207,261725.47974988568
