,0
vor0,223507.72451831654
vor1,70946.17384274308
vor2,13385.665982766875
vor3,12444258.45615083
vor4,1262624.8592403152
vor5,9296284.187698169
vor6,25462.94960143928
vor7,108965472.61525208
vor8,11035272.921286048
vor9,9798155.209104935
vor10,5971528.023404077
vor11,35571287.67876258
vor12,144089.1431055686
vor13,14660356.377553567
vor14,2117472.6959572304
vor15,5497928.93412513
vor16,76663.09210757444
vor17,261622.57318984054
vor18,249030.75599274263
vor19,96.84115908557605
vor20,29967.701583366863
vor21,536978.8475382884
vor22,929265.8869124793
vor23,8641934.63222905
vor24,4048299.460632093
vor25,10822683.209112775
vor26,321835.3040948413
vor27,6823048.404704742
vor28,70449.57378393692
vor29,3450623.372875681
vor30,199316.30542857567
vor31,2768437.462942574
vor32,627610.0353438334
vor33,10029.486637144073
vor34,7840449.816620218
vor35,2360636.414457219
vor36,12628488.130983492
vor37,7448339.402051643
vor38,11536486.05939272
vor39,530542.0293856707
vor40,911611.7326376236
vor41,1015262.0520583675
vor42,2012834.5124376945
vor43,1212174.1673937058
vor44,10031.54465167556
vor45,49384.54338084769
vor46,40636846.92352718
vor47,54281144.846524134
vor48,11704044.813101623
vor49,24844631.93341557
vor50,89340065.66844298
vor51,2699.1972353630304
vor52,1253029.1487030159
vor53,81947968.34467888
vor54,29613916.949064136
vor55,1056280.3098266372
vor56,61060491.621696144
vor57,416100063.7233615
vor58,482076272.5439732
vor59,292145159.41597223
vor60,2306685.936694848
vor61,170561.63288262996
vor62,211105732.013096
vor63,247937622.23088306
vor64,23546072.473490916
vor65,1397619.3542878544
vor66,13663859.583252175
vor67,177900980.42862552
vor68,528071069.41758615
vor69,384384046.1399978
vor70,396837761.13302475
vor71,506561851.8630012
vor72,95863962.50607982
vor73,50355.16717076883
vor74,19758119.49091692
vor75,2658361.509708117
vor76,11511251.747577777
vor77,43866560.526444376
vor78,269054414.71196395
vor79,1089806487.9174025
vor80,726132437.176798
vor81,563276557.2614454
vor82,321429926.01691073
vor83,529161915.1612361
vor84,11370137.296016205
vor85,496621.74115767685
vor86,793.0410495110953
vor87,21264.752830179656
vor88,26506459.246237226
vor89,55500918.69630952
vor90,20589148.711204983
vor91,81137794.88497858
vor92,124094771.75281917
vor93,197296019.77698684
