,0
vor0,657.5876607223361
vor1,747976.2270211887
vor2,85586.53584927636
vor3,1021.5743107779304
vor4,240445.23608335387
vor5,24483.061258318172
vor6,8253.877232490118
vor7,8017.828160498841
vor8,0.0
vor9,0.12432074332596181
vor10,381.9715740923684
vor11,138735.43584274012
vor12,67366.42724366089
vor13,33467.711151232514
vor14,2076.0963642249953
vor15,1484.9309818945333
vor16,290541.6007458163
vor17,2654.5435646012465
vor18,536159.2029539244
vor19,24250.516821187673
vor20,13481.186223878296
vor21,4962294.120853629
vor22,0.0
vor23,15041.831589830275
vor24,1420371.551728165
vor25,110309.50440333808
vor26,9619.480242807418
vor27,92806326.21983296
vor28,2026.1443518810042
vor29,16720.657696234182
vor30,16624.92180437089
vor31,181246.16944840061
vor32,161.74358421484447
vor33,40906.14057157953
vor34,6003400.530413345
vor35,20287.123825688424
vor36,293169.9659183128
vor37,8017.828160498841
vor38,984554.6839005293
vor39,24276.104360865524
vor40,1263419.3219708176
vor41,4667915.068166806
vor42,213154.45246651847
vor43,756883.0724779422
vor44,27123.194974449518
vor45,365.8230886540562
vor46,0.0
vor47,0.0
vor48,7970.769986728338
vor49,44799.71965994533
vor50,10420926.495253066
vor51,10703693.347303819
vor52,230420.6512883886
vor53,24381.36241512141
vor54,0.0
vor55,551.5837765921577
vor56,6932.415760593952
vor57,190580.93265679845
vor58,242597.48844878262
vor59,365.9201423247232
vor60,467991.56196296203
vor61,4250.08832425062
vor62,0.0
vor63,332577.01759441034
vor64,2231.693974947593
vor65,14892.054455419002
vor66,572654.7240029316
vor67,2729681.7410169696
vor68,116420.15551649332
vor69,653.4928274273369
vor70,0.0
vor71,0.0
vor72,11870.39584852133
vor73,325577.7508210329
vor74,0.0
vor75,76756.70548508177
vor76,5195621.59397654
vor77,6037159.918061534
vor78,117002.62345977059
vor79,73701.98283129312
vor80,0.0
vor81,0.0
vor82,2618443.9851221936
vor83,14311191.173692925
vor84,3869513.611739153
vor85,3253797.5373204555
vor86,7114087.234993995
vor87,34646406.49925095
vor88,14842785.090691015
vor89,1704.0849613661842
vor90,1291695.3315738486
vor91,467810.0275890263
vor92,421026.7238719692
vor93,7742519.2688752385
vor94,19594945.489761762
vor95,2815890.709201289
vor96,2742282.2109488887
vor97,12712426.230946291
vor98,11817093.047631267
vor99,2946897.1297608544
vor100,1329765.202764733
vor101,3628486.414293588
vor102,765064.3932417855
vor103,14890212.454001877
vor104,6058353.867821859
vor105,680468.9158327829
vor106,260278.42238579586
vor107,34935.03416371273
vor108,8707934.092872115
vor109,21003301.110755872
vor110,1267544.274272503
vor111,3634898.8043303774
vor112,32722353.91756332
vor113,29937013.35218901
vor114,62021172.69986848
vor115,9066988.546895823
vor116,2781742.1365578524
vor117,691322.8707174286
vor118,46450.063975733625
vor119,2907214.1505366294
vor120,1571716.2597938036
vor121,34381468.29030768
vor122,7110900.352891352
vor123,10644952.966034707
vor124,35666419.80104651
vor125,72956589.79824388
vor126,115666646.25875545
vor127,78373810.8803599
vor128,6106769.015911677
vor129,1717997.8036032196
vor130,1566676.382636093
vor131,4700.120403643073
vor132,2627338.213408664
vor133,13489161.751224987
vor134,8.213284554724574e-244
vor135,905.5135917879894
vor136,63245224.527515024
vor137,33979285.57199261
vor138,50148182.79308188
vor139,51483496.31263313
vor140,77396013.78810224
vor141,86761954.9413955
vor142,128925403.80807495
vor143,73869578.34476659
vor144,25463912.404021867
vor145,11540196.358499492
vor146,149186.4994072218
vor147,5962.236740990923
vor148,35401.66774650745
vor149,13384613.480345028
vor150,3.393596598697606e-244
vor151,2576.975114502152
vor152,2843.563829945741
vor153,852.7707908803764
vor154,1.1143910328559047e-09
vor155,1.981160389299904e-09
vor156,80811459.23418054
vor157,60081113.3890234
vor158,76501399.11816366
vor159,114456050.78101553
vor160,86965280.2446308
vor161,9540203.633389482
vor162,188035.87251746448
vor163,1471030.425147566
vor164,99884.3990460911
vor165,808975.3595240165
vor166,47477502.30597871
vor167,2190928.9218677613
vor168,4494.215232342179
vor169,7955.861877583855
vor170,14222110.122655995
vor171,2179.267399264494
vor172,21024.522133666407
vor173,92947521.12159857
vor174,56829586.41150057
vor175,27871544.17929785
vor176,5848612.624809559
vor177,2339540.9797900068
vor178,4257168.949794026
vor179,1078417.9158447343
vor180,28707533.5345787
vor181,14014634.275483359
vor182,90507.18682925303
vor183,12402879.447753018
vor184,97918.48994359476
vor185,342.4108773748308
vor186,8536.13829463013
vor187,284.5023850649678
vor188,1.8180993495650996e-42
vor189,6804.985870682336
vor190,5034.817031649574
vor191,5177.481838585172
vor192,22296395.345161714
vor193,16068023.504000643
vor194,251139899.21360388
vor195,181213835.46044037
vor196,26441298.887155514
vor197,20756782.60233025
vor198,25996146.57846777
vor199,53868267.674597375
vor200,46992296.58423943
vor201,9103140.536104454
vor202,1021695.9194168675
vor203,873743.678796358
vor204,49259.134624198785
vor205,85419.63789401155
vor206,492882.7801180509
vor207,23350.573084375435
vor208,797315.3628237526
vor209,97562.80414340444
vor210,363505.4601256116
vor211,8679.82331972014
vor212,4.01546072075742e-42
vor213,2.7321608862102943e-42
vor214,146364805.87768003
vor215,112886749.48555951
vor216,1.3259623517337388e-42
vor217,29851261.402647488
vor218,26522889.326755803
vor219,226159281.530704
vor220,45521629.39763813
vor221,71368918.60877696
vor222,44355325.1963106
vor223,144100846.1148114
vor224,180001756.84751424
vor225,68313691.65465292
vor226,41762198.33530478
vor227,8581507.764309397
vor228,1401991.3189107361
vor229,557317.316648051
vor230,23229.60507862772
vor231,30559.240533967324
vor232,1064.2025848538417
vor233,27962.225517749936
vor234,379.61447484609215
vor235,94174.83782547318
vor236,21638.75649762471
vor237,29473.975008725436
vor238,9.764570727331548e-71
vor239,1.1445036968465885e-42
vor240,1.6547784157715116e-42
vor241,2.2795237728308506e-42
vor242,2.88566035412981e-42
vor243,200312985.8606982
vor244,2052.8360245372596
vor245,542.370270467063
vor246,65838769.79248289
vor247,86704379.87157275
vor248,59748240.91057436
vor249,46421755.22629101
vor250,33361500.298857216
vor251,307720230.2724001
vor252,312666034.33532935
vor253,166405484.94769192
vor254,221362531.74004298
vor255,118618251.7219271
vor256,4114037.041964603
vor257,9888.559408428802
vor258,9881.884421474257
vor259,30017.810120461836
vor260,2060.875139123824
vor261,41.642322147999394
vor262,0.0
vor263,1064.2375794243665
vor264,0.0
vor265,7382.560529214015
vor266,28205.440212488807
vor267,7.272647181376333e-52
vor268,1.0411430977832942e-44
vor269,1.0180116618058044e-290
vor270,5.624922157193331e-54
vor271,8.359464197933074e-44
vor272,26755961.733213156
vor273,56303071.53590217
vor274,482.49622738589045
vor275,112552496.78955847
vor276,22819316.912749287
vor277,16165947.913438905
vor278,3952.3719033960683
vor279,5078.260996412046
vor280,21915850.983787995
vor281,18347972.44245971
vor282,110596909.5238611
vor283,62907542.03355503
vor284,118603057.53128293
vor285,23054724.17627237
vor286,926390.0519618969
vor287,307541.916740129
vor288,322102.63092464994
vor289,2753.7661896676987
vor290,17801.18501053862
vor291,138308.3556009865
vor292,3026.497732242355
vor293,0.0
vor294,1538.0054921130263
vor295,43120.15843444986
vor296,21497.0179035245
vor297,1.5150020676980053e-45
vor298,4.6612655465044795e-292
vor299,1.3249000911631015e-53
vor300,3.672953693538599e-52
vor301,100811338.75734496
vor302,621562.7450121511
vor303,216.81970123210843
vor304,61258559.750000335
vor305,58759978.15689667
vor306,461.3501440661748
vor307,82.2761690777654
vor308,743025.8252478522
vor309,805783.5611774076
vor310,761310.3342704086
vor311,6188186.334304338
vor312,13600202.169863226
vor313,130622999.77942799
vor314,91820665.62710056
vor315,24507781.254869834
vor316,623349.4412582216
vor317,2061.9299366241794
vor318,612775.7096645113
vor319,150164.50424575154
vor320,581.8722587397027
vor321,581.9385609701575
vor322,30237.978156704154
vor323,159455.85789460025
vor324,15781.649697323624
vor325,308407.620507783
vor326,398.8409864254605
vor327,1.551994799683835e-291
vor328,2.9202819927588997
vor329,28.519472420490402
vor330,414.0022801763152
vor331,765.2120807836344
vor332,132.06349289116915
