,0
vor0,239360.20388476262
vor1,75978.09280390728
vor2,14335.055961369433
vor3,13326878.288785236
vor4,1352177.623341892
vor5,9955631.212896977
vor6,27268.931403793482
vor7,116693943.34265539
vor8,11817959.231858969
vor9,10493097.872121675
vor10,6395063.831757804
vor11,38094212.13330105
vor12,154308.79064988755
vor13,15700154.87883923
vor14,2267656.284886947
vor15,5887874.315987151
vor16,82100.48845896396
vor17,280178.3812820508
vor18,266693.47852053546
vor19,103.70970235196775
vor20,32093.186830169652
vor21,575064.5383982527
vor22,995174.8765457
vor23,9254871.347229967
vor24,4335428.613806423
vor25,11590291.409821663
vor26,344661.75239121483
vor27,7306979.035222978
vor28,75446.27095488088
vor29,3695361.8307422944
vor30,213452.98739789985
vor31,2964791.2930089575
vor32,672123.8218668913
vor33,10740.83668249048
vor34,8396540.52538426
vor35,2528066.601187959
vor36,13524174.613216996
vor37,7976619.339310072
vor38,12354721.346839475
vor39,568171.1833309948
vor40,976268.5860550719
vor41,1087270.39434934
vor42,2155596.547375214
vor43,1298148.6723848
vor44,10743.040663488959
vor45,52887.184985979795
vor46,43519050.564412326
vor47,58131082.1608655
vor48,12534164.350596407
vor49,26606759.01846466
vor50,95676587.37326607
vor51,2890.640142187732
vor52,1341901.3287056475
vor53,87760199.13046432
vor54,31714309.713593464
vor55,1131197.907653722
vor56,65391259.990548156
vor57,445612321.9183167
vor58,516267950.61696213
vor59,312865808.42991394
vor60,2470289.638961206
vor61,182658.8647425412
vor62,226078589.29616445
vor63,265522813.2977747
vor64,25216098.101693626
vor65,1496746.7201260703
vor66,14632980.684441552
vor67,190518761.88379943
vor68,565524968.3823774
vor69,411646818.25830996
vor70,424983823.7970577
vor71,542490190.9027056
vor72,102663197.25686283
vor73,53926.65111070374
vor74,21159481.26588263
vor75,2846908.107245284
vor76,12327697.269555653
vor77,46977834.4080119
vor78,288137332.61497855
vor79,1167101959.0263388
vor80,777634010.5674266
vor81,603227436.0099697
vor82,344227622.5212381
vor83,566693183.3072509
vor84,12176574.153029542
vor85,531845.0692175776
vor86,849.2881743082928
vor87,22772.97388249219
vor88,28386452.875916407
vor89,59437369.529712155
vor90,22049451.95495403
vor91,86892563.41490312
vor92,132896301.15380494
vor93,211289411.23286167
vor94,249104481.71065485
vor95,316833833.2084726
vor96,260711602.50505662
vor97,344990426.16123194
vor98,644515360.2567514
vor99,380016695.6045645
vor100,116034047.01906535
vor101,7909.031504582226
vor102,246010.7925781145
vor103,53410.27890798135
vor104,205502919.47183317
vor105,52584211.47952938
vor106,227044453.67806086
vor107,244522428.395797
vor108,227633241.74434358
vor109,185721637.1153851
vor110,300511599.2829479
vor111,128539818.33099113
vor112,343338556.4747748
vor113,694010835.9468367
vor114,306068325.5047334
vor115,231924400.12650156
vor116,417696592.840003
vor117,414368922.1445724
vor118,63874136.86877157
vor119,1336740.2129227938
vor120,681872.3778928824
vor121,673437.2840790168
vor122,4.969442062313605e-66
vor123,3512229.532076453
vor124,38745865.52089269
vor125,50292357.020941816
vor126,65964255.48162562
vor127,564901389.2449689
vor128,184953015.88163257
vor129,362712855.6852236
vor130,170860694.51365706
vor131,393669575.36877054
vor132,867522240.7195417
vor133,715788840.954044
vor134,241399309.30454698
vor135,21654233.782174394
vor136,950778293.8522551
vor137,625823738.0469203
vor138,649777319.7963617
vor139,7023679.513988094
vor140,6.691416010498809e-65
vor141,7.390268732103151e-65
vor142,409073.67036285496
vor143,90351526.21327865
vor144,44579111.990971506
vor145,117051385.36965995
vor146,126212823.62980959
vor147,53546469.37577552
vor148,86531306.40900697
vor149,202043889.03008354
vor150,723948421.117848
vor151,650191687.77535
vor152,1386802806.060567
vor153,543668416.1460772
vor154,1643267674.6022816
vor155,1046892551.0242643
vor156,1345899991.7565515
vor157,2494504572.394234
vor158,1487395559.434577
vor159,1.2386495071427005e-62
vor160,120192237.61374032
vor161,9598915.79323164
vor162,117365208.39974514
vor163,374054663.0835636
vor164,1487268354.868903
vor165,10753294.625601634
vor166,54093352.01706437
vor167,71329926.98488364
vor168,7022175.363584321
vor169,87374504.35997431
vor170,129074089.59028739
vor171,475656277.242999
vor172,755600409.4673173
vor173,2107406437.7386174
vor174,1649927448.2359557
vor175,1940046733.8570642
vor176,24.849855593240914
vor177,753182732.8296219
vor178,732784922.6748003
vor179,1963423400.3935483
vor180,3049801465.4761615
vor181,2790829953.5723042
vor182,1237989455.2734234
vor183,459807904.6863861
vor184,11846319.981136065
vor185,1071082008.6523613
vor186,1366377920.365985
vor187,714145138.1698568
vor188,188927994.91075692
vor189,603151.516695455
vor190,1089048.2551652465
vor191,395603309.8715983
vor192,2242395.810203051
vor193,5046250.601356955
vor194,126138704.46537751
vor195,141113891.3041858
vor196,201964984.7786556
vor197,2307857087.601178
vor198,1931581207.8252854
vor199,1455026595.7736564
vor200,1610810721.1211777
vor201,662051969.3921503
vor202,44823637.6089766
vor203,1089594253.812342
vor204,1559038053.244522
vor205,865269450.1686491
vor206,655073452.7423755
vor207,2851878196.3612547
vor208,750847644.7988529
vor209,112555214.32330093
vor210,157151484.64121494
vor211,480860687.86375123
vor212,624344142.8344302
vor213,58190130.155976824
vor214,5977854.436131225
vor215,3718612.580411943
vor216,2615389.568260711
vor217,50220243.544768564
vor218,81245075.91874917
vor219,18675554.48121852
vor220,37388464.05372615
vor221,321935705.25368214
vor222,12703577.06301311
vor223,81922669.66961212
vor224,1523201714.0015018
vor225,356839155.37577254
vor226,1162689063.2387898
vor227,1067136583.0687017
vor228,486473259.3904755
vor229,725964283.299446
vor230,1046594429.8606585
vor231,897494031.7157309
vor232,690593125.5016876
vor233,409832893.17729324
vor234,576394946.0404671
vor235,1314771665.5059578
vor236,33373219.966654234
vor237,164666203.00823793
vor238,59099666.86294454
vor239,61857458.02234431
vor240,5105021.451786757
vor241,2701393.3668553745
vor242,1837115.7948875006
vor243,25262952.039854165
vor244,109376393.29855612
vor245,464891715.4253786
vor246,87063867.47800173
vor247,726119754.5850483
vor248,146083698.8989144
vor249,428356325.1215659
vor250,983628044.5788431
vor251,230396195.2889599
vor252,36751875.325652145
vor253,239855851.82780284
vor254,473202215.1103769
vor255,339002568.9244141
vor256,5.366552412851949e-174
vor257,798437995.5718814
vor258,1259901930.981717
vor259,1394868177.99684
vor260,4795178.76515098
vor261,0.0
vor262,2003846.5654139011
vor263,153139941.0536859
vor264,37341257.51023747
vor265,289289.66049118974
vor266,1586576.2628440056
vor267,152959595.00982636
vor268,369236884.0920024
vor269,299728928.59776706
vor270,491931568.6357587
vor271,453499210.34629184
vor272,1764420218.849873
vor273,791271256.7169732
vor274,952525699.4302646
vor275,315114925.170606
vor276,787812676.9750962
vor277,16382.256675439856
vor278,304563.33004974766
vor279,248616211.30041003
vor280,509659371.00593
vor281,409974783.239578
vor282,1370484993.2708728
vor283,1379631816.0577462
vor284,79565568.10726611
vor285,465332.68903593195
vor286,20984534.551138714
vor287,165723973.7317178
vor288,48630369.00384782
vor289,413211313.7256029
vor290,378943083.88870686
vor291,2300307939.439352
vor292,593850921.2705836
vor293,1203072849.7283776
vor294,976945520.755835
vor295,1264818752.3899202
vor296,662712234.2887044
vor297,1195702426.8747482
vor298,295072956.8453702
vor299,607313884.8404473
vor300,468780370.38244575
vor301,572053241.1856031
vor302,357860396.89882034
vor303,400382464.54510117
vor304,634477356.8041682
vor305,937678553.1831009
vor306,688534569.1750083
vor307,7870719.242468415
vor308,85572404.3435108
vor309,3208843.755742033
vor310,21738444.44414518
vor311,211594315.036737
vor312,285640458.7490564
vor313,462534272.6389152
vor314,397681340.7538771
vor315,364930759.95202696
vor316,109567059.11422926
vor317,104819205.28515385
vor318,58275689.077900484
vor319,188295588.03723225
vor320,524107270.931544
vor321,628490366.8757955
vor322,1106085868.828996
vor323,859109879.7572825
vor324,1118491248.5419958
vor325,720272535.7135625
vor326,617125774.5815156
vor327,713957269.900056
vor328,1843538743.5727413
vor329,1153064576.0006335
vor330,449789584.44158834
vor331,1079420.9929498415
vor332,9733825.20552096
vor333,347342.5073072153
vor334,84870475.42454247
vor335,205815768.64130726
vor336,18700955.114724062
vor337,35311053.890362345
vor338,79037907.46222597
vor339,19042867.513417404
vor340,23273524.526307635
vor341,147390624.86258045
vor342,1752893.3712893953
vor343,492363280.4739733
vor344,1546224749.010204
vor345,789432434.1159493
vor346,1441112474.5169232
vor347,306052108.55173874
vor348,32068817.505886532
vor349,124047358.1597222
vor350,602170480.6948278
vor351,951138565.0901288
vor352,1496628906.3287363
vor353,2656567395.9929767
vor354,784660163.0040095
vor355,4487585.023430252
vor356,1841928.151063512
vor357,2899015.689861494
vor358,32768851.85961426
vor359,23799757.21085272
vor360,2043008.3783881115
vor361,13306082.007466318
vor362,4043742.282718696
vor363,43399252.748520374
vor364,87202940.68426043
vor365,30922431.03359252
vor366,172115159.75365707
vor367,487170778.997339
vor368,1218438864.6307483
vor369,528368047.65727025
vor370,451294150.65763247
vor371,39479988.69703873
vor372,487523535.8703348
vor373,440846272.5424515
vor374,1084725395.697071
vor375,1045124970.0449601
vor376,570649010.6111982
vor377,703928959.4865916
vor378,40182953.254252076
vor379,3902364.119749084
vor380,3594880.1853905977
vor381,67779385.80539432
vor382,102936.17337493548
vor383,13639374.68738636
vor384,108659304.43755531
vor385,4690629.537229735
vor386,53578475.06867496
vor387,46138819.84004274
vor388,12545417.55774318
vor389,242440622.98597053
vor390,961257634.4495547
vor391,243827759.34433943
vor392,75896959.62763512
vor393,222865145.8805083
vor394,787377214.3910722
vor395,554367903.0357298
vor396,45102488.07329477
vor397,126399225.56610519
vor398,328345343.2584689
vor399,941500531.2469404
vor400,134060169.237755
vor401,82974604.55989206
vor402,19731818.447359808
vor403,2565251.908478753
vor404,25345675.00747624
vor405,8446314.744329102
vor406,43479445.091032855
vor407,174591352.05506465
vor408,153595571.0195195
vor409,157317139.22124216
vor410,315608511.2413972
vor411,241265471.64383727
vor412,99795915.56131318
vor413,26292686.55890701
vor414,61725373.17813557
vor415,1187290141.9140308
vor416,75166038.33703795
vor417,35684119.37444406
vor418,442217619.0754942
vor419,910274592.7480899
vor420,453387936.1341857
vor421,55315768.14260659
vor422,29144396.915973652
vor423,70516964.90473723
vor424,11894837.457573973
vor425,677402.0310393142
vor426,250853102.7038407
vor427,63125665.791728355
vor428,156970425.30850947
vor429,245458663.82282495
vor430,223655295.2951499
vor431,14952957.788387282
vor432,279761153.0847896
vor433,218825680.85029024
vor434,48527050.59555745
vor435,3956882.4111559293
vor436,23327869.95643734
vor437,7361169.937880472
vor438,3332217.1199756837
vor439,432824447.95964
vor440,1986592391.8065085
vor441,200655861.91992334
vor442,6910625.67203947
vor443,13330193.838582873
vor444,51741903.46652967
vor445,50264570.22288253
vor446,843439.8442871803
vor447,723530.3133397255
vor448,63590814.673529886
vor449,7994962.122592034
vor450,34962658.03338513
vor451,773620845.560562
vor452,326954877.8161934
vor453,224095469.73463446
vor454,4356730.478016389
vor455,17864292.75387771
vor456,73805559.84557164
vor457,76630029.85708256
vor458,13006508.61428149
vor459,6230632.358837792
vor460,209091433.409501
vor461,5365626.787293735
vor462,1046639012.0107781
vor463,992547042.4489236
vor464,327532226.9466666
vor465,147369308.3062102
vor466,20585669.551125854
vor467,16848464.326005027
vor468,405696.3725103432
vor469,3680824.4176572408
vor470,154238.6183802216
vor471,91312715.08513427
vor472,6326236.917150871
vor473,6131021.45140118
vor474,3322089.068291403
vor475,4127968.0693733343
vor476,5194376.67612653
vor477,1787568.9154149792
vor478,49058476.982043855
vor479,83830231.22492242
vor480,498908.2328318372
vor481,23871759.77384853
vor482,93965.12540953404
vor483,4163691.1744511174
vor484,5104059.769641086
vor485,41669246.541172236
vor486,248428313.75277412
vor487,47715886.62820117
vor488,6401500.268088158
vor489,127996865.01679617
vor490,2048960.6227265652
vor491,3047099.693424384
vor492,5407003.215251421
vor493,2190575.5419213055
vor494,9655441.135943076
vor495,44830615.26625026
vor496,98674.30689186713
vor497,9284397.454662628
vor498,69749246.28786041
vor499,45852087.9848351
vor500,157943365.48362768
vor501,10562594.654875655
vor502,16460704.037102621
vor503,694339.6762160491
vor504,14423348.850154504
vor505,186058310.00389495
vor506,148753574.28283417
vor507,99983068.25587812
vor508,105788055.67722711
vor509,108321085.08656871
vor510,772997.0155586986
vor511,17365381.935060814
vor512,1198998.863813499
vor513,5576233.2443973
vor514,141281.063075664
vor515,293740.1107178778
vor516,5463842.388392429
vor517,2094037.429242918
vor518,5739220.587484073
vor519,46142593.57378465
vor520,19536777.017172024
vor521,46543009.97682546
vor522,1429326.1240081561
vor523,7763641.681851679
vor524,5471922.868449229
vor525,405498311.0447673
vor526,1179151.5561309643
vor527,24321495.324729774
vor528,5796100.108696077
vor529,10997829.083529377
vor530,19682967.13303242
vor531,6565191.318772708
vor532,1011537.1632965904
vor533,59750.767948601395
vor534,39364068.64309835
vor535,2854346.34529294
vor536,8107630.350503374
vor537,360106318.1997232
vor538,11779090.677405132
vor539,19346315.191213716
vor540,2455009.169694832
vor541,10588174.757210571
vor542,1180600.2134689838
vor543,2309765.323134707
vor544,5148893.56263687
vor545,79250585.51137039
vor546,12745847.715759898
vor547,106626783.05298552
vor548,7651615.182683567
vor549,14800315.616151331
vor550,6243423.006231172
vor551,2096774.537226196
vor552,12487966.666330468
vor553,874740.1433809964
vor554,3322089.068291403
vor555,15371919.508742519
vor556,6.14118347035157e-10
vor557,9691731.336181965
vor558,1206194.889739081
vor559,8278069.435143946
vor560,9072236.350108106
vor561,134597.36257446022
vor562,65978963.894295536
vor563,32230598.736273643
vor564,22537161.14049234
vor565,2804510.8046182566
vor566,35489.98823510406
vor567,1735370.6416916812
vor568,2883917.1287802686
vor569,2262281.9849817553
vor570,443790.61132941116
vor571,7425521.516316851
vor572,4935608.8248965
vor573,59206479.464108154
vor574,1090.9137382300648
vor575,1.2352237380030504e-14
vor576,207.15918789076716
vor577,35368.09959146415
vor578,2209172.274558843
vor579,0
