,0
vor0,36870960.606324
vor1,17386463.60335929
vor2,950.4419052160619
vor3,1679238.059776636
vor4,44461962.54519521
vor5,20118012.855402213
vor6,12619125.914889771
vor7,0.0
vor8,8387923.180350841
vor9,101890678.01062761
vor10,9683355.500088241
vor11,51045849.74532672
vor12,3774620.7037229124
vor13,659093.6237885833
vor14,0.0
vor15,9335328.362906903
vor16,21560355.91753926
vor17,75092134.1525484
vor18,78513965.62567754
vor19,181132665.49600634
vor20,33879034.14993406
vor21,1599133.6537638595
vor22,78897.18331184467
vor23,121627930.89678456
vor24,38715885.89378693
vor25,107995514.79085588
vor26,50820996.38358341
vor27,42683859.97274059
vor28,85283241.55865733
vor29,45592887.926810555
vor30,419867.55480515683
vor31,31752383.39222475
vor32,81194.92858497148
vor33,10715624.908594301
vor34,47845615.9692449
vor35,168417281.28167918
vor36,153053801.43217844
vor37,7906549.360124612
vor38,3184747.4314833307
vor39,74217816.40310931
vor40,90891219.33942178
vor41,30716139.473063897
vor42,112986.95811812642
vor43,3119326.5550464178
vor44,163618078.79947183
vor45,79645526.62581319
vor46,83865522.45067692
vor47,6184680.35326588
vor48,72218815.9965483
vor49,41993261.89437733
vor50,5840156.578705348
vor51,66249.67079129138
vor52,65920597.63657975
vor53,264151623.90427625
vor54,59204442.178893104
vor55,65025701.476437256
vor56,38166449.17378981
vor57,68491233.53638844
vor58,153272333.54915583
vor59,6343996.433240727
vor60,4205227.850948091
vor61,23282645.896258786
vor62,16189651.454074897
vor63,76880248.91075972
vor64,145249723.2954075
vor65,259723900.06178537
vor66,19800558.575297933
vor67,67233244.44159093
vor68,0.0
vor69,102209770.92978719
vor70,11480810.394026572
vor71,65725271.317224465
vor72,125414472.11511186
vor73,17947669.31488197
vor74,3757912.882877974
vor75,2328002.268144892
vor76,0.0
vor77,62.36712533804262
vor78,99700541.51507896
vor79,92573805.69166808
vor80,10896686.698548574
vor81,85183182.88492996
vor82,24666428.79863734
vor83,57611896.154385455
vor84,31235412.63517012
vor85,62.2106266441628
vor86,0.0
vor87,2273.4370901202815
vor88,319106361.29545283
vor89,46973874.12831914
vor90,20905739.01487993
vor91,15312189.438496534
vor92,107391155.46881929
vor93,2491099.6719817827
vor94,249.58718297419094
vor95,0.0
vor96,110982.49662009218
vor97,68600354.24803962
vor98,217317054.9073077
vor99,22375726.32337284
vor100,24149660.130979903
vor101,69837326.18938366
vor102,22776095.153620556
vor103,84025.65022274961
vor104,1390.624584620502
vor105,118354.17377141726
vor106,129541050.96611491
vor107,7745985.261769015
vor108,4067311.055105374
vor109,26829329.3823746
vor110,30572901.116821468
vor111,12317863.91015938
vor112,551.7516526426118
vor113,253883.99808673974
vor114,128995.92594662093
vor115,73348879.15675269
vor116,9194388.845088048
vor117,9915392.348175455
vor118,29481383.991796304
vor119,51017246.3770485
vor120,7226202.760594012
vor121,11165.826110757456
vor122,3546.461105429827
vor123,386289.0507100279
vor124,1322498.1457459566
vor125,56615104.503304504
vor126,22288130.02988549
vor127,129154027.31369069
vor128,133410049.34474018
vor129,21477661.111997183
vor130,23198013.46948111
vor131,2004578.8824921367
vor132,404722.9783381687
vor133,13443910.912657982
vor134,43745184.96041412
vor135,3732840.192056498
vor136,26274.07659815205
vor137,126958732.58294523
vor138,14855810.961493766
vor139,151708.57383949758
vor140,59635658.0444765
vor141,260461760.12207642
vor142,149853862.0361778
vor143,51737401.59775128
vor144,21978451.798837397
vor145,7234681.958087639
vor146,1201253.4987902383
vor147,467050.34693391045
vor148,1474283.8896544822
vor149,13151606.521927502
vor150,792017.9196123716
vor151,109004.7282652468
vor152,0.13625294181321637
vor153,42417697.02177794
vor154,5677427.182698993
vor155,2163394.1164495526
vor156,80410411.0602497
vor157,165674621.94121668
vor158,35298692.15565275
vor159,227995578.2416092
vor160,332892069.998424
vor161,108020532.01169114
vor162,184841898.46747792
vor163,202221673.45470458
vor164,5303643.711044544
vor165,3187402.243341728
