,0
vor0,6575.876607223358
vor1,7479762.270211889
vor2,855865.3584927635
vor3,10215.743107779304
vor4,2404452.3608335378
vor5,244830.61258318165
vor6,82538.7723249012
vor7,80178.28160498838
vor8,0.0
vor9,1.2432074332596172
vor10,3819.71574092368
vor11,1387354.3584274016
vor12,673664.2724366086
vor13,334677.1115123251
vor14,20760.963642249946
vor15,14849.309818945327
vor16,2905416.007458164
vor17,26545.435646012473
vor18,5361592.029539244
vor19,242505.16821187662
vor20,134811.86223878292
vor21,49622941.208536275
vor22,0.0
vor23,150418.31589830265
vor24,14203715.517281659
vor25,1103095.0440333814
vor26,96194.80242807411
vor27,928063262.1983297
vor28,20261.443518810032
vor29,167206.57696234176
vor30,166249.218043709
vor31,1812461.6944840034
vor32,1617.4358421484442
vor33,409061.4057157951
vor34,60034005.30413345
vor35,202871.2382568844
vor36,2931699.659183128
vor37,80178.28160498838
vor38,9845546.839005288
vor39,242761.04360865516
vor40,12634193.219708176
vor41,46679150.68166803
vor42,2131544.5246651853
vor43,7568830.724779424
vor44,271231.94974449486
vor45,3658.230886540566
vor46,0.0
vor47,0.0
vor48,79707.69986728333
vor49,447997.1965994533
vor50,104209264.95253071
vor51,107036933.47303823
vor52,2304206.5128838853
vor53,243813.62415121397
vor54,0.0
vor55,5515.837765921574
vor56,69324.1576059395
vor57,1905809.3265679835
vor58,2425974.884487827
vor59,3659.201423247234
vor60,4679915.61962962
vor61,42500.88324250619
vor62,0.0
vor63,3325770.175944105
vor64,22316.939749475918
vor65,148920.54455419016
vor66,5726547.240029313
vor67,27296817.41016969
vor68,1164201.5551649332
vor69,6534.928274273371
vor70,0.0
vor71,0.0
vor72,118703.9584852133
vor73,3255777.5082103275
vor74,0.0
vor75,767567.0548508171
vor76,51956215.939765416
vor77,60371599.18061532
vor78,1170026.234597706
vor79,737019.8283129316
vor80,0.0
vor81,0.0
vor82,26184439.851221938
vor83,143111911.7369293
vor84,38695136.11739152
vor85,32537975.373204563
vor86,71140872.34993994
vor87,346464064.9925097
vor88,148427850.90690988
vor89,17040.849613661834
vor90,12916953.315738494
vor91,4678100.275890264
vor92,4210267.238719694
vor93,77425192.68875238
vor94,195949454.89761755
vor95,28158907.092012852
vor96,27422822.10948887
vor97,127124262.30946292
vor98,118170930.47631274
vor99,29468971.29760856
vor100,13297652.027647339
vor101,36284864.14293588
vor102,7650643.932417861
vor103,148902124.54001886
vor104,60583538.6782186
vor105,6804689.158327829
vor106,2602784.2238579593
vor107,349350.3416371272
vor108,87079340.92872116
