,0
vor0,192956.30893667616
vor1,61248.49540380695
vor2,11555.970632604494
vor3,10743244.71034604
vor4,1090035.849703868
vor5,8025569.0829048995
vor6,21982.402533616638
vor7,94070911.61028947
vor8,9526854.32053472
vor9,8458839.029443113
vor10,5155275.991427981
vor11,30709025.334183503
vor12,124393.50483933974
vor13,12656422.771988701
vor14,1828033.982121349
vor15,4746413.4683094695
vor16,66183.96440941679
vor17,225861.21426461058
vor18,214990.58071315903
vor19,83.60387834725985
vor20,25871.397050388678
vor21,463578.8611841334
vor22,802243.9311474648
vor23,7460662.991852406
vor24,3494934.7861572006
vor25,9343323.633766431
vor26,277843.42799554643
vor27,5890401.500464525
vor28,60819.77592857868
vor29,2978955.4298207313
vor30,172071.6305858208
vor31,2390017.9536194885
vor32,541821.6132464751
vor33,8658.549614800646
vor34,6768733.654636159
vor35,2037959.49449544
vor36,10902291.91164044
vor37,6430221.066519403
vor38,9959556.310267095
vor39,458021.8958725211
vor40,787002.9346511858
vor41,876485.2247985904
vor42,1737698.8596584406
vor43,1046481.2955916894
vor44,8660.326317993291
vor45,42634.138170516
vor46,35082170.00592273
vor47,46861420.011387736
vor48,10104211.349440256
vor49,21448603.107984647
vor50,77128114.24613784
vor51,2330.2422175795955
vor52,1081751.7830529646
vor53,70746447.49180909
vor54,25565971.466817964
vor55,911896.6703539309
vor56,52714093.48635639
vor57,359223076.59570783
vor58,416180954.71422195
vor59,252211648.41666666
vor60,1991383.542470372
vor61,147247.45284831364
vor62,182249552.81706116
vor63,214046868.11299238
vor64,20327544.581431024
vor65,1206577.8598168534
vor66,11796137.769714108
vor67,153583580.22615162
vor68,455888693.02237624
vor69,331842341.9913649
vor70,342593750.61843854
vor71,437319584.3421592
vor72,82760255.40093221
vor73,43472.08676613136
vor74,17057369.344676476
vor75,2294988.353704851
vor76,9937771.292872896
vor77,37870411.96527572
vor78,232277192.5570914
vor79,940840133.4538727
vor80,626876924.1814084
vor81,486281919.93793863
vor82,277493461.3095633
vor83,456830430.3550236
vor84,9815945.86706434
vor85,428738.1938051883
vor86,684.639754973607
vor87,18358.059997277393
vor88,22883274.169413425
vor89,47914462.18386435
vor90,17774804.642766897
vor91,70047017.16688795
vor92,107132177.05279344
vor93,170327499.0880461
vor94,200811498.94747198
