,0
vor0,14181138.694740001
vor1,6687101.385907419
vor2,365.5545789292547
vor3,645860.792221783
vor4,17100754.825075082
vor5,7737697.252077773
vor6,4853509.967265298
vor7,0.0
vor8,3226124.3001349387
vor9,39188722.31177986
vor10,3724367.500033938
vor11,19633019.13281797
vor12,1451777.1937395819
vor13,253497.54761099356
vor14,0.0
vor15,3590510.9088103464
vor16,8292444.583668948
vor17,28881590.058672465
vor18,30197679.08679906
vor19,69666409.80615628
vor20,13030397.749974638
vor21,615051.405293792
vor22,30345.07050455564
vor23,46779973.42184022
vor24,14890725.343764203
vor25,41536736.45802151
vor26,19546537.070609003
vor27,16416869.220284844
vor28,32801246.75332974
vor29,17535726.125696365
vor30,161487.52107890643
vor31,12212455.150855673
vor32,31228.818686527487
vor33,4121394.1956131933
vor34,18402159.98817112
vor35,64775877.41603046
vor36,58866846.70468403
vor37,3040980.5231248504
vor38,1224902.8582628195
vor39,28545314.00119589
vor40,34958161.28439298
vor41,11813899.797332268
vor42,43456.522353125554
vor43,1199740.982710161
vor44,62930030.307489164
vor45,30632894.856081996
vor46,32255970.173337277
vor47,2378723.2127945684
vor48,27776467.690980114
vor49,16151254.574760508
vor50,2246214.068732826
vor51,25480.64261203515
vor52,25354076.014069133
vor53,101596778.42472166
vor54,22770939.299574267
vor55,25009885.183245104
vor56,14679403.528380696
vor57,26342782.129380167
vor58,58950897.51890611
vor59,2439998.6281695105
vor60,1617395.3272877277
vor61,8954863.806253375
vor62,6226789.020798037
vor63,29569326.504138358
vor64,55865278.19054134
vor65,99893807.7160713
vor66,7615599.452037663
vor67,25858940.169842675
vor68,0.0
vor69,39311450.35761045
vor70,4415696.305394835
vor71,25278950.506624788
vor72,48236335.42888917
vor73,6902949.736493065
vor74,1445351.1087992205
vor75,895385.4877480352
vor76,0.0
vor77,23.987355899247163
vor78,38346362.12118422
vor79,35605309.8814108
vor80,4191033.3455956047
vor81,32762762.648049988
vor82,9487087.999475904
vor83,22158421.597840562
vor84,12013620.244296199
vor85,23.92716409390876
vor86,0.0
vor87,874.398880815493
vor88,122733215.88286649
vor89,18066874.66473813
vor90,8040668.851876897
vor91,5889303.630190975
vor92,41304290.5649305
vor93,958115.2584545317
vor94,95.9950703746888
vor95,0.0
vor96,42685.575623112374
vor97,26384751.633861396
vor98,83583482.65665683
vor99,8606048.585912634
vor100,9288330.819607655
vor101,26860510.072839875
vor102,8760036.597546369
vor103,32317.55777798062
vor104,534.8556094694238
vor105,45520.83606592972
vor106,49823481.14081343
vor107,2979225.100680391
vor108,1564350.4058097594
vor109,10318972.839374846
vor110,11758808.121854411
vor111,4737639.965445915
vor112,212.2121740933122
vor113,97647.69157182299
vor114,49613.81767177729
vor115,28211107.367981803
vor116,3536303.4019569415
vor117,3813612.4416059433
vor118,11338993.84299858
vor119,19622017.837326344
vor120,2779308.7540746205
vor121,4294.548504137483
vor122,1364.023502088395
vor123,148572.71181154918
vor124,508653.1329792139
vor125,21775040.19357865
vor126,8572357.703802116
vor127,49674625.88988104
vor128,51311557.44028469
vor129,8260638.889229685
vor130,8922312.872877348
vor131,770991.8778815909
vor132,155662.68397621874
vor133,5170734.966406914
vor134,16825071.138620812
vor135,1435707.766175576
vor136,10105.414076212326
vor137,48830281.76267125
vor138,5713773.446728372
