,0
vor0,138285.35473795125
vor1,43894.75503939501
vor2,8281.778953366555
vor3,7699325.375747994
vor4,781192.3589544396
vor5,5751657.84274851
vor6,15754.055149091924
vor7,67417486.6540408
vor8,6827578.929716547
vor9,6062167.971100896
vor10,3694614.460523386
vor11,22008134.822831504
vor12,89148.67846819347
vor13,9070436.31992523
vor14,1310091.0205203006
vor15,3401596.3189551197
vor16,47431.84116008204
vor17,161867.20355630422
vor18,154076.5828444306
vor19,59.916112815536245
vor20,18541.167886111874
vor21,332231.5171819624
vor22,574941.4839890164
vor23,5346808.477494227
vor24,2504703.263412663
vor25,6696048.604199273
vor26,199121.12339680837
vor27,4221454.408666242
vor28,43587.506082148044
vor29,2134918.058038193
vor30,123318.00191983812
vor31,1712846.200093968
vor32,388305.48949330713
vor33,6205.293890607126
vor34,4850925.785822579
vor35,1460537.637721732
vor36,7813309.2033423055
vor37,4608325.097672238
vor38,7137682.022358086
vor39,328249.0253753071
vor40,564018.7698333497
vor41,628147.7444389905
vor42,1245350.8494218837
vor43,749978.2618407101
vor44,6206.567194561854
vor45,30554.46568886982
vor46,25142221.837577976
vor47,33584017.67482788
vor48,7241351.46709885
vor49,15371498.894055672
vor50,55275148.54306548
vor51,1670.0069225987102
vor52,775255.4445212912
vor53,50701620.70246317
vor54,18322279.551219538
vor55,653525.9470869841
vor56,37778433.66522213
vor57,257443204.89359072
vor58,298263017.54519224
vor59,180751681.36527777
vor60,1427158.2054370996
vor61,105527.34120795812
vor62,130612179.5188939
vor63,153400255.4809779
vor64,14568073.616692228
vor65,864714.1328687454
vor66,8453898.734961774
vor67,110068232.4954087
vor68,326720229.99936986
vor69,237820345.09381157
vor70,245525521.2765476
vor71,313412368.7785474
vor72,59311516.37066807
vor73,31154.995515727474
vor74,12224448.03035147
vor75,1644741.6534884756
vor76,7122069.426558911
vor77,27140461.90844759
vor78,166465321.33258197
vor79,674268762.3086091
vor80,449261795.6633427
vor81,348502042.6221894
vor82,198870313.9385203
vor83,327395141.7544333
vor84,7034761.204729444
vor85,307262.37222705194
vor86,490.6584910644183
vor87,13156.609664715468
vor88,16399679.821412958
vor89,34338697.898436084
vor90,12738609.993982945
vor91,50200362.30293636
vor92,76778060.22116867
vor93,122068041.01309972
vor94,143914907.57902163
vor95,183044124.74227348
vor96,150620679.00839782
vor97,199311007.79756597
vor98,372355277.8642877
vor99,219546702.8567589
vor100,67036245.34610043
vor101,4569.277638864883
vor102,142127.59334633383
vor103,30856.67226870744
vor104,118725016.34619512
vor105,30379429.078206375
vor106,131170187.47724111
vor107,141267722.04947397
vor108,131510347.47581194
vor109,107296793.92894684
vor110,173614295.25569052
vor111,74261193.32857263
vor112,198356674.61324713
vor113,400950254.4002465
vor114,176824577.68480846
vor115,133989474.53821692
vor116,241315475.90727293
vor117,239392983.71725866
vor118,36901947.49220303
vor119,772273.7177543005
