,0
vor0,177264233.68425
vor1,83588767.32384272
vor2,4569.432236615682
vor3,8073259.902772289
vor4,213759435.31343853
vor5,96721215.65097217
vor6,60668874.590816215
vor7,0.0
vor8,40326553.75168673
vor9,489859028.89724827
vor10,46554593.75042422
vor11,245412739.16022462
vor12,18147214.921744768
vor13,3168719.3451374196
vor14,0.0
vor15,44881386.360129334
vor16,103655557.29586186
vor17,361019875.73340577
vor18,377470988.5849882
vor19,870830122.5769534
vor20,162879971.874683
vor21,7688142.566172402
vor22,379313.38130694546
vor23,584749667.7730026
vor24,186134066.79705256
vor25,519209205.7252687
vor26,244331713.38261253
vor27,205210865.25356054
vor28,410015584.4166218
vor29,219196576.57120457
vor30,2018594.0134863304
vor31,152655689.38569593
vor32,390360.23358159367
vor33,51517427.44516491
vor34,230026999.85213897
vor35,809698467.7003808
vor36,735835583.8085504
vor37,38012256.53906064
vor38,15311285.728285244
vor39,356816425.0149486
vor40,436977016.0549124
vor41,147673747.46665338
vor42,543206.5294140696
vor43,14996762.283877008
vor44,786625378.8436146
vor45,382911185.70102495
vor46,403199627.16671604
vor47,29734040.159932118
vor48,347205846.13725144
vor49,201890682.1845064
vor50,28077675.859160326
vor51,318508.0326504393
vor52,316925950.1758641
vor53,1269959730.3090205
vor54,284636741.2446784
vor55,312623564.79056376
vor56,183492544.10475868
vor57,329284776.61725205
vor58,736886218.9863262
vor59,30499982.852118872
vor60,20217441.591096595
vor61,111935797.57816721
vor62,77834862.75997546
vor63,369616581.3017294
vor64,698315977.3817668
vor65,1248672596.450891
vor66,95194993.15047081
vor67,323236752.1230334
vor68,0.0
vor69,491393129.4701308
vor70,55196203.81743544
vor71,315986881.33280987
vor72,602954192.8611145
vor73,86286871.70616332
vor74,18066888.85999026
vor75,11192318.596850442
vor76,0.0
vor77,299.8419487405896
vor78,479329526.5148028
vor79,445066373.5176349
vor80,52387916.819945075
vor81,409534533.1006249
vor82,118588599.99344876
vor83,276980269.97300696
vor84,150170253.05370247
vor85,299.0895511738596
vor86,0.0
vor87,10929.986010193665
vor88,1534165198.5358307
vor89,225835933.3092266
vor90,100508360.6484612
vor91,73616295.3773872
vor92,516303632.0616313
vor93,11976440.730681648
vor94,1199.9383796836098
vor95,0.0
vor96,533569.6952889047
vor97,329809395.4232674
vor98,1044793533.2082102
vor99,107575607.32390788
vor100,116104135.24509566
vor101,335756375.91049844
vor102,109500457.4693296
vor103,403969.4722247578
vor104,6685.6951183677975
vor105,569010.4508241214
vor106,622793514.2601678
vor107,37240313.75850488
vor108,19554380.072621994
vor109,128987160.49218558
vor110,146985101.52318013
vor111,59220499.56807394
vor112,2652.652176166403
vor113,1220596.1446477873
vor114,620172.720897216
vor115,352638842.0997726
vor116,44203792.52446176
vor117,47670155.52007428
vor118,141737423.0374822
vor119,245275222.96657938
vor120,34741359.42593276
vor121,53681.85630171854
vor122,17050.293776104936
vor123,1857158.8976443652
vor124,6358164.162240174
vor125,272188002.41973317
vor126,107154471.29752642
vor127,620932823.6235131
vor128,641394468.0035584
vor129,103257986.11537108
vor130,111528910.91096684
vor131,9637398.473519886
vor132,1945783.5497027342
vor133,64634187.08008644
vor134,210313389.23276016
vor135,17946347.0771947
vor136,126317.67595265408
vor137,610378522.0333906
vor138,71422168.08410466
vor139,729368.143459123
vor140,286709894.4445987
vor141,1252220000.586906
vor142,720451259.7893164
vor143,248737507.68149656
vor144,105665633.6482567
vor145,34782124.798498265
vor146,5775257.205722299
vor147,2245434.360259185
vor148,7087903.315646549
vor149,63228877.50926684
vor150,3807778.459674863
vor151,524061.19358291733
vor152,0.655062220255848
vor153,203931235.6816247
vor154,27295322.993745156
vor155,10400933.252161311
vor156,386588514.712739
vor157,796512605.4866185
vor158,169705250.74833053
vor159,1096132587.7000442
vor160,1600442644.2231922
vor161,519329480.825438
vor162,888662973.4013363
vor163,972219583.916849
vor164,25498287.072329536
vor165,15324049.246835232
vor166,61332013.1625639
vor167,51615268.51490246
vor168,16013187.77237806
vor169,4414212.564869533
vor170,110583.39902734093
vor171,63055.41720128237
vor172,51929237.206817634
vor173,90383807.54151133
vor174,912368146.4625185
vor175,2963818585.9214797
vor176,124143094.72326902
vor177,145376617.0189439
vor178,669452135.733654
vor179,306733954.15416396
vor180,89932473.62877978
vor181,237233854.5466596
vor182,1223276528.2972631
vor183,619566145.8678956
vor184,262269902.5554346
vor185,916564755.5875311
vor186,210366353.5532809
vor187,117288773.95190775
vor188,59859100.24346046
