,0
vor0,469527.01841257873
vor1,149038.005482597
vor2,28119.528539337625
vor3,26141895.461842023
vor4,2652420.567612748
vor5,19528884.768401932
vor6,53490.51283180049
vor7,228905884.918371
vor8,23182012.179967828
vor9,20583174.971644897
vor10,12544504.912474751
vor11,74725294.97984661
vor12,302690.8617757269
vor13,30797295.411839154
vor14,4448216.023161949
vor15,11549606.106219705
vor16,161047.64672958085
vor17,549595.6213772192
vor18,523143.74640202004
vor19,203.43610397833243
vor20,62953.732822612415
vor21,1128041.8955480587
vor22,1952126.8991254966
vor23,18154279.946840875
vor24,8504341.312982524
vor25,22735420.84216499
vor26,676085.6747891632
vor27,14333310.317797016
vor28,147994.78809287483
vor29,7248791.545897117
vor30,418707.6344254969
vor31,5815710.353807421
vor32,1318432.5922330895
vor33,21069.137396014892
vor34,16470585.226281319
vor35,4959034.769938908
vor36,26528910.31832503
vor37,15646871.261863884
vor38,24234920.354983255
vor39,1114519.9466231354
vor40,1915040.4743178852
vor41,2132780.7136765723
vor42,4228400.558502209
vor43,2546437.8192731114
vor44,21073.460707117
vor45,103743.06954825565
vor46,85366613.6810787
vor47,114029455.3610435
vor48,24586914.28363795
vor49,52191600.89609597
vor50,187678411.3322688
vor51,5670.2560627770135
vor52,2632262.672095545
vor53,172149688.89673534
vor54,62210530.56925706
vor55,2218948.5645278995
vor56,128270960.81680058
vor57,874109486.382889
vor58,1012706989.8046061
vor59,613715011.1472219
vor60,4845699.9533445705
vor61,358302.13526422984
vor62,443473911.85484886
vor63,520847379.07494825
vor64,49463691.81481542
vor65,2936006.125554345
vor66,28703935.23963764
vor67,373720045.21696866
vor68,1109329153.0211158
vor69,807483032.1789881
vor70,833644793.1715333
vor71,1064144321.8992543
vor72,201383288.1422683
vor73,105782.07779758639
vor74,41506265.40537941
vor75,5584471.660681796
vor76,24181910.14599073
vor77,92151335.78217086
vor78,565207835.2222549
vor79,2289377658.0710907
vor80,1525400515.5080943
vor81,1183286005.1823175
vor82,675234089.1866035
vor83,1111620713.8638906
vor84,23885468.276523232
vor85,1043262.9382592925
vor86,1665.9567371024443
vor87,44671.27932670831
vor88,55682633.81223938
vor89,116591857.98073655
vor90,43252024.630732775
vor91,170447741.77276063
vor92,260688297.49513087
vor93,414463581.1142456
vor94,488641314.1055151
vor95,621498656.1016728
vor96,511409747.3308388
vor97,676730398.5684798
vor98,1264276059.7252555
vor99,745437642.2578325
vor100,227611437.68675965
vor101,15514.291518006346
vor102,482572.75880383124
vor103,104769.16630770426
vor104,403112846.19870937
vor105,103148759.19577047
