,0
vor0,7090569.347370001
vor1,3343550.6929537095
vor2,182.77728946462736
vor3,322930.3961108915
vor4,8550377.412537541
vor5,3868848.6260388866
vor6,2426754.983632649
vor7,0.0
vor8,1613062.1500674693
vor9,19594361.15588993
vor10,1862183.750016969
vor11,9816509.566408984
vor12,725888.5968697909
vor13,126748.77380549678
vor14,0.0
vor15,1795255.4544051732
vor16,4146222.291834474
vor17,14440795.029336233
vor18,15098839.54339953
vor19,34833204.90307814
vor20,6515198.874987319
vor21,307525.702646896
vor22,15172.53525227782
vor23,23389986.71092011
vor24,7445362.671882101
vor25,20768368.229010753
vor26,9773268.535304502
vor27,8208434.610142422
vor28,16400623.37666487
vor29,8767863.062848182
vor30,80743.76053945321
vor31,6106227.575427837
vor32,15614.409343263744
vor33,2060697.0978065967
vor34,9201079.99408556
vor35,32387938.70801523
vor36,29433423.352342013
vor37,1520490.2615624252
vor38,612451.4291314097
vor39,14272657.000597944
vor40,17479080.64219649
vor41,5906949.898666134
vor42,21728.261176562777
vor43,599870.4913550805
vor44,31465015.153744582
vor45,15316447.428040998
vor46,16127985.086668639
vor47,1189361.6063972842
vor48,13888233.845490057
vor49,8075627.287380254
vor50,1123107.034366413
vor51,12740.321306017575
vor52,12677038.007034566
vor53,50798389.21236083
vor54,11385469.649787134
vor55,12504942.591622552
vor56,7339701.764190348
vor57,13171391.064690083
vor58,29475448.759453055
vor59,1219999.3140847553
vor60,808697.6636438639
vor61,4477431.903126688
vor62,3113394.5103990184
vor63,14784663.252069179
vor64,27932639.09527067
vor65,49946903.85803565
vor66,3807799.7260188316
vor67,12929470.084921338
vor68,0.0
vor69,19655725.178805225
vor70,2207848.1526974174
vor71,12639475.253312394
vor72,24118167.714444585
vor73,3451474.8682465325
vor74,722675.5543996103
vor75,447692.7438740176
vor76,0.0
vor77,11.993677949623581
vor78,19173181.06059211
vor79,17802654.9407054
vor80,2095516.6727978024
vor81,16381381.324024994
vor82,4743543.999737952
vor83,11079210.798920281
vor84,6006810.122148099
vor85,11.96358204695438
vor86,0.0
vor87,437.1994404077465
vor88,61366607.94143324
vor89,9033437.332369065
vor90,4020334.4259384484
vor91,2944651.8150954875
vor92,20652145.28246525
vor93,479057.62922726583
vor94,47.9975351873444
vor95,0.0
vor96,21342.787811556187
vor97,13192375.816930698
vor98,41791741.328328416
vor99,4303024.292956317
vor100,4644165.409803827
vor101,13430255.036419937
vor102,4380018.298773184
vor103,16158.77888899031
vor104,267.4278047347119
vor105,22760.41803296486
vor106,24911740.570406716
vor107,1489612.5503401954
vor108,782175.2029048797
vor109,5159486.419687423
vor110,5879404.060927206
vor111,2368819.9827229576
vor112,106.1060870466561
vor113,48823.84578591149
vor114,24806.908835888644
vor115,14105553.683990901
vor116,1768151.7009784707
vor117,1906806.2208029716
vor118,5669496.92149929
vor119,9811008.918663172
vor120,1389654.3770373103
vor121,2147.2742520687416
vor122,682.0117510441975
vor123,74286.35590577459
vor124,254326.56648960695
vor125,10887520.096789325
vor126,4286178.851901058
vor127,24837312.94494052
vor128,25655778.720142346
vor129,4130319.4446148425
vor130,4461156.436438674
vor131,385495.93894079543
vor132,77831.34198810937
vor133,2585367.483203457
vor134,8412535.569310406
vor135,717853.883087788
vor136,5052.707038106163
vor137,24415140.881335624
vor138,2856886.723364186
vor139,29174.725738364912
vor140,11468395.777783945
vor141,50088800.02347625
vor142,28818050.391572654
vor143,9949500.307259861
vor144,4226625.34593027
vor145,1391284.9919399307
vor146,231010.28822889196
vor147,89817.37441036743
vor148,283516.1326258619
vor149,2529155.1003706735
vor150,152311.1383869945
vor151,20962.44774331669
vor152,0.02620248881023391
vor153,8157249.427264989
vor154,1091812.9197498062
vor155,416037.33008645236
vor156,15463540.588509565
vor157,31860504.21946475
vor158,6788210.029933223
vor159,43845303.508001775
vor160,64017705.768927686
vor161,20773179.233017523
vor162,35546518.936053455
vor163,38888783.356673956
vor164,1019931.4828931814
vor165,612961.9698734091
vor166,2453280.526502556
vor167,2064610.7405960984
vor168,640527.5108951223
vor169,176568.50259478134
vor170,4423.335961093639
vor171,2522.2166880512946
vor172,2077169.4882727056
vor173,3615352.3016604525
vor174,36494725.85850074
vor175,118552743.43685918
vor176,4965723.788930762
vor177,5815064.680757757
vor178,26778085.429346155
vor179,12269358.16616656
vor180,3597298.9451511917
vor181,9489354.181866381
vor182,48931061.13189052
vor183,24782645.83471583
vor184,10490796.102217384
vor185,36662590.22350124
vor186,8414654.142131235
vor187,4691550.95807631
vor188,2394364.009738418
vor189,4159094.1380719203
vor190,628075.2051478071
vor191,52119.74467774306
vor192,123179.45169038555
vor193,0.0
vor194,14123671.444138914
vor195,14170338.387987072
vor196,23672399.93149005
vor197,17058460.150950532
vor198,20924687.460150212
vor199,14175449.006189648
vor200,13991881.304517677
vor201,21617368.639176756
vor202,1955921.9777041
vor203,993408.0807061854
vor204,22490555.937693004
vor205,91535875.41005339
vor206,7489452.197782732
vor207,14193559.265727658
vor208,641066.9768610774
vor209,575421.7407980053
vor210,35608898.43428835
vor211,110645078.4749915
vor212,4626131.359826386
vor213,66122.38441798177
