,0
vor0,1643.9691518058396
vor1,1869940.5675529724
vor2,213966.33962319087
vor3,2553.935776944826
vor4,601113.0902083844
vor5,61207.65314579541
vor6,20634.6930812253
vor7,20044.570401247096
vor8,0.0
vor9,0.3108018583149043
vor10,954.92893523092
vor11,346838.5896068504
vor12,168416.06810915214
vor13,83669.27787808128
vor14,5190.2409105624865
vor15,3712.3274547363317
vor16,726354.001864541
vor17,6636.358911503118
vor18,1340398.007384811
vor19,60626.292052969155
vor20,33702.96555969573
vor21,12405735.302134069
vor22,0.0
vor23,37604.57897457566
vor24,3550928.8793204147
vor25,275773.76100834535
vor26,24048.700607018527
vor27,232015815.54958242
vor28,5065.360879702508
vor29,41801.64424058544
vor30,41562.30451092725
vor31,453115.42362100084
vor32,404.35896053711105
vor33,102265.35142894878
vor34,15008501.326033363
vor35,50717.8095642211
vor36,732924.914795782
vor37,20044.570401247096
vor38,2461386.709751322
vor39,60690.26090216379
vor40,3158548.304927044
vor41,11669787.670417007
vor42,532886.1311662963
vor43,1892207.681194856
vor44,67807.98743612372
vor45,914.5577216351415
vor46,0.0
vor47,0.0
vor48,19926.924966820832
vor49,111999.29914986332
vor50,26052316.238132678
vor51,26759233.368259557
vor52,576051.6282209713
vor53,60953.40603780349
vor54,0.0
vor55,1378.9594414803935
vor56,17331.039401484875
vor57,476452.3316419959
vor58,606493.7211219567
vor59,914.8003558118085
vor60,1169978.904907405
vor61,10625.220810626548
vor62,0.0
vor63,831442.5439860262
vor64,5579.234937368979
vor65,37230.13613854754
vor66,1431636.8100073282
vor67,6824204.352542423
vor68,291050.3887912333
vor69,1633.7320685683428
vor70,0.0
vor71,0.0
vor72,29675.989621303324
vor73,813944.3770525819
vor74,0.0
vor75,191891.76371270427
vor76,12989053.984941354
vor77,15092899.79515383
vor78,292506.5586494265
vor79,184254.9570782329
vor80,0.0
vor81,0.0
vor82,6546109.962805484
vor83,35777977.934232324
vor84,9673784.02934788
vor85,8134493.843301141
vor86,17785218.087484986
vor87,86616016.24812743
vor88,37106962.72672747
vor89,4260.2124034154585
vor90,3229238.3289346234
vor91,1169525.068972566
vor92,1052566.8096799236
vor93,19356298.172188096
vor94,48987363.72440439
vor95,7039726.773003213
vor96,6855705.527372218
vor97,31781065.57736573
vor98,29542732.619078185
vor99,7367242.82440214
vor100,3324413.0069118347
vor101,9071216.03573397
vor102,1912660.9831044653
vor103,37225531.135004714
vor104,15145884.66955465
vor105,1701172.2895819573
vor106,650696.0559644898
vor107,87337.5854092818
vor108,21769835.23218029
vor109,52508252.77688969
vor110,3168860.6856812555
vor111,9087247.010825941
vor112,81805884.7939083
vor113,74842533.3804725
vor114,155052931.74967134
vor115,22667471.367239546
vor116,6954355.341394625
vor117,1728307.1767935709
vor118,116125.15993933403
vor119,7268035.376341577
vor120,3929290.649484512
vor121,85953670.72576927
vor122,17777250.882228382
vor123,26612382.41508679
vor124,89166049.50261624
vor125,182391474.49560967
vor126,289166615.6468887
vor127,195934527.20089954
vor128,15266922.539779196
vor129,4294994.509008045
vor130,3916690.9565902324
vor131,11750.30100910769
vor132,6568345.533521661
vor133,33722904.37806247
vor134,2.0533211386811436e-243
vor135,2263.7839794699735
vor136,158113061.31878766
vor137,84948213.92998153
vor138,125370456.98270462
vor139,128708740.78158289
vor140,193490034.47025567
vor141,216904887.35348856
vor142,322313509.52018726
vor143,184673945.86191654
vor144,63659781.01005465
vor145,28850490.89624871
vor146,372966.2485180545
vor147,14905.591852477306
vor148,88504.16936626863
vor149,33461533.700862557
vor150,8.483991496744015e-244
vor151,6442.437786255378
vor152,7108.90957486435
vor153,2131.9269772009407
vor154,2.785977582139762e-09
vor155,4.95290097324976e-09
vor156,202028648.08545157
vor157,150202783.47255853
vor158,191253497.7954091
vor159,286140126.95253885
vor160,217413200.61157697
vor161,23850509.08347373
vor162,470089.68129366124
vor163,3677576.062868918
vor164,249710.9976152278
vor165,2022438.3988100435
vor166,118693755.76494679
vor167,5477322.304669408
vor168,11235.538080855447
vor169,19889.654693959637
vor170,35555275.30664
vor171,5448.168498161236
vor172,52561.30533416603
vor173,232368802.8039964
vor174,142073966.02875137
vor175,69678860.44824459
vor176,14621531.5620239
vor177,5848852.449475017
vor178,10642922.374485072
vor179,2696044.7896118364
vor180,71768833.8364467
vor181,35036585.68870841
vor182,226267.96707313258
vor183,31007198.619382534
vor184,244796.22485898694
vor185,856.0271934370769
vor186,21340.345736575327
vor187,711.2559626624188
vor188,4.5452483739127494e-42
vor189,17012.46467670584
vor190,12587.042579123938
vor191,12943.70459646293
vor192,55740988.36290429
vor193,40170058.76000163
vor194,627849748.0340096
vor195,453034588.6511007
vor196,66103247.217888795
vor197,51891956.5058256
vor198,64990366.44616945
vor199,134670669.1864935
vor200,117480741.46059851
vor201,22757851.340261135
vor202,2554239.7985421717
vor203,2184359.196990895
vor204,123147.83656049686
vor205,213549.09473502907
vor206,1232206.9502951282
vor207,58376.4327109386
vor208,1993288.4070593824
vor209,243907.01035851124
vor210,908763.6503140287
vor211,21699.558299300377
vor212,1.0038651801893551e-41
vor213,6.830402215525736e-42
vor214,365912014.69420004
vor215,282216873.7138987
vor216,3.314905879334347e-42
vor217,74628153.50661872
vor218,66307223.31688947
vor219,565398203.8267598
vor220,113804073.49409539
vor221,178422296.52194247
vor222,110888312.9907765
vor223,360252115.287028
vor224,450004392.1187858
vor225,170784229.13663238
vor226,104405495.83826195
vor227,21453769.410773482
vor228,3504978.29727684
vor229,1393293.2916201283
vor230,58074.01269656929
vor231,76398.10133491833
vor232,2660.506462134604
vor233,69905.56379437483
vor234,949.0361871152297
vor235,235437.0945636829
vor236,54096.89124406177
vor237,73684.93752181363
vor238,2.4411426818328873e-70
vor239,2.861259242116471e-42
vor240,4.136946039428778e-42
vor241,5.698809432077126e-42
vor242,7.214150885324525e-42
vor243,500782464.6517453
vor244,5132.0900613431495
vor245,1355.9256761676577
vor246,164596924.48120725
vor247,216760949.67893162
vor248,149370602.2764359
vor249,116054388.0657275
vor250,83403750.74714305
vor251,769300575.6810004
vor252,781665085.8383238
vor253,416013712.36922956
vor254,553406329.3501079
vor255,296545629.3048176
vor256,10285092.604911515
vor257,24721.398521072013
vor258,24704.711053685616
vor259,75044.52530115457
vor260,5152.187847809557
vor261,104.10580536999836
vor262,0.0
vor263,2660.5939485609156
vor264,0.0
vor265,18456.40132303504
vor266,70513.60053122198
vor267,1.8181617953440834e-51
vor268,2.602857744458235e-44
vor269,2.5450291545145108e-290
vor270,1.4062305392983327e-53
vor271,2.0898660494832687e-43
vor272,66889904.333032906
vor273,140757678.8397555
vor274,1206.240568464726
vor275,281381241.97389644
vor276,57048292.28187321
vor277,40414869.78359725
vor278,9880.92975849017
vor279,12695.652491030112
vor280,54789627.45946999
vor281,45869931.10614925
vor282,276492273.8096526
vor283,157268855.08388746
vor284,296507643.8282074
vor285,57636810.44068095
vor286,2315975.1299047424
vor287,768854.7918503236
vor288,805256.5773116245
vor289,6884.415474169251
vor290,44502.962526346564
vor291,345770.889002466
vor292,7566.244330605887
vor293,0.0
vor294,3845.0137302825656
vor295,107800.3960861247
vor296,53742.54475881127
vor297,3.7875051692450135e-45
vor298,1.1653163866261197e-291
vor299,3.3122502279077545e-53
vor300,9.182384233846497e-52
vor301,252028346.89336228
vor302,1553906.8625303782
vor303,542.0492530802711
vor304,153146399.37500077
vor305,146899945.39224166
vor306,1153.375360165437
vor307,205.6904226944135
vor308,1857564.5631196306
vor309,2014458.9029435194
vor310,1903275.8356760205
vor311,15470465.835760845
vor312,34000505.42465807
vor313,326557499.44857
vor314,229551664.06775135
vor315,61269453.13717458
vor316,1558373.603145554
vor317,5154.824841560445
vor318,1531939.2741612778
vor319,375411.26061437867
vor320,1454.6806468492568
vor321,1454.846402425393
vor322,75594.94539176038
vor323,398639.6447365007
vor324,39454.124243309045
vor325,771019.0512694581
vor326,997.1024660636514
vor327,3.879986999209588e-291
vor328,7.30070498189725
vor329,71.29868105122603
vor330,1035.0057004407881
vor331,1913.0302019590858
vor332,330.1587322279229
vor333,413.6153369791898
vor334,35865613.67320312
vor335,6.029633437402345e-52
vor336,6.1170531872912606e-52
vor337,15609969.970222846
vor338,1609985.8498042459
vor339,1181328.5524714398
vor340,650568.4130166607
vor341,8507813.470661756
vor342,8900079.823082361
vor343,50438647.691911705
vor344,22104613.007156115
vor345,924295.2722612433
vor346,3675496.082821804
vor347,419.5110637559296
vor348,0.0
vor349,80846.55867122072
vor350,2034.3259534640438
vor351,1231.0465060898478
vor352,47.72874477632967
vor353,0.0
vor354,0.0
vor355,6887.298476753058
vor356,0.0
vor357,0.0
vor358,5.220729393680594e-14
vor359,157.21469306961657
vor360,291.547606452539
vor361,559.8304542020287
vor362,1168.5602867159769
vor363,21679105.01777915
vor364,61325874.422418855
vor365,11342411.97297014
vor366,11703858.123581672
vor367,26464727.019578077
vor368,19581124.6817489
vor369,18797507.097712766
vor370,1365057.1337377
vor371,2516017.4594630525
vor372,82627125.29750204
vor373,98199389.86834104
vor374,19742436.843529977
vor375,116822.19729247602
vor376,48195.00178439103
vor377,1324925.5832105214
vor378,28201.113327561692
vor379,11944.948966021862
vor380,16170.091408805727
vor381,89263.81095912782
vor382,2360.6640668170107
vor383,587.5102131303298
vor384,2610.4584423878046
vor385,17537.27112427958
vor386,0.0
vor387,299.2852471921231
vor388,0.0
vor389,0.0
vor390,0.0
vor391,0.0
vor392,1.9317572545822423
vor393,976.8786383550944
vor394,925.9019705127387
vor395,481.95502165454036
vor396,15171478.429647233
vor397,57959650.897252694
vor398,30049697.23371917
vor399,63257.328326265866
vor400,2.437066100797723e-185
vor401,4.391702317131561e-289
vor402,6386182.403208671
vor403,5017960.315702781
vor404,2954307.9886098546
vor405,95897332.53943121
vor406,79883767.66175677
vor407,13183867.567201901
vor408,116314.31660483395
vor409,0.0
vor410,223996.01507752502
vor411,2657425.770664441
vor412,9816796.888815194
vor413,84756.49585777707
vor414,202331.49373533428
vor415,8832.3407833328
vor416,0.0
vor417,0.0
vor418,0.0
vor419,0.0
vor420,3486.162944573305
vor421,0.0
vor422,47.728957918512144
vor423,431.30331274528925
vor424,0.0
vor425,0.0
vor426,0.0
vor427,0.0
vor428,5.85552216624474e-16
vor429,180.56407695137204
vor430,670.02060621915
vor431,98929468.41667044
vor432,1329113.3457002256
vor433,215990059.98387915
vor434,53674035.88480453
vor435,734965.6578951619
vor436,4.006787206297631e-290
vor437,1.2634748604776615e-289
vor438,852916.0515517871
vor439,756266.6193793225
vor440,134999.14317423588
vor441,5032712.596491767
vor442,6419568.81548433
vor443,5595941.193445716
vor444,1902331.9981651648
vor445,21804.480150696236
vor446,255446.20571326726
vor447,2415693.4982147305
vor448,12270124.985599237
vor449,1802267.3650030072
vor450,651333.0188993674
vor451,972.7543439974389
vor452,0.0
vor453,0.0
vor454,0.0
vor455,0.0
vor456,0.0
vor457,431.3359943552067
vor458,74949.053929433
vor459,7566.121588037643
vor460,768.0612723274047
vor461,47.73104503125676
vor462,0.0
vor463,47.73104503125676
vor464,0.0
vor465,0.0
vor466,587.047371791037
vor467,586.9803971990857
vor468,0.0007256509278299418
vor469,0.0
vor470,32837138.047141768
vor471,6553549.148999489
vor472,88853716.00785527
vor473,30956882.370675124
vor474,30779318.77868597
vor475,214849352.5161117
vor476,61362215.5288917
vor477,8.349805223673897e-290
vor478,891322.0905570508
vor479,1604185.4229247314
vor480,44474.136372288034
vor481,403701.5455715282
vor482,5525.713018294716
vor483,587111.0766310336
vor484,1031.7063860450646
vor485,2515624.655051566
vor486,4143511.2393736844
vor487,1624898.8006062647
vor488,1062976.6605348596
vor489,1506688.872490599
vor490,278027.25982173637
vor491,20005.87222841187
vor492,1454.846402425393
vor493,4010.7457646404537
vor494,0.0
vor495,0.0
vor496,0.0
vor497,0.0
vor498,0.0
vor499,191.3618601475365
vor500,6556.205029861212
vor501,107.52604706955616
vor502,0.0
vor503,0.0
vor504,0.0
vor505,0.0
vor506,0.0
vor507,0.0
vor508,47.728957918512144
vor509,299.2852471921231
vor510,11.912464911858613
vor511,4.8132385896124896e-05
vor512,26070763.69181047
vor513,40841746.25136193
vor514,32481337.88730102
vor515,10944975.92635915
vor516,46620612.662279695
vor517,33931846.786336236
vor518,7664187.492041982
vor519,1569480.6869197965
vor520,533159.7322327538
vor521,596877.1016888007
vor522,705046.2028759158
vor523,201213.32540668707
vor524,27216.990342870187
vor525,24188.578514877503
vor526,1031.7063860450646
vor527,304812.8099523383
vor528,22658.088805881045
vor529,57280.158794598814
vor530,1129780.6376424273
vor531,94012.6248494964
vor532,115582.27240509863
vor533,28399.280649442804
vor534,187399.60226407042
vor535,119.65623300139517
vor536,0.0
vor537,67.23494231636433
vor538,0.0
vor539,0.0
vor540,7.449230968762554
vor541,566.2787807331867
vor542,0.0
vor543,0.0
vor544,119.65623300139517
vor545,0.0
vor546,751.3497367835298
vor547,7.449230968762554
vor548,0.0
vor549,0.0
vor550,0.0
vor551,0.0
vor552,1201.6038879040448
vor553,0.0007221009803364916
vor554,5482661.078840508
vor555,49486625.959341735
vor556,46546543.96581832
vor557,29634711.31379641
vor558,2139315.893307974
vor559,7997991.308725761
vor560,19318834.69892041
vor561,1899196.5954123838
vor562,266928.3626490651
vor563,66250.72234027184
vor564,84560.68055434419
vor565,698070.4238118887
vor566,396088.32662309357
vor567,1840593.103899551
vor568,1993585.106035539
vor569,370818.72059307323
vor570,48.32856566809178
vor571,22512.453303024617
vor572,370032.12662186485
vor573,540888.3127211964
vor574,1523918.4061718544
vor575,40284.69070711928
vor576,1797.1635918310435
vor577,0.0
vor578,187.15210083840768
vor579,7.449460768690028
