,0
vor0,160796.9241138966
vor1,51040.41283650579
vor2,9629.975527170413
vor3,8952703.925288368
vor4,908363.2080865576
vor5,6687974.235754082
vor6,18318.66877801387
vor7,78392426.34190795
vor8,7939045.267112264
vor9,7049032.524535924
vor10,4296063.326189978
vor11,25590854.44515293
vor12,103661.25403278312
vor13,10547018.976657243
vor14,1523361.651767791
vor15,3955344.5569245564
vor16,55153.30367451397
vor17,188217.67855384215
vor18,179158.81726096588
vor19,69.66989862271657
vor20,21559.49754199056
vor21,386315.71765344474
vor22,668536.6092895537
vor23,6217219.159877016
vor24,2912445.655131002
vor25,7786103.028138687
vor26,231536.18999628877
vor27,4908667.917053771
vor28,50683.14660714888
vor29,2482462.858183944
vor30,143393.02548818395
vor31,1991681.6280162407
vor32,451518.01103872905
vor33,7215.458012333874
vor34,5640611.378863468
vor35,1698299.5787462003
vor36,9085243.259700356
vor37,5358517.5554328365
vor38,8299630.258555909
vor39,381684.9132271015
vor40,655835.7788759887
vor41,730404.3539988259
vor42,1448082.383048701
vor43,872067.7463264077
vor44,7216.938598327742
vor45,35528.44847543001
vor46,29235141.671602294
vor47,39051183.342823066
vor48,8420176.124533542
vor49,17873835.923320543
vor50,64273428.53844822
vor51,1941.868514649663
vor52,901459.8192108038
vor53,58955372.909840904
vor54,21304976.22234831
vor55,759913.8919616094
vor56,43928411.238630354
vor57,299352563.8297565
vor58,346817462.2618513
vor59,210176373.6805556
vor60,1659486.285391976
vor61,122706.2107069281
vor62,151874627.34755102
vor63,178372390.09416035
vor64,16939620.484525844
vor65,1005481.5498473776
vor66,9830114.808095085
vor67,127986316.8551263
vor68,379907244.1853135
vor69,276535284.99280417
vor70,285494792.18203217
vor71,364432986.9517993
vor72,68966879.50077686
vor73,36226.73897177615
vor74,14214474.453897063
vor75,1912490.294754042
vor76,8281476.077394079
vor77,31558676.63772976
vor78,193564327.13090935
vor79,784033444.5448942
vor80,522397436.81784075
vor81,405234933.2816154
vor82,231244551.09130248
vor83,380692025.29585296
vor84,8179954.889220282
vor85,357281.82817099034
vor86,570.5331291446727
vor87,15298.383331064493
vor88,19069395.141177863
vor89,39928718.48655362
vor90,14812337.202305749
vor91,58372514.30573997
vor92,89276814.21066128
vor93,141939582.57337183
vor94,167342915.78956
vor95,212842005.51427153
vor96,175140324.42836955
vor97,231756985.81112328
vor98,432971253.33056676
vor99,255286863.78692907
vor100,77949122.49546562
vor101,5313.113533563814
vor102,165264.6434259698
vor103,35879.851475241216
vor104,138052344.58859906
vor105,35324917.53279812
vor106,152523473.81074554
vor107,164264793.08078367
vor108,152919008.69280463
vor109,124763713.87086838
vor110,201877087.50661683
vor111,86350224.80066583
vor112,230647296.06191528
vor113,466221226.0467979
vor114,205609974.0521027
vor115,155801714.57932192
vor116,280599390.5898523
vor117,278363934.55495185
vor118,42909241.27000354
vor119,897992.69506314
vor120,458066.87671518937
vor121,452400.36608448013
vor122,3.3383619549678826e-66
vor123,2359438.6049728617
vor124,26028620.868361633
vor125,33785300.07978566
vor126,44313337.01576893
vor127,379488337.42633903
vor128,124247371.0194245
vor129,243662524.44717476
vor130,114780459.25707532
vor131,264458568.33827597
vor132,582782374.1964064
vor133,480851211.1556921
vor134,162166750.31776786
vor135,14546838.320263183
vor136,638711960.8207918
vor137,420414632.34988433
vor138,436506122.09759283
vor139,4718353.525278606
vor140,4.4951462063956944e-65
vor141,4.964620104808251e-65
vor142,274806.70079140336
vor143,60696169.48975272
vor144,29947267.63906081
vor145,78632548.03949413
vor146,84787000.90501994
vor147,35971341.238198966
vor148,58129829.78918329
vor149,135728643.96325436
vor150,486332637.7717564
vor151,436784485.3985552
vor152,931623644.8161535
vor153,365224492.77429056
vor154,1103911106.7061698
vor155,703279406.3105675
vor156,904146033.1624888
vor157,1675753345.456514
vor158,999199645.6223515
vor159,8.320975148384695e-63
vor160,80742503.54482739
vor161,6448340.657008476
vor162,78843367.45364405
vor163,251281701.37778628
vor164,999114192.3909389
vor165,7223826.984705005
vor166,36338724.976779304
vor167,47917877.200505994
vor168,4717343.070096804
vor169,58696271.64014338
vor170,86709136.49000682
vor171,319535432.6860597
vor172,507595747.8714361
vor173,1415709326.5567925
vor174,1108384996.259276
vor175,1303280755.858706
vor176,16.693586816927077
vor177,505971605.8439234
vor178,492268805.30180115
vor179,1318984686.646268
vor180,2048789593.456057
vor181,1874818223.648428
vor182,831654106.4998538
vor183,308888844.3311249
vor184,7958097.395140695
vor185,719529352.2892833
vor186,917902655.5215081
vor187,479747007.7519302
vor188,126917674.56582424
vor189,405183.9323547415
vor190,731598.6818196623
vor191,265757608.67606476
vor192,1506392.2200706897
vor193,3389960.243335814
vor194,84737209.27940658
vor195,94797210.6607163
vor196,135675637.82136774
vor197,1550367667.464828
vor198,1297593801.5328677
vor199,977454887.2667143
vor200,1082107238.7232437
vor201,444751961.9136751
vor202,30111534.574851025
vor203,731965471.710372
vor204,1047327498.3460821
vor205,581268999.0180044
vor206,440063947.8079488
vor207,1915829091.3854363
vor208,504402945.0273425
vor209,75612119.15110388
vor210,105570913.37708488
vor211,323031641.354254
vor212,419420672.80589676
vor213,39090850.488133326
vor214,4015791.2239800855
vor215,2498082.2007878697
vor216,1756961.228769516
vor217,33736855.83146189
vor218,54578656.33095971
vor219,12545827.0337503
vor220,25116748.39680764
vor221,216269331.02109358
vor222,8533983.861242834
vor223,55033848.92007527
vor224,1023253433.2832273
vor225,239716701.67631307
vor226,781068958.1450794
vor227,716878902.0979964
vor228,326802043.54818386
vor229,487686849.67907315
vor230,703079135.065211
vor231,602916764.6429156
vor232,463925283.2870047
vor233,275316729.99131787
vor234,387209456.2666883
vor235,883234707.7513555
vor236,22419395.669457395
vor237,110619136.01137556
vor238,39701857.257326744
vor239,41554480.745203905
vor240,3429441.2089403532
vor241,1814736.690403024
vor242,1234134.0133599853
vor243,16971095.93038763
vor244,73476657.05342945
vor245,312304036.64939636
vor246,58487592.61026763
vor247,487791291.87166446
vor248,98135818.17232656
vor249,287760364.44822246
vor250,660779701.3600115
vor251,154775100.15760717
vor252,24689102.080759376
vor253,161129889.50827202
vor254,317886847.6827655
vor255,227734474.92549184
vor256,3.605131960440886e-174
vor257,536373096.69670063
vor258,846374426.0702305
vor259,937041784.415547
vor260,3221295.702036437
vor261,0.0
vor262,1346140.0804532971
vor263,102876046.56399487
vor264,25085036.078436293
vor265,194338.43567133593
vor266,1065827.0622975433
vor267,102754894.05552408
vor268,248045223.3403739
vor269,201351306.54249397
vor270,330468815.73194426
vor271,304650802.1311341
vor272,1185298723.1412067
vor273,531558639.0504676
vor274,639885829.482179
vor275,211687280.8740106
vor276,529235241.1953913
vor277,11005.239971817942
vor278,204598.95118347424
vor279,167014906.45956722
vor280,342377963.72797084
vor281,275412048.6165838
vor282,920661696.8303771
vor283,926806331.3421875
vor284,53450399.896812506
vor285,312600.2730288845
vor286,14096949.096055217
vor287,111329723.13485253
vor288,32668813.058444697
vor289,277586278.6619603
vor290,254565635.03293943
vor291,1545296315.6511166
vor292,398935996.7644664
vor293,808197898.3206329
vor294,656290528.7297324
vor295,849677438.6263064
vor296,445195513.3593344
vor297,803246610.2407945
vor298,198223527.0520195
vor299,407980119.79058903
vor300,314916349.5814896
vor301,384292794.37075925
vor302,240402749.28580847
vor303,268968139.7455225
vor304,426227943.2346365
vor305,629911842.9561543
vor306,462542390.3913894
vor307,5287376.197934237
vor308,57485660.45712302
vor309,2155630.7084941017
vor310,14603409.192123812
vor311,142144410.24738806
vor312,191886982.14613512
vor313,310720358.39927125
vor314,267153584.15010357
vor315,245152463.78668463
vor316,73604742.15778814
vor317,70415238.30766082
vor318,39148327.091397196
vor319,126492837.52775007
vor320,352083745.35014266
vor321,422206014.98775584
vor322,743044176.2122502
vor323,577131134.9957641
vor324,751377837.6477809
vor325,483863258.748797
vor326,414571531.66483694
vor327,479620801.97740155
vor328,1238448809.117869
vor329,774603439.1534007
vor330,302158756.98157084
vor331,725131.2986592576
vor332,6538969.835034161
vor333,233337.06222901636
vor334,57014120.03693249
vor335,138262509.78459504
vor336,12562890.621063251
vor337,23721189.908092998
vor338,53095929.07283525
vor339,12792579.85567288
vor340,15634642.252065012
vor341,99013782.31002107
vor342,1177555.240296636
vor343,330758830.2563381
vor344,1038719802.182831
vor345,530323358.44225836
vor346,968107686.4224669
vor347,205599079.85951063
vor348,21543126.765546266
vor349,83332288.79660055
vor350,404524893.931538
vor351,638953983.1200566
vor352,1005402405.1277376
vor353,1784623588.3998077
vor354,527117451.59816617
vor355,3014660.986897289
vor356,1237366.848469099
vor357,1947495.0234922033
vor358,22013394.458448395
vor359,15988153.803566633
vor360,1372448.125678759
vor361,8938733.440576125
vor362,2716497.1888289177
vor363,29154664.13190122
vor364,58581018.93356667
vor365,20773009.52968609
vor366,115623181.43363604
vor367,327270621.88941365
vor368,818520449.4051021
vor369,354946041.5076222
vor370,303169491.4969126
vor371,26521788.682932176
vor372,327507596.2035106
vor373,296150836.61121255
vor374,728694679.8403107
vor375,702091984.2580236
vor376,383349463.1342108
vor377,472884003.45211005
vor378,26994024.82213357
vor379,2621522.446271745
vor380,2414961.4973051124
vor381,45532701.67284618
vor382,69150.25885720384
vor383,9162632.13756514
vor384,72994932.51737928
vor385,3151061.8285880634
vor386,35992841.95924134
vor387,30995045.091521982
vor388,8427735.781762494
vor389,162866281.96209785
vor390,645751751.5104712
vor391,163798129.68002352
vor392,50985909.351898
vor393,149715906.68862182
vor394,528942707.00239974
vor395,372412172.90461606
vor396,30298860.18797459
vor397,84912221.62892793
vor398,220575184.95640135
vor399,632479363.8168571
vor400,90058675.20900664
vor401,55740515.65907313
vor402,13255401.950763792
vor403,1723279.8508948185
vor404,17026667.40188254
vor405,5674048.605171797
vor406,29208535.58506768
vor407,117286632.99792595
vor408,103182128.76083094
vor409,105682196.48305422
vor410,212018861.1479263
vor411,162076841.11889762
vor412,67040702.67718739
vor413,17662848.947933152
vor414,41465749.0499341
vor415,797595422.0963194
vor416,50494892.49366548
vor417,23971807.100758333
vor418,297072077.0715259
vor419,611502464.6427474
vor420,304576050.5611179
vor421,37159917.26264918
vor422,19578565.28856936
vor423,47371747.14301441
vor424,7990690.36945458
vor425,455063.7959519308
vor426,168517600.94014868
vor427,42406434.850960284
vor428,105449281.69684464
vor429,164893735.46330714
vor430,150246711.69882283
vor431,10045068.39380525
vor432,187937393.8211072
vor433,147002282.8640139
vor434,32599406.022572357
vor435,2658146.6361909136
vor436,15671150.317577472
vor437,4945072.174406747
vor438,2238510.222984759
vor439,290761951.1667536
vor440,1334549105.8503008
vor441,134796197.8578528
vor442,4642406.439048056
vor443,8954931.238770526
vor444,34759073.52260482
