,0
vor0,21271708.042110004
vor1,10030652.078861127
vor2,548.3318683938821
vor3,968791.1883326746
vor4,25651132.237612624
vor5,11606545.878116662
vor6,7280264.950897946
vor7,0.0
vor8,4839186.450202406
vor9,58783083.46766978
vor10,5586551.250050907
vor11,29449528.699226946
vor12,2177665.790609373
vor13,380246.32141649036
vor14,0.0
vor15,5385766.363215521
vor16,12438666.875503419
vor17,43322385.088008694
vor18,45296518.63019858
vor19,104499614.70923443
vor20,19545596.624961957
vor21,922577.1079406883
vor22,45517.605756833465
vor23,70169960.13276033
vor24,22336088.015646305
vor25,62305104.68703225
vor26,29319805.6059135
vor27,24625303.830427267
vor28,49201870.129994616
vor29,26303589.18854455
vor30,242231.28161835964
vor31,18318682.726283513
vor32,46843.22802979124
vor33,6182091.293419791
vor34,27603239.982256673
vor35,97163816.12404568
vor36,88300270.05702601
vor37,4561470.784687276
vor38,1837354.2873942289
vor39,42817971.00179384
vor40,52437241.926589474
vor41,17720849.6959984
vor42,65184.78352968833
vor43,1799611.4740652414
vor44,94395045.46123375
vor45,45949342.284122996
vor46,48383955.26000592
vor47,3568084.8191918526
vor48,41664701.536470175
vor49,24226881.862140764
vor50,3369321.103099239
vor51,38220.963918052716
vor52,38031114.02110369
vor53,152395167.63708246
vor54,34156408.9493614
vor55,37514827.774867654
vor56,22019105.292571045
vor57,39514173.19407024
vor58,88426346.27835916
vor59,3659997.9422542653
vor60,2426092.990931591
vor61,13432295.709380066
vor62,9340183.531197054
vor63,44353989.756207526
vor64,83797917.285812
vor65,149840711.57410693
vor66,11423399.178056499
vor67,38788410.254764006
vor68,0.0
vor69,58967175.536415696
vor70,6623544.458092254
vor71,37918425.75993719
vor72,72354503.14333375
vor73,10354424.604739597
vor74,2168026.663198831
vor75,1343078.2316220533
vor76,0.0
vor77,35.981033848870744
vor78,57519543.181776345
vor79,53407964.8221162
vor80,6286550.018393407
vor81,49144143.97207498
vor82,14230631.99921385
vor83,33237632.39676084
vor84,18020430.366444297
vor85,35.89074614086314
vor86,0.0
vor87,1311.5983212232393
vor88,184099823.82429966
vor89,27100311.997107193
vor90,12061003.277815346
vor91,8833955.445286462
vor92,61956435.847395755
vor93,1437172.8876817978
vor94,143.9926055620332
vor95,0.0
vor96,64028.36343466856
vor97,39577127.45079209
vor98,125375223.98498525
vor99,12909072.87886895
vor100,13932496.22941148
vor101,40290765.1092598
vor102,13140054.896319551
vor103,48476.33666697093
vor104,802.2834142041356
vor105,68281.25409889457
vor106,74735221.71122013
vor107,4468837.651020586
vor108,2346525.6087146387
vor109,15478459.259062272
vor110,17638212.182781618
vor111,7106459.948168874
vor112,318.31826113996834
vor113,146471.53735773446
vor114,74420.72650766594
vor115,42316661.05197269
vor116,5304455.102935411
vor117,5720418.662408915
vor118,17008490.764497865
vor119,29433026.755989514
vor120,4168963.131111931
vor121,6441.822756206226
vor122,2046.0352531325918
vor123,222859.06771732378
vor124,762979.6994688209
vor125,32662560.290367983
vor126,12858536.55570317
vor127,74511938.83482157
vor128,76967336.160427
vor129,12390958.333844528
vor130,13383469.309316022
vor131,1156487.8168223866
vor132,233494.0259643281
vor133,7756102.449610372
vor134,25237606.70793122
vor135,2153561.649263364
vor136,15158.121114318488
vor137,73245422.64400686
vor138,8570660.170092558
vor139,87524.17721509475
vor140,34405187.333351836
vor141,150266400.0704287
vor142,86454151.17471798
vor143,29848500.92177958
vor144,12679876.037790809
vor145,4173854.9758197926
vor146,693030.864686676
vor147,269452.12323110213
vor148,850548.397877586
vor149,7587465.30111202
vor150,456933.4151609836
vor151,62887.34322995007
vor152,0.07860746643070174
vor153,24471748.28179497
vor154,3275438.7592494194
vor155,1248111.990259357
vor156,46390621.76552868
vor157,95581512.65839423
vor158,20364630.08979967
vor159,131535910.5240053
vor160,192053117.30678305
vor161,62319537.69905257
vor162,106639556.80816038
vor163,116666350.07002187
vor164,3059794.448679544
vor165,1838885.9096202275
vor166,7359841.579507669
vor167,6193832.2217882965
vor168,1921582.5326853674
vor169,529705.5077843439
vor170,13270.007883280909
vor171,7566.650064153882
vor172,6231508.464818116
vor173,10846056.90498136
vor174,109484177.5755022
vor175,355658230.3105776
vor176,14897171.366792286
vor177,17445194.042273268
vor178,80334256.28803848
vor179,36808074.49849967
vor180,10791896.835453574
vor181,28468062.545599148
vor182,146793183.39567158
vor183,74347937.50414748
vor184,31472388.30665215
vor185,109987770.67050369
vor186,25243962.426393706
vor187,14074652.87422893
vor188,7183092.029215253
vor189,12477282.414215762
vor190,1884225.6154434218
vor191,156359.2340332292
vor192,369538.3550711566
vor193,0.0
vor194,42371014.33241675
vor195,42511015.163961224
vor196,71017199.79447013
vor197,51175380.4528516
vor198,62774062.38045064
vor199,42526347.01856895
vor200,41975643.91355303
vor201,64852105.917530276
vor202,5867765.9331123
vor203,2980224.242118556
vor204,67471667.81307901
vor205,274607626.2301602
vor206,22468356.593348194
vor207,42580677.79718296
vor208,1923200.9305832323
vor209,1726265.2223940154
vor210,106826695.30286506
vor211,331935235.42497444
vor212,13878394.079479158
vor213,198367.1532539453
vor214,98940.33463933213
vor215,58997.705337016385
vor216,98748611.23788399
vor217,5168094.338420642
vor218,5084933.783167385
vor219,72928043.81805317
vor220,68937283.36961102
vor221,105772220.77402493
vor222,24121167.408943065
vor223,7605334.146862156
vor224,12394343.852469964
vor225,89765400.0190197
vor226,156718804.97407
vor227,24929290.116289616
vor228,8250476.463514219
vor229,7963270.681207192
vor230,23782484.819127154
vor231,15894703.778054101
vor232,172834646.79903182
vor233,3323089.904609916
vor234,6724.970432078677
vor235,27240.12724782287
vor236,7575.640521498753
vor237,25539972.052588336
vor238,9293523.764157163
vor239,5136066.267406258
vor240,36289212.94169389
vor241,48789047.4023079
vor242,16354227.581486791
vor243,5532261.10921487
vor244,14668205.202347342
vor245,6666371.8818321
vor246,33058985.058681004
vor247,110817756.79864426
vor248,28578891.987657513
vor249,32578082.16237663
vor250,40861923.718347706
vor251,10806038.980950836
vor252,30422820.866593793
vor253,44378451.23257136
vor254,6144264.851848909
vor255,912028.5050424667
vor256,322945.08919178735
vor257,71881918.9458423
vor258,2661588.213313966
vor259,9597689.636467418
vor260,46240687.07425275
vor261,3252804.153229164
vor262,414142.2241229224
vor263,2981869.5253759837
vor264,51016453.614132755
vor265,13031115.571170278
vor266,118569727.72480734
vor267,36552157.41461951
vor268,2608355.0026894943
vor269,7266589.51932589
vor270,48258008.56160032
vor271,32273300.68744991
vor272,4479219.137853864
vor273,727756.5517720432
vor274,620748.1801200048
vor275,3125394.4389949404
vor276,70463180.01093581
vor277,48178649.89459461
vor278,5470951.588553
vor279,43622296.60369709
vor280,29007514.937064502
vor281,848249.2375446049
vor282,7898717.882765989
vor283,52894545.64558667
vor284,20377985.45322002
vor285,3793322.994259413
vor286,3729466.1922122734
vor287,23934075.152033046
vor288,7743260.691485159
vor289,14172357.86332089
vor290,5084.223401412194
vor291,8120421.7466384955
vor292,9200299.460908845
