,0
vor0,2630.3506428893443
vor1,2991904.908084755
vor2,342346.14339710545
vor3,4086.2972431117214
vor4,961780.9443334155
vor5,97932.24503327269
vor6,33015.50892996047
vor7,32071.312641995362
vor8,0.0
vor9,0.49728297330384724
vor10,1527.8862963694737
vor11,554941.7433709605
vor12,269465.70897464355
vor13,133870.84460493005
vor14,8304.385456899981
vor15,5939.723927578133
vor16,1162166.4029832652
vor17,10618.174258404986
vor18,2144636.8118156977
vor19,97002.0672847507
vor20,53924.744895513184
vor21,19849176.483414516
vor22,0.0
vor23,60167.3263593211
vor24,5681486.20691266
vor25,441238.01761335233
vor26,38477.92097122967
vor27,371225304.8793318
vor28,8104.577407524017
vor29,66882.63078493673
vor30,66499.68721748356
vor31,724984.6777936025
vor32,646.9743368593779
vor33,163624.56228631813
vor34,24013602.12165338
vor35,81148.4953027537
vor36,1172679.8636732511
vor37,32071.312641995362
vor38,3938218.735602117
vor39,97104.4174434621
vor40,5053677.2878832705
vor41,18671660.272667225
vor42,852617.8098660739
vor43,3027532.289911769
vor44,108492.77989779807
vor45,1463.2923546162249
vor46,0.0
vor47,0.0
vor48,31883.079946913353
vor49,179198.87863978132
vor50,41683705.98101226
vor51,42814773.389215276
vor52,921682.6051535544
vor53,97525.44966048564
vor54,0.0
vor55,2206.335106368631
vor56,27729.663042375807
vor57,762323.7306271938
vor58,970389.9537951305
vor59,1463.6805692988928
vor60,1871966.2478518481
vor61,17000.35329700248
vor62,0.0
vor63,1330308.0703776414
vor64,8926.775899790371
vor65,59568.21782167601
vor66,2290618.8960117265
vor67,10918726.964067878
vor68,465680.6220659733
vor69,2613.9713097093477
vor70,0.0
vor71,0.0
vor72,47481.58339408532
vor73,1302311.0032841316
vor74,0.0
vor75,307026.82194032706
vor76,20782486.37590616
vor77,24148639.672246136
vor78,468010.49383908237
vor79,294807.9313251725
vor80,0.0
vor81,0.0
vor82,10473775.940488774
vor83,57244764.6947717
vor84,15478054.446956612
vor85,13015190.149281822
vor86,28456348.93997598
vor87,138585625.9970038
vor88,59371140.36276406
vor89,6816.339845464737
vor90,5166781.326295394
vor91,1871240.1103561053
vor92,1684106.8954878768
vor93,30970077.075500954
vor94,78379781.95904705
vor95,11263562.836805156
vor96,10969128.843795555
vor97,50849704.923785165
vor98,47268372.19052507
vor99,11787588.519043418
vor100,5319060.811058932
vor101,14513945.657174353
vor102,3060257.572967142
vor103,59560849.81600751
vor104,24233415.471287437
vor105,2721875.6633311315
vor106,1041113.6895431834
vor107,139740.1366548509
