,0
vor0,64318.769645558685
vor1,20416.165134602317
vor2,3851.9902108681654
vor3,3581081.5701153465
vor4,363345.28323462274
vor5,2675189.6943016327
vor6,7327.4675112055465
vor7,31356970.53676318
vor8,3175618.106844905
vor9,2819613.009814369
vor10,1718425.3304759916
vor11,10236341.778061168
vor12,41464.50161311328
vor13,4218807.590662896
vor14,609344.6607071166
vor15,1582137.8227698214
vor16,22061.321469805604
vor17,75287.07142153688
vor18,71663.52690438634
vor19,27.867959449086637
vor20,8623.799016796218
vor21,154526.28706137792
vor22,267414.6437158214
vor23,2486887.6639508046
vor24,1164978.2620524005
vor25,3114441.2112554754
vor26,92614.47599851545
vor27,1963467.1668215084
vor28,20273.25864285955
vor29,992985.1432735769
vor30,57357.21019527356
vor31,796672.6512064969
vor32,180607.20441549172
vor33,2886.183204933548
vor34,2256244.551545387
vor35,679319.8314984799
vor36,3634097.3038801407
vor37,2143407.0221731337
vor38,3319852.103422363
vor39,152673.9652908405
vor40,262334.31155039504
vor41,292161.7415995302
vor42,579232.9532194809
vor43,348827.0985305629
vor44,2886.775439331098
vor45,14211.37939017201
vor46,11694056.668640919
vor47,15620473.337129248
vor48,3368070.449813417
vor49,7149534.36932821
vor50,25709371.415379304
vor51,776.7474058598654
vor52,360583.92768432136
vor53,23582149.163936347
vor54,8521990.488939323
vor55,303965.5567846439
vor56,17571364.495452136
vor57,119741025.53190261
vor58,138726984.9047405
vor59,84070549.47222224
vor60,663794.5141567903
vor61,49082.4842827712
vor62,60749850.9390204
vor63,71348956.03766416
vor64,6775848.19381034
vor65,402192.61993895087
vor66,3932045.923238035
vor67,51194526.74205052
vor68,151962897.67412537
vor69,110614113.99712165
vor70,114197916.87281288
vor71,145773194.78071982
vor72,27586751.800310735
vor73,14490.695588710454
vor74,5685789.781558824
vor75,764996.1179016165
vor76,3312590.430957632
vor77,12623470.655091902
vor78,77425730.85236374
vor79,313613377.81795764
vor80,208958974.72713628
vor81,162093973.31264615
vor82,92497820.43652105
vor83,152276810.11834115
vor84,3271981.9556881124
vor85,142912.7312683962
vor86,228.21325165786905
vor87,6119.353332425798
vor88,7627758.056471146
vor89,15971487.39462143
vor90,5924934.8809223
vor91,23349005.72229599
vor92,35710725.68426448
vor93,56775833.029348716
vor94,66937166.315823995
vor95,85136802.20570856
vor96,70056129.77134778
vor97,92702794.32444927
vor98,173188501.33222672
