,vor_id,sum_pop_elderly,sum_pop_youth,sum_pop_general,sum_pop_women,sum_pop,min_pop,max_pop
0,vor49,288.41358,1350.915735,5655.713115000001,2674.824750000001,9716.6015625,11.367810249328612,108.80455780029295
1,vor57,1385.864228,6491.323300999999,27176.426609,12852.87585,25899.046875,22.029203414916992,137.77787780761722
2,vor58,2061.787336,9657.315562,40431.097858,19121.5677,30202.712890625,32.899044036865234,128.67814636230472
3,vor59,1141.821968,5348.240756,22390.823204,10589.5626,16966.0625,21.395050048828125,129.03404235839844
4,vor68,1598.8465640000002,7488.922613000002,31352.953217,14828.13105,26062.2734375,45.11386489868164,127.59669494628906
5,vor69,1831.056472,8576.582973999999,35906.527365999995,16981.7079,32692.556640625,58.79671096801758,139.71002197265622
6,vor70,1918.320068,8985.321581,37617.743129,17791.013850000007,33849.59765625,49.75895690917969,133.70248413085938
7,vor71,1817.745076,8514.233016999999,35645.494453000014,16858.25445,29334.517578125,15.954723358154297,146.7367401123047
8,vor72,610.8451719999999,2861.170249,11978.510341,5665.14165,11972.521484375,7.722342491149902,134.496826171875
9,vor79,2660.800156,12463.063627,52177.578943,24676.972950000007,38960.98046875,48.41110229492188,158.13973999023438
10,vor80,2165.320416,10142.259672,42461.353848,20081.7612,32304.48828125,54.05328750610352,155.481201171875
11,vor81,2273.290628,10647.987101,44578.620809,21083.10585,29091.984375,46.9827766418457,124.77394104003906
12,vor82,1696.463468,7946.155631,33267.194578999995,15733.45635,33784.3671875,49.4518051147461,143.61947631835938
13,vor83,1897.613452,8888.332759,37211.691931,17598.97515,31170.3046875,26.9761905670166,139.74055480957028
14,vor84,317.99446,1489.471195,6235.786254999999,2949.16575,10043.494140625,11.38036060333252,88.02086639404297
15,vor94,990.95948,4641.60791,19432.45019,9190.4235,15703.251953125,16.59147834777832,105.8818817138672
16,vor95,1138.86388,5334.38521,22332.81589,10562.1285,22287.044921875,17.484052658081055,112.4856414794922
17,vor96,1067.869768,5001.852106,20940.640354000006,9903.7101,23542.328125,41.03543472290039,127.75678253173828
18,vor97,1249.79218,5853.968185,24508.090165,11590.90725,25195.15625,45.29855728149414,141.44033813476562
19,vor98,2010.020796,9414.843507,39415.969863,18641.470950000006,38486.66015625,86.63887023925781,145.38815307617188
20,vor99,2049.954984,9601.893378,40199.068602,19011.8313,37254.5859375,36.09321212768555,147.3368377685547
21,vor100,712.8992079999998,3339.1865860000007,13979.762674,6611.6181,18674.72265625,15.14064121246338,125.7999038696289
22,vor105,411.174232,1925.920894,8063.016645999999,3813.3399,12152.642578125,20.96736717224121,54.49470901489258
23,vor106,1079.70212,5057.27429,21172.66961,10013.446500000002,27830.583984375,31.23310089111328,144.50807189941406
24,vor110,1103.366824,5168.118657999999,21636.728122,10232.9193,19297.390625,26.348337173461918,109.3370590209961
25,vor111,844.534124,3955.758383,16561.088147,7832.43555,20934.59375,19.793750762939453,140.611572265625
26,vor112,1230.564608,5763.907136000002,24131.042624,11412.5856,29105.482421875,23.3309383392334,139.67022705078122
27,vor113,1760.06236,8244.04987,34514.35183,16323.2895,35356.296875,47.02896881103516,147.71327209472656
28,vor114,1202.462772,5632.279449000001,23579.973141,11151.96165,30267.2578125,47.62451934814453,145.5058135986328
29,vor115,1067.869768,5001.852105999999,20940.640354000006,9903.7101,31982.208984375,50.62880325317383,140.951416015625
30,vor116,1893.17632,8867.549440000003,37124.680960000005,17557.824,37915.9140625,64.2069091796875,145.52496337890625
31,vor117,1350.367172,6325.056748999999,26480.338841,12523.66665,35508.421875,26.890758514404297,140.05311584472656
32,vor118,427.44371600000005,2002.126397,8382.056873,3964.22745,13092.8896484375,10.421339988708496,109.02581787109376
33,vor125,362.36578,1697.304385,7105.895965000001,3360.67725,8028.6494140625,13.248947143554688,67.03152465820311
34,vor128,1013.14514,4745.524504999999,19867.505045,9396.17925,21198.75390625,26.38538932800293,118.87030029296876
35,vor129,1470.1697359999998,6886.206362000001,28829.635058,13634.7477,30977.41796875,45.75859832763672,150.66171264648438
36,vor130,792.7675839999998,3713.286328,15545.960152,7352.338799999998,23115.4453125,37.23613739013672,135.65171813964844
37,vor131,1329.660556,6228.067927,26074.287643,12331.627950000002,31036.498046875,40.06290435791016,142.63113403320312
38,vor132,2008.475728,9403.277322,39387.209484000006,18620.651938000006,25063.748046875,33.045867919921875,141.97987365722656
39,vor133,1857.679264,8701.282888000002,36428.593192,17228.6148,30840.05078125,54.32711410522461,137.64511108398438
40,vor134,1042.7260199999998,4884.079965,20447.578185,9670.52025,31649.28515625,43.811370849609375,144.1261749267578
41,vor135,1797.0384600000002,8417.244195000001,35239.443255,16666.215750000007,38595.78515625,71.4842300415039,149.58517456054688
42,vor136,2181.5899,10218.465175,42780.394075,20232.648750000004,45961.7890625,86.30328369140625,158.72491455078125
43,vor137,1757.1042719999998,8230.194324,34456.344516000005,16295.8554,30465.771484375,58.76260375976562,145.60067749023438
44,vor138,1705.337732,7987.722269000001,33441.216520999995,15815.75865,29494.84375,27.76105117797852,142.9602508544922
45,vor139,173.048148,810.5494410000001,3393.427869,1604.89485,13946.0,12.338760375976562,117.63228607177734
46,vor140,176.006236,824.404987,3451.435183,1632.32895,7855.984375,14.186697006225586,45.72998809814453
47,vor147,443.7132,2078.3319,8701.097099999999,4115.115,8359.8291015625,9.922173500061035,72.24110412597656
48,vor148,480.6893,2251.526225,9426.188525,4458.04125,10575.541015625,10.14165210723877,59.92537307739258
49,vor149,1029.553588,4821.705719000001,20189.510189,9547.343444,16118.8623046875,25.500423431396484,73.40026092529297
50,vor150,1720.94006,8026.844765000002,33759.238055000016,15909.553859999998,28344.529296875,41.15325927734375,117.4526138305664
51,vor151,2105.936056,9790.788426,41322.889518,19421.107672,36954.9765625,52.69341659545898,140.83709716796875
52,vor152,2366.615132,11017.198559000002,46432.81747100001,21846.81237,37475.7578125,77.27137756347656,141.04367065429688
53,vor153,2116.922108,9880.176365,41524.84799900001,19579.854012,38485.08984375,63.78833770751953,165.6729278564453
54,vor154,2752.500884,12892.585553,53975.805677,25527.430050000006,39094.51953125,68.7998046875,160.5157470703125
55,vor155,2542.476636000001,11908.841787,49857.286383,23579.60895,46985.8828125,88.60423278808594,160.4124298095703
56,vor156,2819.057864000001,13204.335338,55280.970242,26144.6973,40579.03515625,73.48382568359375,147.2263946533203
57,vor157,3506.813324,16425.749783000003,68767.670747,32523.12555,36145.5,76.95631408691406,139.5557861328125
58,vor158,2722.9200040000005,12754.030093,53395.732537,25253.08905,37973.30859375,46.69406127929688,147.72731018066406
59,vor159,2409.362676,11285.342217,47246.957253,22345.074450000004,35367.90234375,28.25704574584961,159.3221435546875
60,vor160,2187.506076,10246.176267,42896.408703,20287.51695,34118.9375,36.10747528076172,159.60061645507812
61,vor161,597.533776,2798.8202920000003,11717.477428,5541.688200000001,12820.2841796875,14.873759269714355,114.00629425048828
62,vor162,962.857644,4509.980223000001,18881.380707,8929.79955,14459.9345703125,12.626765251159668,79.68968200683594
63,vor163,1849.728093,8663.192882,36269.877933,17153.661937999994,21089.216796875,17.295875549316403,95.44094848632812
64,vor164,3140.010412,14707.662079000002,61574.763811,29121.29715,47003.32421875,21.06212615966797,160.1019744873047
65,vor171,1324.898904,6159.573640000001,25997.322862,12218.224466,16153.865234375,30.09033393859864,104.44564819335938
66,vor172,1675.7749680000004,7790.82788,32882.254454,15454.005321999995,21435.326171875,21.868377685546875,135.19065856933594
67,vor173,2831.5468440000004,13175.098169,55557.04480700001,26129.004087999994,37629.953125,67.48907470703125,138.63383483886722
68,vor174,3157.633808,14772.217418000002,61926.745724,29257.770546,37979.25,88.54036712646484,168.5958251953125
69,vor175,3618.900096,16950.202948000002,70965.859888,33561.814748000004,42435.984375,83.86551666259766,168.79273986816406
70,vor176,3611.825448,16917.621666,70826.93039400001,33497.0361,49211.5625,92.47396087646484,167.5566864013672
71,vor177,2131.59828,9967.22843,41806.13909,19743.41176,35533.63671875,46.023658752441406,163.3194122314453
72,vor178,2896.427688,13566.612828,56798.214114,26862.067146,39252.15625,59.5777359008789,159.58758544921875
73,vor179,3469.762968,16242.000363999998,68044.74945399999,32164.209374,40020.2421875,87.62939453125,158.356689453125
74,vor180,3780.964824,17701.800040000002,74146.572622,35053.593746,37865.8125,81.09093475341797,156.43270874023438
75,vor181,4096.951880000001,19189.93121,80340.12988999997,37996.2285,42774.640625,93.84268951416016,164.68052673339844
76,vor182,3237.627316,15164.895097,63489.005173000005,30026.622450000006,40066.28125,31.54451560974121,167.2021026611328
