DID,district,sum_pop,mean_pop,max_pop,min_pop,std_pop
D11,BARKHAN,109709.1171875,0.2711377739906311,2.9236903190612793,0.027864696457982063,0.19711218774318695
D12,CHAGAI,77287.7109375,0.03059975989162922,0.4654177129268646,0.0027555811684578657,0.032401710748672485
D13,DERA BUGTI,123736.7265625,0.18150053918361664,2.6795904636383057,0.00779737439006567,0.13112792372703552
D15,HARNAI,84089.0703125,0.2374947965145111,14.949256896972656,0.027622008696198463,0.5093320608139038
D18,KACHHI,191084.484375,0.35034438967704773,22.84494400024414,0.02473149448633194,0.5964961051940918
D19,KALAT,136381.796875,0.15018302202224731,6.686023712158203,0.014607759192585945,0.31181615591049194
D21,KHARAN,17657.62890625,0.08086253702640533,0.3781403601169586,0.035658396780490875,0.04283847659826279
D23,KILLA ABDULLAH,410260.09375,0.6504847407341003,33.17876434326172,0.04968630149960518,1.0594590902328491
D24,KILLA SAIFULLAH,214466.828125,0.1483089029788971,11.772225379943848,0.01922980695962906,0.28113189339637756
D25,KOHLU,109459.0,0.12334825843572617,3.1287128925323486,0.01209902111440897,0.19178420305252075
D27,LORALAI,275322.875,0.2909553349018097,6.925149917602539,0.043223340064287186,0.25069209933280945
D28,MASTUNG,183460.390625,0.2782510817050934,12.989750862121582,0.019196605309844017,0.5255910158157349
D29,MUSA KHEL,153454.90625,0.219582661986351,4.178948879241943,0.05200280249118805,0.13758118450641632
D30,NASIRABAD,15006.328125,0.6359152793884277,2.1864542961120605,0.06680285930633545,0.2731967270374298
D31,NUSHKI,109065.578125,0.164296954870224,1.8431949615478516,0.011443942785263062,0.15042909979820251
D33,PISHIN,404193.9375,0.7085304260253906,38.22976303100586,0.046019792556762695,1.223504900932312
D34,QUETTA,837103.6875,2.6370785236358643,60.065975189208984,0.04731417074799538,7.745123386383057
D35,SHEERANI,64326.18359375,0.33336883783340454,1.405173420906067,0.07714303582906723,0.15080463886260986
D36,SIBI,114147.3125,0.1993982344865799,25.6909122467041,0.0243851225823164,0.7233842015266418
D38,ZHOB,188093.578125,0.16147394478321075,5.14883279800415,0.0204713623970747,0.1766282320022583
D39,ZIARAT,89281.15625,0.23503823578357697,6.802338600158691,0.059430863708257675,0.2745431363582611
D43,FR D.I.KHAN,31166.716796875,0.24241803586483002,1.8275554180145264,0.07808569818735123,0.11860369145870209
D67,D I KHAN,284753.3125,1.2488632202148438,15.816889762878418,0.12602181732654572,0.9401151537895203
D86,BAHAWALNAGAR,3054832.75,3.1527671813964844,93.39949035644531,0.05725700035691261,3.959994316101074
D87,BAHAWALPUR,3479321.25,2.6988847255706787,162.2786407470703,0.0359308160841465,7.155062675476074
D88,BHAKKAR,791026.75,1.4109101295471191,65.10924530029297,0.16839279234409332,2.5438990592956543
D90,CHINIOT,564731.9375,3.6673285961151123,61.5263786315918,1.198275089263916,3.2027525901794434
D91,D G KHAN,2460040.5,1.833977460861206,150.92738342285156,0.02661295235157013,5.608493804931641
D92,FAISALABAD,7987801.0,11.847996711730957,259.666259765625,1.7547264099121094,28.07959747314453
D96,JHANG,2758095.5,3.8415298461914062,109.71247100830078,0.16154779493808746,5.715092658996582
D98,KASUR,3499764.0,7.812129974365234,136.49208068847656,1.7317835092544556,10.092170715332031
D99,KHUSHAB,6178.40966796875,0.2693173587322235,0.8577657341957092,0.13872703909873962,0.0882711261510849
D100,LAHORE,9304092.0,48.631046295166016,173.61651611328125,2.914158821105957,43.740196228027344
D101,LAYYAH,1683831.0,2.2980551719665527,139.777099609375,0.1523243933916092,3.8963053226470947
D102,LODHRAN,1738048.875,5.653331279754639,159.780029296875,1.4068998098373413,6.939244270324707
D105,MULTAN,4662498.0,11.134536743164062,191.28453063964844,1.3945890665054321,22.794189453125
D106,MUZAFARGARH,3937040.25,4.535311222076416,133.207275390625,0.3019687533378601,5.989869594573975
D107,NANKANA SAHIB,1348479.375,5.746230602264404,88.25189971923828,1.8147635459899902,5.6531548500061035
D109,OKARA,3320548.75,6.484851360321045,136.315673828125,1.572068214416504,8.054756164550781
D110,PAKPATTAN,1918390.5,5.726162910461426,108.18020629882812,1.0438934564590454,6.468095302581787
D111,R Y KHAN,764255.6875,4.439449787139893,88.48420715332031,0.40457412600517273,5.266326427459717
D112,RAJANPUR,1321718.0,1.2823424339294434,126.58016204833984,0.006338825915008783,3.308861494064331
D114,SAHIWAL,2751039.5,7.332918167114258,103.9187240600586,1.51479172706604,8.509634017944336
D115,SARGODHA,37649.36328125,4.227415561676025,21.403966903686523,1.8252239227294922,2.5558884143829346
D116,SHEIKHUPURA,1026031.1875,9.46017074584961,142.18630981445312,1.8570425510406494,11.389348030090332
D118,T. T SINGH,2417562.5,6.749837875366211,134.6803741455078,1.4880762100219727,7.3329243659973145
D119,VEHARI,3112257.25,5.99353551864624,116.80439758300781,1.2615164518356323,6.556403636932373
D154,KHANEWAL,3102008.75,6.1229376792907715,95.58322143554688,1.4804046154022217,6.343013286590576
D159,LEHRI,71243.8359375,0.26487258076667786,3.9053380489349365,0.03065415285527706,0.2524365484714508
