,Unnamed: 0,hhcode,Province,Region,PSU,idc,first_job_income,second_job_income,psu,weight,district,stratum,code
10324,46922,2502100201.0,Punjab,Urban,25021002.0,1.0,13000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10325,46923,2502100201.0,Punjab,Urban,25021002.0,2.0,9000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10326,46924,2502100201.0,Punjab,Urban,25021002.0,3.0,1500.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10327,46925,2502100201.0,Punjab,Urban,25021002.0,51.0,600.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10328,46928,2502100202.0,Punjab,Urban,25021002.0,1.0,22500.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10329,46930,2502100203.0,Punjab,Urban,25021002.0,1.0,15000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10330,46931,2502100203.0,Punjab,Urban,25021002.0,2.0,12000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10331,46935,2502100204.0,Punjab,Urban,25021002.0,1.0,10000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10332,46936,2502100204.0,Punjab,Urban,25021002.0,2.0,16700.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10333,46937,2502100204.0,Punjab,Urban,25021002.0,3.0,10000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10334,46940,2502100204.0,Punjab,Urban,25021002.0,52.0,3500.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10335,46941,2502100204.0,Punjab,Urban,25021002.0,53.0,3500.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10336,46943,2502100205.0,Punjab,Urban,25021002.0,1.0,21000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10337,46945,2502100205.0,Punjab,Urban,25021002.0,51.0,3000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10338,46946,2502100205.0,Punjab,Urban,25021002.0,52.0,7000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
10339,46948,2502100206.0,Punjab,Urban,25021002.0,1.0,24000.0,,25021002.0,1979.2511163432653,2502,LAHORE,2502.0
