vor_id,com_value_sqyard,area_sq,area_sqrt,geometry,res_value_sqyard
vor0,65340,918693.8100915041,958.4851642521674,"POLYGON ((72.8296914678320348 33.6885723592409434, 72.8347194370000466 33.6830416700000796, 72.8398135410000691 33.6774371330000690, 72.8424682480000456 33.6745169960000794, 72.8458386060000294 33.6708096540000383, 72.8477334672421932 33.6687253358540488, 72.8518084587755936 33.6736219294100536, 72.8518084587755936 33.6885723592409434, 72.8296914678320348 33.6885723592409434))",38760
vor1,65340,1263238.7787711755,1123.9389568705124,"POLYGON ((72.8344901889520457 33.7035201889519982, 72.8344530250000730 33.7034830250000255, 72.8329938540000512 33.7020238540000605, 72.8248590000000604 33.6938880000000722, 72.8296914678320348 33.6885723592409434, 72.8518084587755936 33.6885723592409434, 72.8518084587755936 33.7035201889519982, 72.8344901889520457 33.7035201889519982))",38760
vor2,65340,507607.42368338787,712.4657350942485,"POLYGON ((72.8518084587755936 33.7173967293878079, 72.8498364460000403 33.7164107230000241, 72.8449250000000461 33.7139550000000554, 72.8397446430000741 33.7087746430000266, 72.8344901889520457 33.7035201889519982, 72.8518084587755936 33.7035201889519982, 72.8518084587755936 33.7173967293878079))",38760
vor3,65340,591318.0043818373,768.9720439533789,"POLYGON ((72.8550315937945641 33.6586689000251482, 72.8561816910000744 33.6568204770000534, 72.8585173270000723 33.6530666700000438, 72.8607535130000770 33.6494743070000482, 72.8666631687033259 33.6399756136579242, 72.8697747644579721 33.6437132716528566, 72.8697747644579863 33.6586689000251482, 72.8550315937945641 33.6586689000251482))",40000
vor4,65340,1026638.7549746452,1013.2318367356235,"POLYGON ((72.8477334672421932 33.6687253358540488, 72.8480628690000458 33.6683629990000668, 72.8510320000000320 33.6650970000000598, 72.8528380540000740 33.6621943320000696, 72.8550315937945641 33.6586689000251482, 72.8697747644579863 33.6586689000251482, 72.8697747644579863 33.6736219294100536, 72.8518084587755936 33.6736219294100536, 72.8477334672421932 33.6687253358540488))",40000
vor5,65340,986360.1652963944,993.1566670452323,"POLYGON ((72.8518084587755936 33.6736219294100536, 72.8697747644579863 33.6736219294100536, 72.8697747644579721 33.6885723592409363, 72.8518084587755936 33.6885723592409434, 72.8518084587755936 33.6736219294100536))",38760
vor6,65340,986188.6214290448,993.0703003458742,"POLYGON ((72.8697747644579863 33.7035201889519982, 72.8518084587755936 33.7035201889519982, 72.8518084587755936 33.6885723592409434, 72.8697747644579721 33.6885723592409363, 72.8697747644579863 33.7035201889519982))",38760
vor7,65340,1137299.9673386249,1066.4426695039097,"POLYGON ((72.8697747644579863 33.7218999473113428, 72.8679199220000555 33.7219238280000582, 72.8606290000000740 33.7218070000000694, 72.8518084587755936 33.7173967293878079, 72.8518084587755936 33.7035201889519982, 72.8697747644579863 33.7035201889519982, 72.8697747644579863 33.7218999473113428))",38760
vor8,65340,516549.14967636345,718.7135379804414,"POLYGON ((72.8736441348168142 33.6287550448606254, 72.8754610000000298 33.6258350000000519, 72.8804823800000463 33.6186250030000338, 72.8856206334417323 33.6112480298920104, 72.8877410701403790 33.6137942202166755, 72.8877410701403790 33.6287550448606254, 72.8736441348168142 33.6287550448606254))",11479
vor9,65340,991606.1676311899,995.7942396053463,"POLYGON ((72.8666631687033259 33.6399756136579242, 72.8731747150000615 33.6295094910000785, 72.8736441348168142 33.6287550448606254, 72.8877410701403790 33.6287550448606254, 72.8877410701403790 33.6437132716528566, 72.8697747644579721 33.6437132716528566, 72.8666631687033259 33.6399756136579242))",11479
vor10,65340,985702.1540737447,992.8253391577719,"POLYGON ((72.8697747644579863 33.6586689000251482, 72.8697747644579721 33.6437132716528566, 72.8877410701403790 33.6437132716528566, 72.8877410701403790 33.6586689000251482, 72.8697747644579863 33.6586689000251482))",40000
vor11,65340,985530.8588689449,992.7390688740646,"POLYGON ((72.8877410701403647 33.6736219294100465, 72.8697747644579863 33.6736219294100536, 72.8697747644579863 33.6586689000251482, 72.8877410701403790 33.6586689000251482, 72.8877410701403647 33.6736219294100465))",40000
vor12,65340,985359.526319271,992.6527722820659,"POLYGON ((72.8697747644579721 33.6885723592409363, 72.8697747644579863 33.6736219294100536, 72.8877410701403647 33.6736219294100465, 72.8877410701403790 33.6885723592409363, 72.8697747644579721 33.6885723592409363))",38760
vor13,65340,985188.156477822,992.566449401662,"POLYGON ((72.8697747644579863 33.7035201889519982, 72.8697747644579721 33.6885723592409363, 72.8877410701403790 33.6885723592409363, 72.8877410701403790 33.7035201889519982, 72.8697747644579863 33.7035201889519982))",38760
vor14,65340,1217725.334801993,1103.5059287570652,"POLYGON ((72.8877410701403790 33.7223926169651307, 72.8869001610000282 33.7223458730000516, 72.8772252460000800 33.7218040240000505, 72.8697747644579863 33.7218999473113428, 72.8697747644579863 33.7035201889519982, 72.8877410701403790 33.7035201889519982, 72.8877410701403790 33.7223926169651307))",38760
vor15,65340,1051537.4218125585,1025.4449872189919,"POLYGON ((72.8856206334417323 33.6112480298920104, 72.8892811790000792 33.6059925970000677, 72.8967794570000365 33.5952246860000514, 72.8994773778167087 33.5913512032562522, 72.9057073758227716 33.5988307982900665, 72.9057073758227716 33.6137942202166755, 72.8877410701403790 33.6137942202166755, 72.8856206334417323 33.6112480298920104))",11479
vor16,65340,985043.1936371844,992.4934224654511,"POLYGON ((72.8877410701403790 33.6287550448606254, 72.8877410701403790 33.6137942202166755, 72.9057073758227716 33.6137942202166755, 72.9057073758227716 33.6287550448606254, 72.8877410701403790 33.6287550448606254))",11479
vor17,65340,984872.1471750804,992.4072486510164,"POLYGON ((72.8877410701403790 33.6437132716528566, 72.8877410701403790 33.6287550448606254, 72.9057073758227716 33.6287550448606254, 72.9057073758227716 33.6437132716528637, 72.8877410701403790 33.6437132716528566))",40000
vor18,65340,984701.0633039915,992.3210485039564,"POLYGON ((72.9057073758227716 33.6586689000251482, 72.8877410701403790 33.6586689000251482, 72.8877410701403790 33.6437132716528566, 72.9057073758227716 33.6437132716528637, 72.9057073758227716 33.6586689000251482))",40000
vor19,65340,984529.942066725,992.2348220389794,"POLYGON ((72.9057073758227716 33.6586689000251482, 72.9057073758227716 33.6736219294100536, 72.8877410701403647 33.6736219294100465, 72.8877410701403790 33.6586689000251482, 72.9057073758227716 33.6586689000251482))",40000
vor20,65340,984358.7835257156,992.1485692806878,"POLYGON ((72.9057073758227716 33.6736219294100536, 72.9057073758227716 33.6885723592409363, 72.8877410701403790 33.6885723592409363, 72.8877410701403647 33.6736219294100465, 72.9057073758227716 33.6736219294100536))",38760
vor21,65340,984187.5877309649,992.0622902474244,"POLYGON ((72.8877410701403790 33.7035201889519982, 72.8877410701403790 33.6885723592409363, 72.9057073758227716 33.6885723592409363, 72.9057073758227716 33.7035201889519982, 72.8877410701403790 33.7035201889519982))",38760
vor22,65340,1282663.2550225665,1132.5472418502313,"POLYGON ((72.8997128515781014 33.7256723217514107, 72.8929110000000833 33.7226800000000253, 72.8877410701403790 33.7223926169651307, 72.8877410701403790 33.7035201889519982, 72.9057073758227716 33.7035201889519982, 72.9057073758227716 33.7184654179782086, 72.8997128515781014 33.7256723217514107))",38760
vor23,74250,1428216.2935975112,1195.0800364818715,"POLYGON ((72.8994773778167087 33.5913512032562522, 72.9077472780000448 33.5794778690000726, 72.9094880000000671 33.5769770000000563, 72.9229740830000424 33.5828006640000467, 72.9236736815051643 33.5831035593673661, 72.9236736815051643 33.5988307982900665, 72.9057073758227716 33.5988307982900665, 72.8994773778167087 33.5913512032562522))",11479
vor24,74250,984212.4864057825,992.0748391153676,"POLYGON ((72.9057073758227716 33.5988307982900665, 72.9236736815051643 33.5988307982900665, 72.9236736815051643 33.6137942202166755, 72.9057073758227716 33.6137942202166755, 72.9057073758227716 33.5988307982900665))",11479
vor25,65340,984041.6512864011,991.9887354634634,"POLYGON ((72.9236736815051501 33.6287550448606254, 72.9057073758227716 33.6287550448606254, 72.9057073758227716 33.6137942202166755, 72.9236736815051643 33.6137942202166755, 72.9236736815051501 33.6287550448606254))",11479
