vor_id,res_value_sqyard,com_value_sqyard
vor0,4800.0,7560.0
vor1,4800.0,7560.0
vor2,4800.0,7560.0
vor3,4800.0,7560.0
vor4,4800.0,7560.0
vor5,4800.0,7560.0
vor6,4800.0,7560.0
vor7,4800.0,7560.0
vor8,4800.0,7560.0
vor9,4800.0,7560.0
vor10,4800.0,7560.0
vor11,4800.0,7560.0
vor12,4800.0,7560.0
vor13,4800.0,7560.0
vor14,4800.0,7560.0
vor15,4800.0,7560.0
vor16,4800.0,7560.0
vor17,4800.0,7560.0
vor18,4800.0,7560.0
vor19,4800.0,7560.0
vor20,4800.0,7560.0
vor21,4800.0,7560.0
vor22,4800.0,7560.0
vor23,4800.0,7560.0
vor24,4800.0,7560.0
vor25,4800.0,7560.0
vor26,4800.0,7560.0
vor27,4800.0,7560.0
vor28,4800.0,7560.0
vor29,4800.0,7560.0
vor30,4800.0,7560.0
vor31,4800.0,7560.0
vor32,4800.0,7560.0
vor33,4800.0,7560.0
vor34,4800.0,7560.0
vor35,4800.0,7560.0
vor36,4800.0,7560.0
vor37,4800.0,7560.0
vor38,4800.0,7560.0
vor39,4800.0,7560.0
vor40,7200.0,12000.0
vor41,4800.0,7560.0
vor42,4800.0,7560.0
vor43,4800.0,7560.0
vor44,4800.0,7560.0
vor45,4800.0,7560.0
vor46,4800.0,7560.0
vor47,4800.0,7560.0
vor48,7200.0,12000.0
vor49,7200.0,12000.0
vor50,4800.0,7560.0
vor51,4800.0,7560.0
vor52,4800.0,7560.0
vor53,4800.0,7560.0
vor54,4800.0,7560.0
vor55,7200.0,12000.0
vor56,7200.0,12000.0
vor57,7200.0,12000.0
vor58,4800.0,7560.0
vor59,4800.0,7560.0
vor60,4800.0,7560.0
vor61,7200.0,12000.0
vor62,7200.0,12000.0
vor63,7200.0,12000.0
vor64,7200.0,12000.0
vor65,7200.0,12000.0
vor66,4800.0,7560.0
vor67,4800.0,7560.0
vor68,4800.0,7560.0
vor69,4800.0,7560.0
vor70,7200.0,12000.0
vor71,7200.0,12000.0
vor72,7200.0,12000.0
vor73,7200.0,12000.0
vor74,7200.0,12000.0
vor75,4800.0,7560.0
vor76,4800.0,7560.0
vor77,4800.0,7560.0
vor78,7200.0,12000.0
vor79,7200.0,12000.0
vor80,7200.0,12000.0
vor81,7200.0,12000.0
vor82,7200.0,12000.0
vor83,7200.0,12000.0
vor84,7200.0,12000.0
vor85,4800.0,7560.0
vor86,4800.0,7560.0
vor87,4800.0,7560.0
vor88,4800.0,7560.0
vor89,7200.0,12000.0
vor90,7200.0,12000.0
vor91,7200.0,12000.0
vor92,7200.0,12000.0
vor93,7200.0,12000.0
vor94,7200.0,12000.0
vor95,7200.0,12000.0
vor96,4800.0,7560.0
vor97,4800.0,7560.0
vor98,4800.0,7560.0
vor99,4800.0,7560.0
vor100,7200.0,12000.0
vor101,7200.0,12000.0
vor102,7200.0,12000.0
vor103,7200.0,12000.0
vor104,7200.0,12000.0
vor105,7200.0,12000.0
vor106,7200.0,12000.0
vor107,4800.0,7560.0
vor108,4800.0,7560.0
vor109,4800.0,7560.0
vor110,4800.0,7560.0
vor111,7200.0,12000.0
vor112,7200.0,12000.0
vor113,7200.0,12000.0
vor114,7200.0,12000.0
vor115,7200.0,12000.0
vor116,7200.0,12000.0
vor117,7200.0,12000.0
vor118,7200.0,12000.0
vor119,13200.0,21600.0
vor120,4800.0,7560.0
vor121,4800.0,7560.0
vor122,4800.0,7560.0
vor123,7200.0,12000.0
vor124,7200.0,12000.0
vor125,7200.0,12000.0
vor126,7200.0,12000.0
vor127,7200.0,12000.0
vor128,7200.0,12000.0
vor129,7200.0,12000.0
vor130,7200.0,12000.0
vor131,7200.0,12000.0
vor132,13200.0,21600.0
vor133,13200.0,21600.0
vor134,48000.0,64800.0
vor135,38400.0,64800.0
vor136,4800.0,7560.0
vor137,4800.0,7560.0
vor138,7200.0,12000.0
vor139,7200.0,12000.0
vor140,7200.0,12000.0
vor141,7200.0,12000.0
vor142,7200.0,12000.0
vor143,7200.0,12000.0
vor144,7200.0,12000.0
vor145,7200.0,12000.0
vor146,7200.0,12000.0
vor147,7200.0,12000.0
vor148,7200.0,12000.0
vor149,13200.0,21600.0
vor150,48000.0,64800.0
vor151,38400.0,81000.0
vor152,38400.0,81000.0
vor153,38400.0,81000.0
vor154,38400.0,81000.0
vor155,38400.0,81000.0
vor156,7200.0,12000.0
vor157,7200.0,12000.0
vor158,7200.0,12000.0
vor159,7200.0,12000.0
vor160,7200.0,12000.0
vor161,7200.0,12000.0
vor162,7200.0,12000.0
vor163,7200.0,12000.0
vor164,7200.0,12000.0
vor165,3600.0,5400.0
vor166,3600.0,5400.0
vor167,3600.0,5400.0
vor168,38400.0,64800.0
vor169,38400.0,64800.0
vor170,24000.0,42000.0
vor171,38400.0,81000.0
vor172,38400.0,81000.0
vor173,13200.0,21600.0
vor174,13200.0,21600.0
vor175,7200.0,12000.0
vor176,7200.0,12000.0
vor177,7200.0,12000.0
