vor_id,area_sq,area_sqrt,sum_pop,mean_pop,max_pop,min_pop,occurances-accounting,occurances-airport,occurances-amusement_park,occurances-aquarium,occurances-art_gallery,occurances-atm,occurances-bakery,occurances-bank,occurances-bar,occurances-beauty_salon,occurances-bicycle_store,occurances-book_store,occurances-bus_station,occurances-cafe,occurances-campground,occurances-car_dealer,occurances-car_rental,occurances-car_repair,occurances-car_wash,occurances-cemetery,occurances-church,occurances-city_hall,occurances-clothing_store,occurances-convenience_store,occurances-courthouse,occurances-dentist,occurances-department_store,occurances-doctor,occurances-drugstore,occurances-electrician,occurances-electronics_store,occurances-embassy,occurances-finance,occurances-fire_station,occurances-florist,occurances-food,occurances-funeral_home,occurances-furniture_store,occurances-gas_station,occurances-general_contractor,occurances-grocery_or_supermarket,occurances-gym,occurances-hair_care,occurances-hardware_store,occurances-health,occurances-hindu_temple,occurances-home_goods_store,occurances-hospital,occurances-insurance_agency,occurances-jewelry_store,occurances-laundry,occurances-lawyer,occurances-library,occurances-local_government_office,occurances-locksmith,occurances-lodging,occurances-meal_delivery,occurances-meal_takeaway,occurances-mosque,occurances-movie_rental,occurances-movie_theater,occurances-moving_company,occurances-museum,occurances-night_club,occurances-painter,occurances-park,occurances-parking,occurances-pet_store,occurances-pharmacy,occurances-physiotherapist,occurances-place_of_worship,occurances-plumber,occurances-point_of_interest,occurances-police,occurances-post_office,occurances-premise,occurances-primary_school,occurances-real_estate_agency,occurances-restaurant,occurances-roofing_contractor,occurances-rv_park,occurances-school,occurances-secondary_school,occurances-shoe_store,occurances-shopping_mall,occurances-spa,occurances-stadium,occurances-storage,occurances-store,occurances-sublocality_level_2,occurances-supermarket,occurances-taxi_stand,occurances-tourist_attraction,occurances-train_station,occurances-transit_station,occurances-travel_agency,occurances-university,occurances-veterinary_care,occurances-zoo,price_leve-bakery,price_leve-bar,price_leve-book_store,price_leve-cafe,price_leve-car_dealer,price_leve-department_store,price_leve-food,price_leve-gas_station,price_leve-meal_delivery,price_leve-meal_takeaway,price_leve-moving_company,price_leve-point_of_interest,price_leve-restaurant,price_leve-school,price_leve-shoe_store,price_leve-store,rating-accounting,rating-airport,rating-amusement_park,rating-art_gallery,rating-atm,rating-bakery,rating-bank,rating-bar,rating-beauty_salon,rating-bicycle_store,rating-book_store,rating-bus_station,rating-cafe,rating-campground,rating-car_dealer,rating-car_rental,rating-car_repair,rating-car_wash,rating-cemetery,rating-church,rating-city_hall,rating-clothing_store,rating-convenience_store,rating-courthouse,rating-dentist,rating-department_store,rating-doctor,rating-drugstore,rating-electrician,rating-electronics_store,rating-embassy,rating-finance,rating-fire_station,rating-florist,rating-food,rating-funeral_home,rating-furniture_store,rating-gas_station,rating-general_contractor,rating-grocery_or_supermarket,rating-gym,rating-hair_care,rating-hardware_store,rating-health,rating-home_goods_store,rating-hospital,rating-insurance_agency,rating-jewelry_store,rating-laundry,rating-lawyer,rating-library,rating-local_government_office,rating-locksmith,rating-lodging,rating-meal_delivery,rating-meal_takeaway,rating-mosque,rating-movie_rental,rating-movie_theater,rating-moving_company,rating-museum,rating-night_club,rating-painter,rating-park,rating-parking,rating-pet_store,rating-pharmacy,rating-physiotherapist,rating-place_of_worship,rating-plumber,rating-point_of_interest,rating-police,rating-post_office,rating-premise,rating-primary_school,rating-real_estate_agency,rating-restaurant,rating-roofing_contractor,rating-rv_park,rating-school,rating-secondary_school,rating-shoe_store,rating-shopping_mall,rating-spa,rating-stadium,rating-storage,rating-store,rating-supermarket,rating-taxi_stand,rating-tourist_attraction,rating-train_station,rating-transit_station,rating-travel_agency,rating-university,rating-veterinary_care,rating-zoo,user_ratin-accounting,user_ratin-airport,user_ratin-amusement_park,user_ratin-aquarium,user_ratin-art_gallery,user_ratin-atm,user_ratin-bakery,user_ratin-bank,user_ratin-bar,user_ratin-beauty_salon,user_ratin-bicycle_store,user_ratin-book_store,user_ratin-bus_station,user_ratin-cafe,user_ratin-campground,user_ratin-car_dealer,user_ratin-car_rental,user_ratin-car_repair,user_ratin-car_wash,user_ratin-cemetery,user_ratin-church,user_ratin-city_hall,user_ratin-clothing_store,user_ratin-convenience_store,user_ratin-courthouse,user_ratin-dentist,user_ratin-department_store,user_ratin-doctor,user_ratin-drugstore,user_ratin-electrician,user_ratin-electronics_store,user_ratin-embassy,user_ratin-finance,user_ratin-fire_station,user_ratin-florist,user_ratin-food,user_ratin-funeral_home,user_ratin-furniture_store,user_ratin-gas_station,user_ratin-general_contractor,user_ratin-grocery_or_supermarket,user_ratin-gym,user_ratin-hair_care,user_ratin-hardware_store,user_ratin-health,user_ratin-hindu_temple,user_ratin-home_goods_store,user_ratin-hospital,user_ratin-insurance_agency,user_ratin-jewelry_store,user_ratin-laundry,user_ratin-lawyer,user_ratin-library,user_ratin-local_government_office,user_ratin-locksmith,user_ratin-lodging,user_ratin-meal_delivery,user_ratin-meal_takeaway,user_ratin-mosque,user_ratin-movie_rental,user_ratin-movie_theater,user_ratin-moving_company,user_ratin-museum,user_ratin-night_club,user_ratin-painter,user_ratin-park,user_ratin-parking,user_ratin-pet_store,user_ratin-pharmacy,user_ratin-physiotherapist,user_ratin-place_of_worship,user_ratin-plumber,user_ratin-point_of_interest,user_ratin-police,user_ratin-post_office,user_ratin-premise,user_ratin-primary_school,user_ratin-real_estate_agency,user_ratin-restaurant,user_ratin-roofing_contractor,user_ratin-rv_park,user_ratin-school,user_ratin-secondary_school,user_ratin-shoe_store,user_ratin-shopping_mall,user_ratin-spa,user_ratin-stadium,user_ratin-storage,user_ratin-store,user_ratin-sublocality_level_2,user_ratin-supermarket,user_ratin-taxi_stand,user_ratin-tourist_attraction,user_ratin-train_station,user_ratin-transit_station,user_ratin-travel_agency,user_ratin-university,user_ratin-veterinary_care,user_ratin-zoo
vor100,934004.0862661587,966.4388683544132,18674.72265625,52.45708465576172,125.7999038696289,15.14064121246338,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,4.4399999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,
vor105,934800.4578126709,966.8507939763358,12152.642578125,35.743064880371094,54.49470901489258,20.96736717224121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
vor106,934648.2172201169,966.772060632762,27830.583984375,81.85466003417969,144.50807189941406,31.23310089111328,,,,,,,,1.0,,,,,,2.0,,,,2.0,1.0,,,,2.0,,,,,,,,1.0,,,,,2.0,,,3.0,2.0,3.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,46.0,,,,,4.0,5.0,,,10.0,2.0,,1.0,,,1.0,4.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,5.0,,,,5.0,,,,,5.0,,,,,,,,5.0,,,,,4.05,,,4.466666666666666,4.3,4.1,,,5.0,4.0,,,,,,,,,,,,,4.64,,,,,,,,,,,,4.9,,4.373913043478261,,,,,4.5,4.05,,,4.4,5.0,,4.0,,,,4.766666666666667,4.4,,,,4.4,,,,,,,,,,,,8.0,,,,,,1.0,,,,1.0,0.0,,,,1.0,,,,,,,,2.0,,,,,12.0,,,29.0,64.0,7.0,,0.0,2.0,2.0,,0.0,,,,,,,,,,,,26.0,,,,,,,,,,,,10.0,,399.0,,,,,3.0,16.0,,,13.0,2.0,,1.0,,,0.0,8.0,,23.0,,,,7.0,,,,
vor110,934038.8324320525,966.4568445782007,19297.390625,56.75703048706055,109.3370590209961,26.348337173461914,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,5.0,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,5.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
vor111,933886.3808861731,966.3779699921625,20934.59375,61.57233428955078,140.611572265625,19.793750762939453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
vor112,933733.8872999692,966.2990672146844,29105.482421875,85.60436248779297,139.67022705078122,23.3309383392334,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,3.0,,,1.0,,,,,,,2.0,,,1.0,,,,46.0,2.0,,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.2,,,,,,,,,,,,,,,3.8499999999999996,,,,,,,,,,,,,,,,,,4.6,,,,5.0,3.4,,,,,,,,,4.466666666666667,,,5.0,,,,,,,4.5,,,1.0,,,,4.493333333333334,4.5,,,,,,,,,,,,,,5.0,,,,,,4.2,,4.0,,,,,,,,,9.0,14.0,,,,,,,,,,,0.0,,,,185.0,,,,,,,,,,,,,,,,,,8.0,,,,2.0,,5.0,,,,,,,,,19.0,,,2.0,,,,,,,56.0,,,1.0,,,,429.0,2.0,,0.0,,,,,,,,,,,,2.0,,,,,,,38.0,,91.0,,
vor113,933581.3517265578,966.2201362663468,35356.296875,103.98910522460938,147.71327209472656,47.028968811035156,,,,,,1.0,,5.0,,1.0,,,,,,,,5.0,1.0,,,,1.0,,,3.0,,,,,4.0,,3.0,,,5.0,,1.0,2.0,3.0,3.0,,1.0,1.0,5.0,,9.0,3.0,,2.0,3.0,,,,,5.0,,,5.0,,,,,,,1.0,,,3.0,,,,88.0,,,,1.0,1.0,6.0,,,15.0,3.0,1.0,1.0,,,4.0,4.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.3,,3.65,,4.0,,,,,,,,3.3749999999999996,5.0,,,,4.6,,,3.7,,,,,2.75,,,,,4.35,,4.0,3.8499999999999996,5.0,4.3,,4.4,4.0,4.7,4.180000000000001,4.533333333333333,,4.5,5.0,,,,,5.0,,,4.9,,,,,,,4.4,,,4.8,,,,4.431578947368422,,,,,5.0,4.36,,,4.4375,4.633333333333333,3.0,4.7,,,4.3,4.5,4.35,,,,,,5.0,,,,,,,,3.0,,15.0,,4.0,,,,,,,,26.0,1.0,,,,40.0,,,14.0,,,,,3.0,,0.0,,,88.0,,1.0,113.0,1.0,12.0,,7.0,6.0,10.0,,112.0,43.0,,13.0,1.0,,,,,3.0,,,66.0,,,,,,,42.0,,,8.0,,,,602.0,,,,0.0,40.0,96.0,,,28.0,41.0,1.0,23.0,,,4.0,2.0,,5.0,,,,,,1.0,,
vor114,933428.7742149101,966.141177165589,30267.2578125,89.02134704589844,145.5058135986328,47.62451934814453,,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,,,1.0,,1.0,,,,,,,,2.0,,1.0,,,2.0,,4.0,1.0,1.0,2.0,,1.0,,2.0,,3.0,1.0,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,65.0,,,,,6.0,10.0,,,6.0,,,2.0,,,1.0,4.0,,,,,,,1.0,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,3.9,4.5,,,,,,,,,,4.45,,,5.0,,5.0,,,,,,,,4.85,,,,,4.0,,3.3000000000000003,4.0,,4.4,,4.7,,4.9,2.4,2.0,,,,,,,,5.0,,,4.86,,,,,,,,,,,,,,4.541176470588235,,,,,4.25,4.377777777777777,,,3.9,,,2.7,,,4.0,5.0,,,,,,,3.9000000000000004,,,,,,,,,9.0,2.0,,0.0,,,,,,,,19.0,,,2.0,,1.0,,,,,,,,5.0,,0.0,,,3.0,,63.0,235.0,0.0,537.0,,3.0,,29.0,,26.0,1.0,,,,,,,,1.0,,,19.0,,,,,,,,,,,,,,171.0,,,,,44.0,852.0,,,20.0,,,174.0,,,47.0,2.0,,,,,,,0.0,175.0,,
vor115,933276.1548176755,966.0621899327576,31982.208984375,94.06532287597656,140.951416015625,50.62880325317383,,,,,,2.0,1.0,6.0,,3.0,,,,,,,,,,,,,1.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,6.0,3.0,2.0,1.0,,2.0,,2.0,1.0,,,1.0,,,3.0,,2.0,,,5.0,,,,,,,3.0,1.0,,5.0,1.0,,,41.0,,,,,7.0,6.0,,,4.0,1.0,1.0,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,4.1499999999999995,,4.366666666666666,,,,,,,,,,,,,4.5,4.5,,4.0,,,,,4.4,,5.0,,,,,,,4.583333333333333,4.3,3.35,3.7,,4.85,5.0,,,,3.5,,,,,4.5,,,4.475,,,,,,,4.2,4.1,,4.575,5.0,,,4.441666666666667,,,,,4.220000000000001,4.0,,,5.0,,5.0,,,,4.0,3.5,,,,,,,,,,,,,,,7.0,0.0,64.0,,8.0,,,,,,,,,,,,,12.0,4.0,,7.0,,0.0,,0.0,20.0,,1.0,,,0.0,,,,120.0,158.0,26.0,3.0,,8.0,,1.0,0.0,,,4.0,,,0.0,,8.0,,,340.0,,,,,,,124.0,14.0,,28.0,1.0,,,404.0,,,,,10.0,219.0,,,3.0,0.0,1.0,,,,13.0,5.0,0.0,,,,,,,,,
vor116,933123.4935824026,965.9831745855631,37915.9140625,111.51739501953124,145.52496337890625,64.2069091796875,,,,,,2.0,3.0,2.0,,5.0,,1.0,,3.0,,,3.0,6.0,,1.0,,,6.0,1.0,,1.0,3.0,4.0,,,1.0,,1.0,,,10.0,,,,3.0,,,3.0,,4.0,,1.0,1.0,,,,,,,,2.0,,1.0,6.0,,,,,,,4.0,1.0,,4.0,,,,80.0,,,1.0,,7.0,14.0,,,6.0,,1.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,3.0,,,2.0,,,,,,,,,1.0,,,,,,,,3.55,4.15,3.5,,3.9800000000000004,,5.0,,4.6000000000000005,,,4.933333333333334,4.0200000000000005,,,,,4.1499999999999995,5.0,,5.0,4.566666666666666,4.666666666666667,,,,,,,,4.533333333333333,,,,5.0,,,4.45,,4.65,5.0,3.3,,,,,,,,4.6,,,4.68,,,,,,,4.1,5.0,,4.5,,,,4.575000000000002,,,,,4.6499999999999995,3.9272727272727277,,,4.0200000000000005,,3.0,3.7,,,,,,,,,,5.0,,,,,,,,,41.0,1021.0,25.0,,49.0,,1.0,,367.0,,,54.0,157.0,,0.0,,,160.0,12.0,,15.0,2232.0,3.0,,,0.0,,0.0,,,112.0,,,,1.0,,,13.0,,6.0,,1.0,16.0,,,,,,,,6.0,,0.0,437.0,,,,,,,132.0,3.0,,11.0,,,,727.0,,,0.0,,18.0,668.0,,,55.0,,4.0,176.0,,0.0,,0.0,,,,,,,2.0,,,
