area,res_value_marla,com_value_marla,address
ABDALIAN COOP SOCIETY,"735,000","1,105,800","ABDALIAN+COOP+SOCIETY,LAHORE+,PAKISTAN"
ABADI MUSALA MOUZA MUSALA,"222,000","388,800","ABADI+MUSALA+MOUZA+MUSALA,LAHORE+,PAKISTAN"
ABID GARDEN ABADI MUSALA,"302,700","699,600","ABID+GARDEN+ABADI+MUSALA,LAHORE+,PAKISTAN"
ADJOINING CANAL BANK ALL SOCIETY MOUZAKANJARAN,"489,600","1,131,000","ADJOINING+CANAL+BANK+ALL+SOCIETY+MOUZAKANJARAN,LAHORE+,PAKISTAN"
ADJOINING CANAL BANK ALL SOCIETY MOUZAIN SHAHPUR KHANPUR,"645,000","1,105,800","ADJOINING+CANAL+BANK+ALL+SOCIETY+MOUZAIN+SHAHPUR+KHANPUR,LAHORE+,PAKISTAN"
AGRICHES COOP SOCIETY,"486,900","875,400","AGRICHES+COOP+SOCIETY,LAHORE+,PAKISTAN"
AHBAB COLONY,"238,800","341,400","AHBAB+COLONY,LAHORE+,PAKISTAN"
AHMAD SCHEME NIAZ BAIG,"354,948","695,850","AHMAD+SCHEME+NIAZ+BAIG,LAHORE+,PAKISTAN"
AHMAD NAGAR KATCHI KOTHI,"401,100","633,600","AHMAD+NAGAR+KATCHI+KOTHI,LAHORE+,PAKISTAN"
AITCHISON COLLEGE COOP SOCIETY,"534,000","783,750","AITCHISON+COLLEGE+COOP+SOCIETY,LAHORE+,PAKISTAN"
AJODIAPUR,"405,888","753,792","AJODIAPUR,LAHORE+,PAKISTAN"
AJODIAPUR ALL SOCIETY AND  TOWNS INAJODIAPUR,"478,368","884,256","AJODIAPUR+ALL+SOCIETY+AND++TOWNS+INAJODIAPUR,LAHORE+,PAKISTAN"
AL-HAJAJ COOP SOCIETY,"358,200","597,000","AL-HAJAJ+COOP+SOCIETY,LAHORE+,PAKISTAN"
ALHAMAD PARK NIAZ BAIG,"358,200","576,000","ALHAMAD+PARK+NIAZ+BAIG,LAHORE+,PAKISTAN"
ALI PARK NIAZ BAIG,"529,800","768,600","ALI+PARK+NIAZ+BAIG,LAHORE+,PAKISTAN"
ALI RAZABAD,"358,200","725,700","ALI+RAZABAD,LAHORE+,PAKISTAN"
ALL SOCIETIES AND TOWN IN RAKH KHAMBA,"302,700","592,800","ALL+SOCIETIES+AND+TOWN+IN+RAKH+KHAMBA,LAHORE+,PAKISTAN"
ALL SOCIETIES AND TOWN IN AMIR KOT,"563,400","789,600","ALL+SOCIETIES+AND+TOWN+IN+AMIR+KOT,LAHORE+,PAKISTAN"
ALL SOCIETIES AND TOWN IN MOUZA JULIANA,"285,900","716,400","ALL+SOCIETIES+AND+TOWN+IN+MOUZA+JULIANA,LAHORE+,PAKISTAN"
ALL SOCIETIES AND TOWN IN KHAMBA,"285,900","588,600","ALL+SOCIETIES+AND+TOWN+IN+KHAMBA,LAHORE+,PAKISTAN"
AWAN TOWN,"452,400","754,650","AWAN+TOWN,LAHORE+,PAKISTAN"
AWAISIA COOP  SOCIETY,"345,600","695,400","AWAISIA+COOP++SOCIETY,LAHORE+,PAKISTAN"
AZAM GARDEN,"491,100","824,100","AZAM+GARDEN,LAHORE+,PAKISTAN"
BADA PURA,"383,850","597,000","BADA+PURA,LAHORE+,PAKISTAN"
BEHRIA TOWN,"547,200","1,206,600","BEHRIA+TOWN,LAHORE+,PAKISTAN"
BAKAR MANDI,"580,200","1,070,400","BAKAR+MANDI,LAHORE+,PAKISTAN"
