,vor_id,TDLinx,type,channel,turnover_int,turnover_obs,card_machine,Latitude,Longitude
0,vor206,05454743,General Store,Grocery,Rank J,Rank J,No,31.557747328,74.298542217
1,vor185,05455022,General Store,Grocery,Rank J,Rank J,No,31.604923617,74.28358525
2,vor185,05455260,General Store,Grocery,Rank K,Rank J,No,31.609072659,74.284604564
3,vor209,05455284,General Store,Grocery,Rank K,Rank I,No,31.609649012,74.289819259
4,vor206,05455447,General Store,Grocery,Rank K,Rank J,No,31.558823557,74.295897936
5,vor164,05455567,General Store,Grocery,Rank J,Rank J,No,31.608238216,74.247802325
6,vor204,05457449,General Store,Grocery,Rank J,Rank K,No,31.524226877,74.3015138
7,vor186,05457553,General Store,Grocery,Rank I,Rank J,No,31.621713641,74.278360024
8,vor233,05457934,General Store,Grocery,Rank H,Rank H,No,31.571196957,74.303576299
9,vor206,05454308,General Store,Grocery,Rank I,Rank I,No,31.567545485,74.290041869
10,vor185,05454926,General Store,Grocery,Rank M,Rank L,No,31.605548186,74.283179703
11,vor206,05454996,General Store,Grocery,Rank L,Rank K,No,31.561033588,74.288992903
12,vor164,05455170,General Store,Grocery,Rank J,Rank I,No,31.609894272,74.266477484
13,vor209,05455289,General Store,Grocery,Rank K,Rank I,No,31.610755462,74.291833237
14,vor206,05455399,General Store,Grocery,Rank L,Rank K,No,31.563447,74.287827
15,vor206,05455427,General Store,Grocery,Rank L,Rank L,No,31.561584,74.296497
16,vor182,05455459,General Store,Grocery,Rank K,Rank K,No,31.563829365,74.282606467
17,vor207,05456282,General Store,Grocery,Rank K,Rank J,No,31.569515271,74.288641319
18,vor206,05456297,General Store,Grocery,Rank F,Rank G,No,31.562975872,74.295297117
19,vor206,05458025,General Store,Grocery,Rank I,Rank I,No,31.557724,74.298539
20,vor164,05455107,General Store,Grocery,Rank I,Rank H,No,31.610890306,74.266981442
21,vor206,05455428,General Store,Grocery,Refused To Answer,Rank K,No,31.559374512,74.301098792
22,vor206,05455431,General Store,Grocery,Rank K,Rank K,No,31.560624699,74.301469067
23,vor186,05456241,General Store,Grocery,Rank H,Rank I,No,31.620977797,74.278301
24,vor206,05456296,General Store,Grocery,Rank D,Rank C,No,31.564188547,74.296282542
25,vor206,05456298,General Store,Grocery,Rank H,Rank G,No,31.566145584,74.286078294
26,vor186,05458736,General Store,Grocery,Rank K,Rank J,No,31.621087117,74.282432865
27,vor206,05454998,General Store,Grocery,Rank L,Rank K,No,31.56167684,74.288930065
28,vor206,05455009,General Store,Grocery,Rank L,Rank K,No,31.562682251,74.288537352
29,vor209,05455340,General Store,Grocery,Rank L,Rank J,No,31.610615847,74.288548626
30,vor207,05456593,General Store,Grocery,Rank L,Rank M,No,31.571471233,74.298255129
31,vor299,05457382,General Store,Grocery,,,,31.493247249,74.372215782
32,vor230,05457407,General Store,Grocery,Rank M,Rank L,No,31.523671259,74.30487373
33,vor207,05457880,General Store,Grocery,Rank J,Rank J,No,31.572059899,74.299819459
34,vor206,05454515,General Store,Grocery,Rank K,Rank K,No,31.567250326,74.285633747
35,vor206,05454643,General Store,Grocery,Rank I,Rank I,No,31.565026,74.290225
36,vor209,05454915,General Store,Grocery,Rank J,Rank K,No,31.613138289,74.289964783
37,vor164,05455079,General Store,Grocery,Rank J,Rank J,No,31.605226,74.250465
38,vor209,05455288,General Store,Grocery,Rank L,Rank J,No,31.610271761,74.290826968
39,vor209,05455290,General Store,Grocery,Rank K,Rank J,No,31.611077122,74.291906178
40,vor206,05455950,General Store,Grocery,Rank J,Rank J,No,31.565465579,74.287785261
41,vor207,05456290,General Store,Grocery,Rank L,Rank K,No,31.570441545,74.289657149
42,vor209,05457849,General Store,Grocery,Refused To Answer,Rank J,No,31.607037422,74.285729625
43,vor207,05457883,General Store,Grocery,Rank J,Rank K,No,31.572969997,74.298170594
44,vor186,05458740,General Store,Grocery,Rank K,Rank J,No,31.619591028,74.283080657
45,vor203,05454499,General Store,Grocery,Rank K,Rank M,No,31.514329633,74.299093798
46,vor206,05454639,General Store,Grocery,Rank D,Rank D,No,31.565384045,74.290578056
47,vor186,05454878,General Store,Grocery,Rank N,Rank N,No,31.616370131,74.281819886
48,vor206,05455434,General Store,Grocery,Rank I,Rank I,No,31.559677544,74.302832645
49,vor186,05457672,General Store,Grocery,Rank J,Rank J,No,31.618798914,74.274687136
50,vor206,05457797,General Store,Grocery,Rank K,Rank K,No,31.565338528,74.298767124
51,vor179,05458509,General Store,Grocery,Rank J,Rank I,No,31.520890748,74.28517937
52,vor164,05454426,General Store,Grocery,Rank K,Rank K,No,31.604139842,74.247963573
53,vor209,05454566,General Store,Grocery,Rank L,Rank J,No,31.610078,74.289433
54,vor206,05454670,General Store,Grocery,Rank K,Rank K,No,31.559932259,74.300634558
55,vor186,05455970,General Store,Grocery,Rank L,Rank K,No,31.619085323,74.282443992
56,vor186,05458892,General Store,Grocery,Rank L,Rank J,No,31.619136251,74.272878803
57,vor206,05454928,General Store,Grocery,Rank K,Rank J,No,31.560454924,74.287417957
58,vor206,05454944,General Store,Grocery,Rank G,Rank H,No,31.566133214,74.286270138
59,vor164,05455175,General Store,Grocery,Rank I,Rank H,No,31.60876475,74.267003792
60,vor206,05455206,General Store,Grocery,Rank F,Rank H,No,31.565603918,74.286764398
61,vor164,05455504,General Store,Grocery,Rank J,Rank J,No,31.608471249,74.24815956
62,vor206,05455895,General Store,Grocery,Rank G,Rank G,No,31.558444131,74.301148176
63,vor186,05457670,General Store,Grocery,Rank K,Rank H,No,31.617450139,74.275095899
64,vor206,05454313,General Store,Grocery,Rank F,Rank E,No,31.565481756,74.289729658
