,vor_id,occurances-food,occurances-grocery_or_supermarket,occurances-mosque,occurances-point_of_interest,occurances-restaurant,occurances-school
0,vor49,1.0,0.0,0.0,2.0,1.0,0.0
1,vor57,0.0,0.0,0.0,0.0,0.0,0.0
2,vor58,5.0,3.0,3.0,40.0,2.0,10.0
3,vor59,0.0,0.0,1.0,3.0,0.0,0.0
4,vor68,0.0,0.0,0.0,2.0,1.0,0.0
5,vor69,6.0,4.0,3.0,63.0,15.0,11.0
6,vor70,0.0,0.0,3.0,54.0,4.0,6.0
7,vor71,5.0,4.0,2.0,71.0,1.0,16.0
8,vor72,1.0,0.0,2.0,1.0,0.0,0.0
9,vor79,1.0,4.0,0.0,78.0,11.0,0.0
10,vor80,2.0,2.0,2.0,43.0,7.0,4.0
11,vor81,4.0,1.0,2.0,82.0,6.0,13.0
12,vor82,6.0,6.0,8.0,56.0,16.0,3.0
13,vor83,7.0,0.0,7.0,86.0,0.0,1.0
14,vor84,0.0,0.0,0.0,4.0,0.0,0.0
15,vor94,0.0,0.0,0.0,6.0,0.0,0.0
16,vor95,0.0,0.0,0.0,2.0,0.0,1.0
17,vor96,0.0,0.0,0.0,10.0,0.0,0.0
18,vor97,0.0,0.0,0.0,2.0,0.0,0.0
19,vor98,8.0,5.0,2.0,76.0,10.0,8.0
20,vor99,5.0,4.0,4.0,72.0,7.0,6.0
21,vor100,0.0,0.0,0.0,5.0,0.0,0.0
22,vor105,0.0,0.0,0.0,0.0,0.0,1.0
23,vor106,2.0,3.0,6.0,46.0,5.0,10.0
24,vor110,0.0,0.0,0.0,1.0,0.0,0.0
25,vor111,0.0,0.0,0.0,2.0,0.0,1.0
26,vor112,0.0,1.0,1.0,46.0,0.0,0.0
27,vor113,5.0,3.0,5.0,88.0,6.0,15.0
28,vor114,2.0,2.0,7.0,65.0,10.0,6.0
29,vor115,1.0,3.0,5.0,41.0,6.0,4.0
30,vor116,10.0,0.0,6.0,80.0,14.0,6.0
31,vor117,3.0,1.0,4.0,59.0,3.0,6.0
32,vor118,0.0,0.0,0.0,11.0,0.0,0.0
